"Ambrosia_trifida"	"Coreopsis_tripteris"	"Helianthis_rigidus"	"Monarda_fistulosa"	"Silphium_laciniatum"	"Solidago_altissima"	"Veronicastrum_virginicum"	"Hippopsis_lemniscata"	"Mecas_sp."	"Apion_sp."	"Curculionidae_12"	"Mordellistena"	"Mordellidae_23"	"Thomasiniana"	"Tephritidae"	"Epiblema_sp."	"Family_unkn_46"
"Ambrosia_trifida"	1.11922870672156	0.040947589341936	0.0952613601399664	0.0542949589542702	0.0187274086714558	0.00487330950414178	0	0.126685915574143	0.0102674872017471	0.120972030497868	0.0138386262222299	0.128910477176199	0.131367767742007	0.119861317350487	0.00793844667833053	0.006824598223656	0
"Coreopsis_tripteris"	0.06824598223656	1.15734057296773	0.0716489067482591	0.00450598471120802	0.0289260715452714	0.00266581512430539	0	0.205685435947299	0.00141745123294435	0.007575595675524	0.0138687138964158	0.0135463379045456	0.212916953833617	0.0127953404526776	0.00597074222902159	0.192890095494622	0
"Helianthis_rigidus"	0.0793844667833053	0.0358244533741295	1.14210141343443	0.0229937423119	0.0327304365012922	0.0202988209282791	0	0.109084306693554	0.00890699561738645	0.0117707370636472	0.108432432143595	0.106945854849849	0.117266915818877	0.103113564464533	0.0951751177862023	0.00597074222902159	0
"Monarda_fistulosa"	0.090491598257117	0.00450598471120802	0.0459874846238	1.13373434007581	0.00493937334173579	0.0536745523236656	0	0.0136324476628964	0.202374361426884	0.19800488317168	0.018485771801667	0.201837173556996	0.0148672909983303	0.0128814502110284	0.00383229038531666	0.000750997451868003	0
"Silphium_laciniatum"	0.0468185216786396	0.0433891073179071	0.0981913095038766	0.00740906001260368	1.0851846756499	0.052340659170409	0	0.0200959791795049	0.0143200081280362	0.00591669550329791	0.2925639428304	0.014099304628621	0.291392148091979	0.012864461293187	0.00818260912532305	0.00723151788631785	0
"Solidago_altissima"	0.0121832737603544	0.00399872268645808	0.0608964627848374	0.0805118284854983	0.052340659170409	1.12340238644578	0	0.00695948638918157	0.29426923469236	0.0146369654569518	0.299010466636116	0.0197116706890216	0.0200446511817838	0.00629303260810522	0.00507470523206978	0.000666453781076346	0
"Veronicastrum_virginicum"	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0.666666666666667
"Hippopsis_lemniscata"	0.211143192623571	0.205685435947299	0.218168613387109	0.0136324476628964	0.0133973194530032	0.00463965759278771	0	1.07357594303583	0.00343198900867966	0.0233863938728399	0.0226899620437068	0.0415671116550989	0.0769252728990835	0.0392950370446162	0.0181807177822591	0.0342809059912165	0
"Mecas_sp."	0.0256687180043679	0.00212617684941652	0.0267209868521593	0.303561542140326	0.0143200081280362	0.29426923469236	0	0.00514798351301948	1.12416089902981	0.0531604621571578	0.0793740596094458	0.0553872110615044	0.00872798554502853	0.0047936207047834	0.00222674890434661	0.000354362808236087	0
"Apion_sp."	0.30243007624467	0.011363393513286	0.0353122111909416	0.297007324757519	0.00591669550329791	0.0146369654569518	0	0.0350795908092598	0.0531604621571578	1.07974422841739	0.00808109950597423	0.0826869126832987	0.0365587646850843	0.0331856918903788	0.0029426842659118	0.001893898918881	0
"Curculionidae_12"	0.0230643770370499	0.0138687138964158	0.21686486428719	0.018485771801667	0.1950426285536	0.199340311090744	0	0.0226899620437068	0.0529160397396305	0.00538739967064949	1.11666780693502	0.023459471694582	0.0714506191821067	0.0203785097276375	0.0180720720239325	0.0023114523160693	0
"Mordellistena"	0.214850795293664	0.0135463379045456	0.213891709699699	0.201837173556996	0.00939953641908063	0.0131411137926811	0	0.0415671116550989	0.0369248073743363	0.0551246084555324	0.023459471694582	1.07294891759717	0.0439169957598691	0.039309388671008	0.0178243091416416	0.00225772298409093	0
"Mordellidae_23"	0.164209709677509	0.159687715375213	0.175900373728316	0.0111504682487477	0.14569607404599	0.0100223255908919	0	0.0576939546743127	0.00436399277251427	0.0182793823425421	0.05358796438658	0.0329377468199018	1.09411797318581	0.0310793354451105	0.0146583644773597	0.0266146192292021	0
"Thomasiniana"	0.299653293376217	0.0191930106790164	0.309340693393598	0.0193221753165426	0.012864461293187	0.00629303260810523	0	0.0589425555669243	0.0047936207047834	0.0331856918903788	0.0305677645914563	0.058964083006512	0.0621586708902211	1.05574372045375	0.0257783911161332	0.0031988351131694	0
"Tephritidae"	0.0396922333916527	0.0179122266870648	0.571050706717214	0.01149687115595	0.0163652182506461	0.0101494104641396	0	0.0545421533467772	0.00445349780869322	0.0058853685318236	0.0542162160717975	0.0534729274249247	0.0586334579094387	0.0515567822322664	1.0475875588931	0.00298537111451079	0
"Epiblema_sp."	0.03412299111828	0.578670286483865	0.0358244533741295	0.00225299235560401	0.0144630357726357	0.00133290756215269	0	0.10284271797365	0.000708725616472175	0.003787797837762	0.00693435694820789	0.00677316895227279	0.106458476916808	0.00639767022633879	0.00298537111451079	1.09644504774731	0
"Family_unkn_46"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	1.33333333333333
