"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Memecylon_eleagni"	"Soulamea_terminaloides"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Lasioglossum_mahense"	"Unidentified_sp4_M_PL_092"	"Unidentified_sp1_M_PL_092"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_092"	"Amblypsilopus_sp1_M_PL_092"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Unidentified_sp2_M_PL_092"	"Unidentified_sp3_M_PL_092"
"Erythroxylum_sechellarum"	1.15815035278211	0.0413625125993611	0.0454431192235133	0.0457164612940306	0.00129837483495752	0.0413625125993611	0.149313106020115	0.165450050397444	0.165450050397444	0.00519349933983009	0.152388204313435	0.00761941021567178	0.00454431192235133	0.00454431192235133	0.00761941021567178	0.00454431192235133
"Cinnamomum_verum"	0.165450050397444	1.14876607322848	0.00649187417478761	0.00653092304200438	0.000185482119279646	0.00590893037133729	0.0213304437171593	0.595064292913921	0.0236357214853492	0.000741928477118584	0.0217697434733479	0.0010884871736674	0.000649187417478761	0.000649187417478761	0.0010884871736674	0.000649187417478761
"Memecylon_eleagni"	0.0363544953788106	0.00129837483495752	1.25703184679177	0.00143504587021621	0.035915195622622	0.00129837483495752	0.130247496601528	0.00519349933983009	0.00519349933983009	0.143660782490488	0.00478348623405403	0.000239174311702702	0.125703184679177	0.125703184679177	0.000239174311702702	0.125703184679177
"Soulamea_terminaloides"	0.0609552817253742	0.00217697434733479	0.00239174311702701	1.26556402427863	6.83355176293433e-05	0.00217697434733479	0.00785858452737448	0.00870789738933917	0.00870789738933917	0.000273342070517373	0.218546747595444	0.210927337379772	0.000239174311702702	0.000239174311702702	0.210927337379772	0.000239174311702702
"Dillenia_ferruginea"	0.00519349933983009	0.000185482119279646	0.17957597811311	0.00020500655288803	1.14798788508895	0.000185482119279646	0.0186067852287898	0.000741928477118584	0.000741928477118584	0.591951540355784	0.000683355176293433	3.41677588146717e-05	0.017957597811311	0.017957597811311	3.41677588146717e-05	0.017957597811311
"Roscheria_melanochaetes"	0.165450050397444	0.00590893037133729	0.00649187417478761	0.00653092304200438	0.000185482119279646	1.14876607322848	0.0213304437171593	0.0236357214853492	0.59506429291392	0.000741928477118584	0.0217697434733479	0.0010884871736674	0.000649187417478761	0.000649187417478761	0.0010884871736674	0.000649187417478761
"Lasioglossum_mahense"	0.29862621204023	0.0106652218585796	0.325618741503821	0.0117878767910617	0.00930339261439488	0.0106652218585796	1.06989015065541	0.0426608874343186	0.0426608874343186	0.0372135704575795	0.0392929226368724	0.00196464613184362	0.0325618741503821	0.0325618741503821	0.00196464613184362	0.0325618741503821
"Unidentified_sp4_M_PL_092"	0.330900100794889	0.29753214645696	0.0129837483495752	0.0130618460840088	0.000370964238559292	0.0118178607426746	0.0426608874343186	1.19012858582784	0.0472714429706983	0.00148385695423717	0.0435394869466959	0.00217697434733479	0.00129837483495752	0.00129837483495752	0.00217697434733479	0.00129837483495752
"Unidentified_sp1_M_PL_092"	0.330900100794889	0.0118178607426746	0.0129837483495752	0.0130618460840088	0.000370964238559292	0.29753214645696	0.0426608874343186	0.0472714429706983	1.19012858582784	0.00148385695423717	0.0435394869466959	0.00217697434733479	0.00129837483495752	0.00129837483495752	0.00217697434733479	0.00129837483495752
"Apis_mellifera"	0.0103869986796602	0.000370964238559292	0.35915195622622	0.00041001310577606	0.295975770177892	0.000370964238559292	0.0372135704575795	0.00148385695423717	0.00148385695423717	1.18390308071157	0.00136671035258687	6.83355176293433e-05	0.035915195622622	0.035915195622622	6.83355176293433e-05	0.035915195622622
"Lygistorrhina_sp1_M_PL_092"	0.304776408626871	0.010884871736674	0.0119587155851351	0.327820121393166	0.000341677588146716	0.010884871736674	0.0392929226368724	0.0435394869466958	0.0435394869466958	0.00136671035258687	1.09273373797722	0.054636686898861	0.00119587155851351	0.00119587155851351	0.054636686898861	0.00119587155851351
"Amblypsilopus_sp1_M_PL_092"	0.0304776408626871	0.0010884871736674	0.00119587155851351	0.632782012139317	3.41677588146716e-05	0.0010884871736674	0.00392929226368724	0.00435394869466958	0.00435394869466959	0.000136671035258687	0.109273373797722	1.10546366868989	0.000119587155851351	0.000119587155851351	0.105463668689886	0.000119587155851351
"Cratopus_aurostriatus"	0.0181772476894053	0.000649187417478761	0.628515923395885	0.000717522935108105	0.017957597811311	0.000649187417478761	0.0651237483007641	0.00259674966991505	0.00259674966991505	0.071830391245244	0.00239174311702702	0.000119587155851351	1.06285159233959	0.0628515923395885	0.000119587155851351	0.0628515923395885
"Eristalinus_vicarians"	0.0181772476894053	0.000649187417478761	0.628515923395885	0.000717522935108105	0.017957597811311	0.000649187417478761	0.0651237483007642	0.00259674966991505	0.00259674966991505	0.071830391245244	0.00239174311702701	0.000119587155851351	0.0628515923395885	1.06285159233959	0.000119587155851351	0.0628515923395885
"Unidentified_sp2_M_PL_092"	0.0304776408626871	0.0010884871736674	0.00119587155851351	0.632782012139317	3.41677588146716e-05	0.0010884871736674	0.00392929226368724	0.00435394869466959	0.00435394869466959	0.000136671035258687	0.109273373797722	0.105463668689886	0.000119587155851351	0.000119587155851351	1.10546366868989	0.000119587155851351
"Unidentified_sp3_M_PL_092"	0.0181772476894053	0.000649187417478761	0.628515923395885	0.000717522935108105	0.017957597811311	0.000649187417478761	0.0651237483007642	0.00259674966991505	0.00259674966991505	0.071830391245244	0.00239174311702701	0.000119587155851351	0.0628515923395885	0.0628515923395885	0.000119587155851351	1.06285159233959
