"Sideroxylon_cinereum"	"Molinaea_alternifolia"	"Aphloia_theiformis"	"Croton_fothergillifolius"	"Syzygium_venosum"	"Roussea_simplex"	"Stillingia_lineata"	"Dracaena_reflexa"	"Bertiera_zaluzania"	"Coffea_mauritiana"	"Chassalia_coriacea"	"Claoxylon_linostachys"	"Psiadia_terebinthina"	"Antidesma_madagascariense"	"Antirhea_borbonica"	"Toddalia_asiatica"	"Erythroxylum_macrocarpum"	"Pandanus_wiehii"	"Agauria_salicifolia"	"Flagellaria_indica"	"Polyscias_mauritiana"	"Stomorhina_lunata"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_063"	"Apis_mellifera"	"Pachycerina_crinicornis"	"Musca_domestica"	"Fannia_pusio"	"Chaetocnema_sp1_M_PL_063"	"Ophyra_capensis"	"Panara_naso"	"Polistes_hebraeus"	"Allograpta_nasuta"	"Lygistorrhina_sp1_M_PL_063"	"Stomoxys_calcitrans"	"Ischiodon_aegyptius"	"Nacoleia_sp1_M_PL_063"	"Chrysomya_megacephala"	"Dioxyna_sororcula"	"Eristalinus_flaveolus"	"Melanostoma_bituberculatum"	"Phelsuma_cepediana"	"Phorinia_sp1_M_PL_063"	"Sarcophaga_arno"	"Cephonodes_trochilus"	"Ornidia_obesa"	"Graphomya_maculata"	"Lecithoceridae_sp1_M_PL_063"	"Nacoleia_sp2_M_PL_063"	"Psilopa_iceryae"	"Syritta_nigrofemorata"	"Syritta_sp1_M_PL_063"	"Cryptinae_sp1_M_PL_063"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_063"	"Homoneura_sp1_M_PL_063"	"Hydrillodes_sp1_M_PL_063"	"Leptotes_pirithous"	"Macroglossum_milvus"	"Mauritiborium_undulatus"	"Orthellia_albigena"	"Remigia_frugalis"	"Scatopsidae_sp1_M_PL_063"	"Stomoxys_niger"	"Tarundia_servillei"	"Trichoplusia_indicator"	"Zosterops_mauritianus"
"Sideroxylon_cinereum"	1.12028114590774	0.0359740410011449	0.0273589332274621	0.020015688459049	0.00992818334790572	0.0252947125008427	0.00132323231917305	0.0266904200137471	0.00535867354913883	0.00115501451622666	0.00695850757827294	0.0139791610967833	0.0106287991379711	0.00351396772752895	0.00678056184937879	0.00115501451622666	0.00585934451562781	0.000659996223475251	0.00747623118935308	0.0026554348479159	0.000286269808365027	0.0568599609492211	0.00748678742589392	0.00460084921070734	0.0542173113622554	0.00687047540076066	0.054034213795943	0.0509644089233805	0.000869469298357598	0.0478025698607751	0.00342828116197903	0.00213492214878303	0.00445974694914812	0.0498402201420947	0.051070661498022	0.0496015736906461	0.00168923560206734	0.0466783810794893	0.00271737573883933	0.00304554991846755	0.00112418878128578	0.00182505519206847	0.00210129353940942	0.0480762971891676	0.00169197646542887	0.0487675866715191	0.000976557419271303	0.00140493147786687	0.00210129353940943	0.000857877464742312	0.00251001694358446	0.00223190312880537	0.000144376814528332	0.00112418878128578	0.00112418878128578	0.000110269359931088	0.000144376814528332	0.00083398701912704	0.000579875631522745	0.000292830643960746	0.0466783810794894	0.000565046820781567	0.000292830643960746	0.000977104758123647	0.000110269359931088	0.00111210083390613	0.000535867354913883
"Molinaea_alternifolia"	0.0269805307508587	1.12552684582382	0.0350312716700347	0.0256887764922421	0.00558503866887596	0.00998385656426345	0.00806929041133743	0.00881947092993146	0.0102728053375454	0.00520882718468968	0.00527535620905473	0.0014074256190438	0.0134866391273712	0.00480406983658793	0.0190501536651744	0.00520882718468968	0.00455076718201528	0.00691083912327183	0.0058974639330524	0.00371481341680318	0.00186026420266592	0.0445091811392943	0.0426591786704207	0.00499537662511098	0.00653988141947384	0.0446463408639821	0.0417057726487814	0.0375448847838132	0.00163577223385225	0.0362969027132803	0.00302153918443422	0.00353733049306393	0.00304547975567071	0.00237217085181871	0.0404291471891513	0.00381314926923473	0.0367602267374257	0.00112418878128578	0.037206410985412	0.0381666373321411	0.0351727139319945	0.037927704246567	0.0364238307773529	0.00126493134319016	0.000807090972835039	0.00274278358205797	0.000758461197002547	0.000767817108462805	0.0364238307773529	0.0019878519584802	0.000508220517318191	0.00121110824908113	0.00065110339808621	0.0351727139319945	0.0351727139319945	0.000672440867611452	0.000651103398086209	0.00107036568717675	0.000439613017421227	0.000400339153048994	0.00112418878128578	0.0015875128054312	0.000400339153048994	0.00125111684535838	0.000672440867611452	0.000367477955413811	0.00102728053375454
"Aphloia_theiformis"	0.0234505141949675	0.0400357390514682	1.0852746023078	0.0258557261912445	0.018357903218486	0.00708439628045733	0.0121325017233417	0.0299444582470885	0.00759036145580607	0.00869449792870658	0.011523682558141	0.00488411253417828	0.0165031117598157	0.00526919661240806	0.00630686165081861	0.00869449792870658	0.00520356061798622	0.00774650009783023	0.00254128605581163	0.00416723264472449	0.00207259027354337	0.050271416908347	0.0454320279623215	0.0453459970176354	0.0456437674433137	0.0497421665650408	0.0481551875155123	0.0031137711385392	0.00218983550740817	0.00222822160348203	0.0421465935625488	0.0425322225715848	0.00453276196377406	0.00186265429318081	0.00446643684630501	0.0420619196683328	0.00177668864959327	0.000977104758123646	0.00350723246712327	0.0420992878055507	0.00125111684535838	0.00394677801539655	0.0400109240706371	0.00146551601154147	0.00220799264014044	0.0409845977436977	0.000867260102997703	0.00168678547799603	0.0400109240706371	0.000964671521935556	0.00173609701371318	0.00156573317805302	0.00108681224108832	0.00125111684535838	0.00125111684535838	0.00101104181027847	0.00108681224108832	0.00107732192463519	0.000960306879845086	0.000439099717700672	0.000977104758123647	0.000525571804234885	0.000439099717700672	0.0387598072252787	0.00101104181027847	0.00124768576029536	0.000759036145580607
"Croton_fothergillifolius"	0.020015688459049	0.0342517019896561	0.0301650138897853	1.07881991003129	0.00992481410775753	0.00448656588564114	0.0139339612472915	0.0221888043638355	0.00957776773166405	0.0100285712225565	0.0117982796825774	0.0221175866533683	0.0171321466353914	0.00594459821472279	0.0119815190680593	0.0100285712225565	0.0057827440372525	0.000745081053773473	0.00732373835048221	0.00472077507850792	0.00236549440811568	0.0565267360894137	0.0521227174332979	0.0529006978282982	0.00657064613824016	0.0567718657947764	0.0530202245476059	0.00246517344200894	0.00238488819694511	0.00190435270630379	0.00420877017301393	0.00225607359885431	0.0500280885118482	0.00139480775483218	0.0496845768008997	0.0477866720435591	0.00206882560951503	0.000833987019127039	0.0472449200314846	0.0482596806337233	0.00107036568717675	0.00221441272378653	0.00214768761181194	0.00304574568446387	0.00190772348870793	0.00283584245892204	0.000963790672875417	0.00141991669972004	0.00214768761181194	0.00149384310689851	0.00313629218049664	0.0471625882499739	0.00125357140281956	0.00107036568717675	0.00107036568717675	0.00116116343727429	0.00125357140281956	0.044950829584637	0.000983189973548117	0.000495383184560233	0.00083398701912704	0.000998459922338275	0.000495383184560233	0.00107732192463519	0.00116116343727429	0.000924533515159812	0.000957776773166405
"Syzygium_venosum"	0.0238276400349737	0.0178721237404031	0.0514021290117607	0.0238195538586181	1.04583245113484	0.00953049855174018	0.0104626377460811	0.0241577044752834	0.010670154713971	0.00956447079039786	0.013596000436336	0.00999408055192879	0.0215875850153918	0.00649241421637274	0.00181886397203599	0.00956447079039786	0.0123110111866136	0.0196444645042941	0.0053155068385974	0.00539132668495786	0.000478245078337764	0.117913958558882	0.0081877930851457	0.111673929077741	0.112218722938534	0.0114778818801063	0.114696215659963	0.00274263452064569	0.00241385683708236	0.00155132220167817	0.00551733173625568	0.111330151561406	0.00519847599353054	0.0021841306537581	0.00402425231977293	0.0048276610872184	0.000710075864557262	0.000992818334790571	0.00309295563590562	0.00425866207835203	0.000558503866887596	0.00653663546435821	0.00239429418873619	0.00199222638998345	0.00213957105616481	0.00383517967644265	0.00205183519776894	0.00154760553783454	0.00239429418873619	0.000692606515700728	0.00200597907499636	0.00199188946596863	0.00119555884879973	0.000558503866887596	0.000558503866887596	0.000871886478840089	0.00119555884879973	0.000992481410775754	0.00113300003636133	0.000541034518031062	0.000992818334790572	0.000151571997669666	0.000541034518031062	0.0018357903218486	0.000871886478840089	0.00100657101980348	0.0010670154713971
"Roussea_simplex"	0.0758841375025282	0.0399354262570538	0.0247953869816007	0.0134596976569234	0.0119131231896752	1.07678739250648	0.00146907292828438	0.0144485288669068	0.0212057231781763	0.0103184024251914	0.00182832662095089	0.00198947114543727	0.0124958320255296	0.00127977569377136	0.0111619556314885	0.0103184024251914	0.000963836703657741	0.000990075680431864	0.00100681875368971	0.000736757480696982	0.000345189679662926	0.00939762722481735	0.142923112298012	0.0055386530545951	0.143452278764274	0.00828455231191023	0.00885508519173972	0.139008245196449	0.00101498217441867	0.00440982113313827	0.00253249155331916	0.00232438077413266	0.00363472275593352	0.137760263125916	0.00615250952655655	0.00521023136948877	0.00217814503982364	0.00316183906260534	0.00270136223663304	0.00281677508531894	0.00124798207053293	0.00361607330845853	0.0021335316055901	0.00336078617714907	0.000754382587867025	0.00464941063378363	0.000160639450609624	0.000708670010602064	0.0021335316055901	0.00103681094377166	0.000800969150664845	0.00075976785024887	0.00128980030314892	0.00124798207053293	0.00124798207053293	0.000122422744023698	0.00128980030314892	0.000560820735705143	0.000152360551745907	0.000106647974480947	0.00316183906260534	0.00093016296929071	0.000106647974480947	0.000885549535057167	0.000122422744023698	0.000602022036121118	0.00212057231781763
"Stillingia_lineata"	0.00264646463834611	0.0215181077635665	0.0283091706877972	0.0278679224945831	0.00871886478840089	0.000979381952189587	1.1438119819017	0.00763565451337844	0.00124597739853005	0.0130859958141402	0.00162418735877685	0.00862563107251025	0.0311031597017998	0.005801340438357	0.00599524808122349	0.0130859958141402	0.000787833130026755	0.00048726670846964	0.000613347207767464	0.00487173381402253	0.0045180680536078	0.00848797824995355	0.00686276955934459	0.102495818945654	0.00478002466873139	0.108433633286587	0.0066332629579763	0.000905132971566238	0.0975393194228893	0.00078271022754254	0.00368619729264825	0.00200474496623597	0.00260182550233383	0.000232692103954786	0.00259681447352732	0.00260062687887462	0.00117204487438008	0.000110269359931088	0.00405525856930002	0.0981623112736392	0.000672440867611452	0.000918855284581867	0.00168348267788993	0.000972832467182112	0.000453501217955506	0.00143946344160033	0.000131305521671126	0.000801597307920519	0.00168348267788993	0.000983049043298375	0.00118071537864179	0.00202372654452532	0.00163574947676752	0.000672440867611452	0.000672440867611452	0.0953176651584749	0.00163574947676752	0.00116116343727429	0.000135348946564738	0.00048344503652975	0.000110269359931088	0.000499604006768625	0.00048344503652975	0.00101104181027847	0.0953176651584749	0.000318152271390769	0.000124597739853005
"Dracaena_reflexa"	0.0266904200137471	0.0117592945732419	0.03493520128827	0.0221888043638355	0.0100657101980348	0.00481617628896894	0.00381782725668922	1.09573445369888	0.00999680347240222	0.00326214792049568	0.0303664490350607	0.01899211664255	0.0187018095656142	0.0185360273570264	0.0037459763999077	0.00326214792049568	0.00600816029772985	0.000658439105955066	0.00278303311617944	0.00472708220303662	0.00228525261520887	0.058603910107866	0.00526910129434655	0.00621169121102833	0.0519595057752208	0.0548460627650129	0.0551817123316431	0.00208160082544106	0.00165399581179178	0.00147957878931994	0.0507696689577383	0.0024188665565876	0.0520095651836969	0.00171412287002725	0.00341203528351692	0.0489399223468148	0.000679642655406119	0.00111210083390613	0.00262785501097464	0.00285784950225975	0.000367477955413811	0.0015317680791428	0.00161516371570917	0.00301131249816112	0.0481861396570419	0.048015388831655	0.00100136004962164	0.0472002711838723	0.00161516371570917	0.00185683364641117	0.0475548139017085	0.00282374517941481	0.00040776849006196	0.000367477955413811	0.000367477955413811	0.000318152271390768	0.00040776849006196	0.000924533515159811	0.00253053741958839	0.00154466894641886	0.00111210083390613	0.000312164699992309	0.00154466894641886	0.00124768576029536	0.000318152271390768	0.0456556022374535	0.000999680347240222
"Bertiera_zaluzania"	0.0128608165179332	0.0328729770801453	0.021253012076257	0.0229866425559937	0.010670154713971	0.016964578542541	0.00149517287823606	0.0239923283337653	1.10161731607621	0.00871005129250552	0.0137651608639146	0.0135629720118102	0.0105144274514162	0.00125470490569006	0.00909062934581229	0.00871005129250552	0.000802423075480893	0.0205481934106097	0.00067024036822827	0.000658558594297656	0.000332921946007012	0.00781527955897546	0.117961462646551	0.00644223615430452	0.116394933776815	0.00799012670416829	0.00737852107620313	0.00368372020648606	0.000875628272097018	0.00156314788866842	0.00365684376372439	0.00696309996963014	0.114622582667868	0.00265643967273151	0.00344603719937625	0.00325236062090112	0.0017848329792389	0.000535867354913883	0.00273608783916496	0.00286869119235456	0.00102728053375454	0.116326060494028	0.00178631667933515	0.0018921645560949	0.00214677708589977	0.00229458384773471	0.000133737179246816	0.00110423908938106	0.00178631667933515	0.000862111187625196	0.00235597754842124	0.00231407397434743	0.00108875641156319	0.00102728053375454	0.00102728053375454	0.000124597739853005	0.00108875641156319	0.000957776773166405	0.00114709673865955	0.000104558742140838	0.000535867354913883	0.000757552445484358	0.000104558742140838	0.000759036145580607	0.000124597739853005	0.000999680347240223	0.110161731607621
"Coffea_mauritiana"	0.00346504354867998	0.0208353087387587	0.030430742750473	0.0300857136676694	0.0119555884879973	0.0103184024251914	0.0196289937212102	0.00978644376148703	0.0108875641156319	1.09444899635546	0.0015402964920213	0.0122581001010673	0.00870750712263748	0.008211217702624	0.0177528963724121	0.027782329688791	0.000710232498950054	0.00073131470900681	0.00071009558303708	0.00671302135952192	0.00637352413070762	0.00814793349154342	0.147128367543272	0.146676417735113	0.00583503790366456	0.152964579136983	0.00560788611401833	0.00208528051576346	0.00225771427124163	0.000795480212614542	0.00224490356662616	0.00246519976713976	0.00410426435555321	0.00143417711767725	0.00370598354222771	0.00289252894849817	0.00213051142912055	0.000144376814528332	0.00252663959537987	0.00462723651876161	0.000651103398086209	0.0019226884869011	0.00173791563917453	0.00137018682463506	0.000536126531063734	0.00163895754567862	0.000118372083158343	0.00109203663194729	0.00173791563917453	0.00216367617291967	0.00163357850016869	0.00247938141292629	0.00347279121109888	0.00065110339808621	0.000651103398086209	0.00163574947676752	0.136806124544432	0.00125357140281956	0.000128358041001775	0.000684268141885333	0.000144376814528332	0.00147940803103434	0.000684268141885333	0.00108681224108832	0.00163574947676752	0.00040776849006196	0.00108875641156319
