"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"
"R1"	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667
"R2"	0	1.23264886850397	0.000656532616092792	0.0013524262591002	0.044626679407412	0.00105014317144957	0.0428000221260664	0.000867892705438864	0	0.000870971889505414	0.000443769839293173	0.000974169803307534	0.000414792721296413	0.000833567365875898	0.001375681391823	0.000987656561584407	0.00100669112244675	0.00102993045490586	0.00137560061905888	1.79367747075978e-05	0.000143494197660782	0.000232295965580949	9.52361820478496e-05	0.00037395092489704	0.000363692700577206	0.00205923022581283	0.000413075528656426	8.86724563383539e-05	0.00670386818933989	0.000232393324591106	0.00201540807370074	4.58560463941001e-05	8.75344146878949e-05	8.75344146878949e-05	8.75344146878949e-05	0.000123252664844265	0.00486407261756052	0.00204755937397571	3.69808199410977e-05	3.69808199410977e-05	3.69808199410977e-05	3.69808199410977e-05	0.000141135868027145	9.52825140585161e-05	0	0.00187831541235034	0.00192303952832671	0.00192303952832671	0.00174275657280642	0.155727263260152	0.00193430054391	0.00187831541235034	0.0016461546971564	0.0016461546971564	0.00446266794074121	0.00446266794074121	9.66018756500143e-05	9.66018756500143e-05	4.68951868637709e-05	4.68951868637709e-05	0.154081108562996	0.158543776503737	0.154081108562996	0
"R3"	0	0.000375161494910167	1.14199525783496	0.0285651373491873	0.000676894260269155	0.00210732482706425	0.0299412212432093	0.0119506778964536	0	0.0373062722386594	0.000766375451187481	0.00224184494081439	0.000613110707259025	0.0169727193168087	0.0185489901638637	0.00302915449175882	0.00278251777943762	0.00318701794577381	0.0320964351693716	0.000177220222347088	0.0014177617787767	0.00355318007211662	0.00122133889690033	0.0051446626512422	0.00309624464898409	0.00439928780600316	0.00324770237357203	0.00025927049529077	0.00864377948640126	0.00404500166336188	0.00551147673876518	0.000618299672128791	0.00146693563796923	0.00146693563796923	0.00146693563796923	0.00022673205903286	0.00446590122930519	0.0055497972357094	6.38646209322901e-05	6.38646209322901e-05	6.38646209322901e-05	6.38646209322901e-05	0.084713541697592	0.0836436605252797	0	0.00331897548409541	0.0872998590415802	0.0872998590415802	0.0031919523859445	0.0011984806192949	0.0867548218807076	0.00331897548409541	0.00115158543243113	0.00115158543243113	6.76894260269155e-05	6.76894260269155e-05	0.00204036695351338	0.00204036695351338	0.0815710898453541	0.0815710898453541	4.68951868637709e-05	0.000114584612890686	4.68951868637709e-05	0
"R4"	0	0.000772815005200114	0.0285651373491873	1.13024327385469	0.00410591168722073	0.00579065638877996	0.0546274975526357	0.0124190147047036	0	0.00589873674636442	0.00441318506012713	0.00533864623091183	0.000563139495168123	0.0203383219834069	0.0216886520761643	0.00563145497349469	0.00571135897021209	0.00593974574199122	0.0211242869092351	0.000161498603841271	0.00129198883073017	0.00182051987450452	0.000985715645649238	0.00385698250015322	0.00373025685352324	0.00611288720037627	0.00401182960219797	0.000507096631835032	0.0879506138059879	0.00228386771779126	0.00530888942083843	0.000722955069205478	0.00173987116837582	0.00173987116837582	0.00173987116837582	0.0003904480398009	0.00334451415223297	0.00503498058168919	0.000367765421677261	0.000367765421677261	0.000367765421677261	0.000367765421677261	0.00307221744750812	0.00236807455053362	0	0.00465344808136057	0.087317101035234	0.087317101035234	0.0828327200163704	0.00219765947382831	0.086942922754001	0.00465344808136057	0.0021010575981783	0.0021010575981783	0.000410591168722073	0.000410591168722074	0.080731662418192	0.080731662418192	0.00204036695351338	0.00204036695351338	9.66018756500143e-05	0.000507193044372088	9.66018756500143e-05	0
"R5"	0	0.0357013435259296	0.000947651964376817	0.00574827636210903	1.15721105959803	0.00580519268967167	0.00801477298618218	0.000392293341572124	0	0.0134049791254494	0.00598762342797307	0.0136909508235942	0.0075837280480009	0.00679135716862255	0.0147065131028328	0.0138289012672669	0.0140416920380785	0.0143437700929449	0.0149022069642542	0.000231020806446855	0.00184816645157484	0.00316882217423973	0.00118818529550515	0.00475921551518718	0.00380681544677151	0.00480652100960339	0.00449826051013485	0.00123591581620961	0.122181907819651	0.00302078054866392	0.00522687677522235	0.00049021710342776	0.000829784961858887	0.000829784961858887	0.000829784961858887	0.00202456305375538	0.121404708291226	0.00599186283089142	0.000498968618997756	0.000498968618997756	0.000498968618997756	0.000498968618997756	0.00130915072069369	0.000812410488551884	0	0.000857408780536538	0.00211306628821823	0.00211306628821823	0.000718851668190619	0.00477092844020975	0.000851923317812889	0.000857408780536538	0.000308260499468545	0.000308260499468545	0.115721105959803	0.115721105959803	0.000410591168722073	0.000410591168722073	6.76894260269154e-05	6.76894260269155e-05	0.00446266794074121	0.120183773900544	0.00446266794074121	0
"R6"	0	0.000700095447633049	0.00245854563157496	0.00675576578690996	0.00483766057472639	1.05357416853741	0.046580147830704	0.0326645530804324	0	0.00691527362395875	0.00515491918908006	0.0241599309219871	0.0012775032923891	0.0249182745192079	0.0271686555354211	0.0183363615490807	0.0251770601486084	0.0255931873490398	0.02664802204415	0.000413208271015787	0.00330566616812629	0.00440006197807015	0.0018050854789257	0.00789381593976609	0.0943906633724322	0.0970990255972209	0.0953074814498862	0.00221079463114673	0.0988791048208463	0.00416127200431411	0.00886902296023047	0.000905621851180705	0.0021515355771411	0.0021515355771411	0.0021515355771411	0.00155513559995303	0.00734458548667652	0.00865236357653865	0.000429576599090005	0.000429576599090006	0.000429576599090005	0.000429576599090005	0.00144805967172473	0.000559792270253063	0	0.0950334837055246	0.00548951222726789	0.00548951222726789	0.00227409884639977	0.0018790560782889	0.0078938014287272	0.0950334837055247	0.00179154414733477	0.00179154414733477	0.000483766057472639	0.000483766057472639	0.000482554699064997	0.000482554699064997	0.000175610402255354	0.000175610402255354	8.75119309541312e-05	0.00057127798842677	8.75119309541312e-05	0
"R7"	0	0.0131692375772512	0.0161221960540358	0.0294148063744962	0.00308260499468545	0.0214985297680173	1.10478580229154	0.0221729169998383	0	0.00924029000169132	0.00555039239364942	0.0116374640624017	0.00320088270570583	0.0148813943441508	0.0210612030845652	0.0118501693339277	0.0121322771455369	0.0124344217346074	0.0208634091312766	0.000235335335950686	0.00188268268760549	0.00287087293086494	0.00128795543773894	0.00496350853213586	0.00564919476823584	0.0487334648615301	0.00624170323493223	0.00106956804858759	0.0521186651031862	0.00302144589070483	0.047173733140997	0.000702040102818842	0.00144610982002638	0.00144610982002638	0.00144610982002638	0.00118000623219551	0.00506117976534784	0.0472446808924772	0.000462532699470785	0.000462532699470785	0.000462532699470785	0.000462532699470785	0.00236038184801209	0.00166493487696954	0	0.0479787919405724	0.0478859614482762	0.0478859614482762	0.0445928192247762	0.0441379163237543	0.049439890823847	0.0479787919405724	0.0424917616265979	0.0424917616265979	0.000308260499468545	0.000308260499468545	0.0021010575981783	0.0021010575981783	0.00115158543243113	0.00115158543243113	0.0016461546971564	0.00195441519662495	0.0016461546971564	0
"R8"	0	0.00115719027391849	0.027884915091725	0.0289777009776418	0.00065382223595354	0.0653291061608649	0.0960826403326328	1.08705509465748	0	0.00215473989447629	0.00088595752914833	0.00258671447802628	0.00036810892262525	0.00357123802887195	0.00428372484912534	0.00227838032677903	0.00270942225593024	0.00277371751079921	0.00452890107543656	5.19587318958565e-05	0.000415669855166852	0.000623317277473225	0.00026488238552017	0.00108837636711135	0.00629884175892912	0.0101082469419078	0.00641276077526807	0.000238727120037705	0.0124370025156315	0.000642952548689665	0.00467913042640317	0.000142790828304178	0.000321352729747775	0.000321352729747775	0.000321352729747775	0.000205057846994557	0.00103654817636731	0.00466665211941168	7.38297940956942e-05	7.38297940956942e-05	7.38297940956942e-05	7.38297940956942e-05	0.0022624507905055	0.00211148742132428	0	0.190315427456292	0.00822941769909492	0.00822941769909492	0.005765321950757	0.00384013495087953	0.188932950709746	0.190315427456292	0.00369548616663972	0.00369548616663972	6.5382223595354e-05	6.5382223595354e-05	0.00206983578411727	0.00206983578411727	0.00199177964940893	0.00199177964940893	0.000144648784239811	0.000210031007835165	0.000144648784239811	0
"R9"	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R10"	0	0.000387098617557962	0.0290159895189573	0.00458790635828344	0.00744721062524968	0.0046101824159725	0.0133470855579986	0.000718246631492096	0	1.05673316336935	0.00774090124612624	0.0204920095430185	0.0082560550156185	0.0105743833636556	0.0288749173743405	0.0330202181396437	0.0275419729567406	0.0339671305625155	0.0454611849965901	0.00055767704022149	0.00446141632177192	0.0645409866736073	0.00316638374020185	0.0671706480622136	0.00719642105826515	0.00936078140978574	0.00884743196524734	0.0026672049684415	0.0697856831381388	0.0642515760577486	0.067800353442413	0.000962497245811349	0.00149121641399413	0.00149121641399413	0.00149121641399413	0.00251445414388189	0.0687626591258255	0.068531287507839	0.000645075103843854	0.000645075103843854	0.000645075103843854	0.000645075103843854	0.0622953414781091	0.0607799686448895	0	0.00101723908445147	0.00592021696869797	0.00592021696869798	0.000841057041558653	0.000561736771733152	0.00303333549339953	0.00101723908445147	0.000513349444538407	0.000513349444538407	0.000744721062524969	0.000744721062524969	0.000327707597020246	0.000327707597020246	0.00207257067992552	0.00207257067992552	4.83873271947452e-05	0.000793108389719714	4.83873271947452e-05	0
