"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Canthium_bibracteatum"	"Phoenicophorium_borsigianum"	"Memecylon_eleagni"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_087"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_087"	"Hemipyrellia_sp1_M_PL_087"	"Rhiparida_seychellensis"	"Unidentified_sp4_M_PL_087"	"Cratopus_aurostriatus"	"Neophyllomyza_approximatonervis"	"Megachile_seychellensis"	"Mabuya_sechellensis"	"Chalcidoma_disjunctum"	"Unidentified_sp3_M_PL_087"
"Nephrosperma_vanhoutteanum"	1.22917919996817	0.0297393078376277	0.013042520540367	0.0134452144680998	0.0285082266034141	0.00637634337529054	0.013042520540367	0	0.0781102063473091	0.0765161205034865	0.0614589599984084	0.004347506846789	0.0651763734781119	0.0614589599984084	0.0614589599984084	0.0614589599984084	0.0662103310989774	0.0614589599984084	0.0059582825577201	0	0.00159408584382263	0.0614589599984084
"Erythroxylum_sechellarum"	0.0743482695940693	1.09803164897464	0.0282099461125916	0.0627888065742608	0.0279531867545754	0.0137915292106003	0.0282099461125916	0	0.168946232829854	0.165498350527204	0.00371741347970347	0.00940331537086385	0.140971369601534	0.00371741347970347	0.00371741347970347	0.00371741347970347	0.00837627793879937	0.00371741347970347	0.147718757217541	0	0.00344788230265008	0.00371741347970347
"Paragenipa_wrightii"	0.04347506846789	0.0376132614834554	1.08169824791505	0.0358944087062488	0.0352349554204999	0.0177191434251362	0.0816982479150514	0	0.217059506957919	0.212629721101635	0.0021737534233945	0.193899415971684	0.00687541110882643	0.0021737534233945	0.0021737534233945	0.0021737534233945	0.00804624599347782	0.0021737534233945	0.0106840591364734	0	0.00442978585628406	0.0021737534233945
"Canthium_bibracteatum"	0.0448173815603326	0.083718408765681	0.0358944087062488	1.08054199122225	0.034918356782851	0.0175483775897216	0.0358944087062488	0	0.21496762547409	0.21058053107666	0.00224086907801663	0.0119648029020829	0.0127056701737268	0.00224086907801663	0.00224086907801663	0.00224086907801663	0.0080605952084918	0.00224086907801663	0.190555132966085	0	0.00438709439743041	0.00224086907801663
"Phoenicophorium_borsigianum"	0.0950274220113803	0.0372709156727673	0.0352349554204999	0.034918356782851	1.07842074981976	0.0172259782055777	0.0352349554204999	0	0.211018233018327	0.206711738466933	0.00475137110056902	0.0117449851401666	0.00941023555966492	0.00475137110056902	0.00475137110056902	0.00475137110056902	0.184488162737195	0.00475137110056902	0.0104785905895711	0	0.00430649455139443	0.00475137110056902
"Memecylon_eleagni"	0.0318817168764527	0.0275830584212007	0.0265787151377044	0.0263225663845825	0.0258389673083666	1.16854959406732	0.0265787151377044	0	0.314732527324696	0.0225951288078657	0.00159408584382263	0.00885957171256812	0.00504196814647272	0.00159408584382263	0.00159408584382263	0.00159408584382263	0.00590058039521707	0.00159408584382263	0.00783497670008049	0	0.29213739851683	0.00159408584382263
"Psychotria_pervillei"	0.04347506846789	0.0376132614834554	0.0816982479150514	0.0358944087062488	0.0352349554204999	0.0177191434251362	1.08169824791505	0	0.217059506957919	0.212629721101635	0.0021737534233945	0.193899415971684	0.00687541110882643	0.0021737534233945	0.0021737534233945	0.0021737534233945	0.00804624599347782	0.0021737534233945	0.0106840591364734	0	0.00442978585628406	0.0021737534233945
"Syzygium_wrightii"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Apis_mellifera"	0.111586009067584	0.0965407044742023	0.0930255029819653	0.0921289823460386	0.0904363855792831	0.0899235792356275	0.0930255029819653	0	1.10156384563644	0.0790829508275299	0.00557930045337922	0.0310085009939884	0.0176468885126545	0.00557930045337922	0.00557930045337922	0.00557930045337922	0.0206520313832597	0.00557930045337922	0.0274224184502817	0	0.0224808948089069	0.00557930045337922
"Lasioglossum_mahense"	0.127526867505811	0.110332233684803	0.106314860550818	0.10529026553833	0.103355869233466	0.00753170960262189	0.106314860550818	0	0.0922634426321182	1.09038051523146	0.00637634337529054	0.0354382868502725	0.0201678725858909	0.00637634337529054	0.00637634337529054	0.00637634337529054	0.0236023215808683	0.00637634337529054	0.0313399068003219	0	0.00188292740065547	0.00637634337529054
