"Catostomus_catostomus"	"Coregonus_clupeaformis"	"Cottus_cognatus"	"Esox_lucius"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Anonchohaptor_anomalus"	"Dactylogyrus_buddi"	"Discocotyle_sagittata"	"Tetraonchus_borealis"	"Tetraonchus_monenteron"	"Tetraonchus_variabilis"	"Allocreadium_isosporum"	"Crepidostomum_farionis"	"Diplostomum_spathaceum_(L)"	"Heterophyid_meta_(L)"	"Neascus_sp._(L)"	"Tetracotyle_sp._(L)"	"Cyathocephalus_truncatus"	"Diphyllobothrium_sp._(L)"	"Eubothrium_salvelini"	"Glaridacris_catostomi"	"Proteocephalus_tumidocollus"	"Schistocephalus_solidus_(L)"	"Triaenophorus_crassus"	"Triaenophorus_crassus_(L)"	"Capillaria_salvelini"	"Cystidicola_farionis"	"Raphidascaris_acus"	"Raphidascaris_acus_(L)"	"Neoechinorhynchus_tumidus"	"Piscicola_milneri"	"Salmincola_extensus"	"Salmincola_edwardsii"	"Salmincola_thymalli"
"Catostomus_catostomus"	1.1726199549584	0.0327991244451075	0.0142931342411652	0.0147604591638009	0.0328045364368376	0.0328045364368376	0.0332515876511848	0.1465774943698	0.000893320890072828	0.0046229647307103	0.00110838625503949	0.000820025509100051	0.00117159058702991	0.00192841176413954	0.00633631112988318	0.152913805499683	0.000893320890072828	0.000893320890072828	0.0046229647307103	0.00351457847567081	0.0046229647307103	0.0046229647307103	0.1465774943698	0.00633631112988318	0.000893320890072828	0.00082002550910005	0.0046229647307103	0.00345156742909932	0.15120045910051	0.000820025509100051	0.00227978355665047	0.00633631112988318	0.00433460398477086	0.00117139730161098	0.00117159058702991	0.00110838625503949
"Coregonus_clupeaformis"	0.00937117841288786	1.09137249533852	0.0177599535334789	0.0240090842958872	0.0638647883444922	0.0638647883444922	0.0630910450635718	0.00117139730161098	0.00110999709584243	0.0456423945507205	0.00210303483545239	0.00133383801643818	0.00228088529801758	0.00343687285189057	0.0480862296630012	0.0492576269646121	0.00110999709584243	0.00110999709584243	0.0456423945507205	0.0435393597152681	0.0456423945507205	0.0456423945507205	0.00117139730161098	0.0480862296630011	0.00110999709584243	0.00133383801643818	0.0456423945507205	0.00666480543148755	0.0468137918523315	0.00133383801643818	0.0410806239546854	0.0480862296630011	0.0448731977317063	0.038977589119233	0.00228088529801758	0.00210303483545239
"Cottus_cognatus"	0.00714656712058262	0.031079918683588	1.17204723634676	0.0292700921076415	0.0310847280699203	0.0310847280699203	0.0316200629349216	0.000893320890072828	0.0732529522716724	0.00438433691295317	0.00105400209783072	0.0016261162282023	0.00111016885964001	0.00268011832603302	0.079263405412828	0.0801567263029007	0.0732529522716724	0.0732529522716725	0.00438433691295317	0.00333033481512245	0.00438433691295317	0.00438433691295317	0.000893320890072828	0.0792634054128279	0.0732529522716724	0.0016261162282023	0.00438433691295317	0.00327433981711074	0.005277657803026	0.0016261162282023	0.00216399919367315	0.0792634054128279	0.00495645104332475	0.00110999709584243	0.00111016885964001	0.00105400209783072
"Esox_lucius"	0.0065602040728004	0.037347464460269	0.0260178596512369	1.14267858934859	0.0373301324879501	0.0373301324879501	0.0460689508245336	0.000820025509100051	0.0016261162282023	0.00553590774544287	0.00153563169415112	0.0634821438526996	0.00133321901742679	0.0650177755468508	0.0706441678263448	0.0714641933354448	0.0016261162282023	0.0016261162282023	0.00553590774544287	0.00400027605129175	0.00553590774544287	0.00553590774544287	0.000820025509100051	0.0706441678263448	0.0016261162282023	0.0634821438526996	0.00553590774544287	0.0042020697290047	0.00635593325454293	0.0634821438526996	0.0028694697105893	0.0706441678263448	0.0674824199039914	0.00133383801643818	0.00133321901742679	0.00153563169415112
"Prosopium_cylindraceum"	0.0093727246962393	0.0638647883444922	0.0177627017542402	0.0239979423136822	1.08831758419634	0.0701357660145184	0.0598818260138244	0.00117159058702991	0.00111016885964001	0.045650280101247	0.00199606086712748	0.00133321901742679	0.0388684851498692	0.00332927988455427	0.0480936679783138	0.0492652585653437	0.00111016885964001	0.00111016885964001	0.045650280101247	0.0436542192341195	0.045650280101247	0.045650280101247	0.00117159058702991	0.0480936679783138	0.00111016885964001	0.00133321901742679	0.045650280101247	0.0433693948032295	0.0468218706882769	0.00133321901742679	0.00427694616514506	0.0480936679783138	0.0449874382515464	0.00228088529801758	0.0025048487862328	0.00199606086712748
"Salvelinus_namaycush"	0.0093727246962393	0.0638647883444922	0.0177627017542402	0.0239979423136822	0.0701357660145184	1.08831758419634	0.0598818260138244	0.00117159058702991	0.00111016885964001	0.045650280101247	0.00199606086712748	0.00133321901742679	0.0025048487862328	0.00332927988455427	0.0480936679783139	0.0492652585653437	0.00111016885964001	0.00111016885964001	0.045650280101247	0.0436542192341195	0.045650280101247	0.045650280101247	0.00117159058702991	0.0480936679783138	0.00111016885964001	0.00133321901742679	0.045650280101247	0.0433693948032295	0.046821870688277	0.00133321901742679	0.00427694616514506	0.0480936679783138	0.0449874382515464	0.00228088529801758	0.0388684851498692	0.00199606086712748
"Thymallus_arcticus"	0.00886709004031594	0.058884975392667	0.0168640335652915	0.0276413704947202	0.0558897042795695	0.0558897042795695	1.1092964552812	0.00110838625503949	0.00105400209783072	0.0430717050790807	0.0369765485093733	0.00153563169415112	0.00199606086712748	0.0385121802035245	0.0456613388710625	0.046769725126102	0.00105400209783072	0.00105400209783072	0.0430717050790807	0.00609515656970736	0.0430717050790807	0.0430717050790807	0.00110838625503949	0.0456613388710625	0.00105400209783072	0.00153563169415112	0.0430717050790807	0.0409686702436283	0.0441800913341202	0.00153563169415112	0.0390795833448257	0.0456613388710625	0.00763078826385848	0.00210303483545239	0.00199606086712748	0.0369765485093733
"Anonchohaptor_anomalus"	0.5863099774792	0.0163995622225537	0.00714656712058262	0.00738022958190045	0.0164022682184188	0.0164022682184188	0.0166257938255924	1.0732887471849	0.000446660445036414	0.00231148236535515	0.000554193127519746	0.000410012754550025	0.000585795293514956	0.000964205882069772	0.00316815556494159	0.0764569027498415	0.000446660445036414	0.000446660445036414	0.00231148236535515	0.0017572892378354	0.00231148236535515	0.00231148236535515	0.0732887471849	0.00316815556494159	0.000446660445036414	0.000410012754550025	0.00231148236535515	0.00172578371454966	0.0756002295502552	0.000410012754550025	0.00113989177832524	0.00316815556494159	0.00216730199238543	0.000585698650805491	0.000585795293514956	0.000554193127519746
"Dactylogyrus_buddi"	0.00357328356029131	0.015539959341794	0.586023618173379	0.0146350460538207	0.0155423640349602	0.0155423640349602	0.0158100314674608	0.000446660445036414	1.03662647613584	0.00219216845647658	0.000527001048915359	0.000813058114101152	0.000555084429820005	0.00134005916301651	0.039631702706414	0.0400783631514503	0.0366264761358362	0.0366264761358362	0.00219216845647658	0.00166516740756122	0.00219216845647658	0.00219216845647658	0.000446660445036414	0.039631702706414	0.0366264761358362	0.000813058114101152	0.00219216845647659	0.00163716990855537	0.002638828901513	0.000813058114101152	0.00108199959683657	0.0396317027064139	0.00247822552166238	0.000554998547921214	0.000555084429820005	0.000527001048915359
"Discocotyle_sagittata"	0.0046229647307103	0.159748380927522	0.00876867382590634	0.0124557924272465	0.159775980354365	0.159775980354365	0.161518894046553	0.000577870591338787	0.000548042114119146	1.02250183247904	0.00538396313488508	0.000691988468180359	0.00570628501265588	0.00607595160306545	0.0237418630613364	0.0243197336526752	0.000548042114119146	0.000548042114119146	0.0225018324790369	0.0171178693441518	0.0225018324790369	0.0225018324790369	0.000577870591338787	0.0237418630613364	0.000548042114119146	0.000691988468180359	0.0225018324790369	0.0167965331601968	0.0230797030703757	0.000691988468180359	0.0110892624537252	0.0237418630613364	0.0178098578123322	0.00570529931884007	0.00570628501265588	0.00538396313488509
