"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Allomerus_septemarticulatus"	"Pheidole_sp2"
"Cordia_nodosa"	1.33333333333333	0	0	0	0	0.333333333333333	0	0	0	0	0.333333333333333
"Hirtella_myrmecophila"	0	1.24444444444444	0	0	0.0888888888888889	0	0.355555555555556	0	0	0.311111111111111	0
"Maieta_guianensis"	0	0	1.33333333333333	0	0	0	0	0.666666666666667	0	0	0
"Myrcia_madida"	0	0	0	1.33333333333333	0	0	0	0	0.666666666666667	0	0
"Hirtella_physophora"	0	0.177777777777778	0	0	1.15555555555556	0	0.622222222222222	0	0	0.0444444444444444	0
"Azteca_r.am.1"	0.666666666666667	0	0	0	0	1.16666666666667	0	0	0	0	0.166666666666667
"Allomerus_octoarticulatus"	0	0.355555555555556	0	0	0.311111111111111	0	1.24444444444444	0	0	0.0888888888888889	0
"Pheidole_minutula"	0	0	0.666666666666667	0	0	0	0	1.33333333333333	0	0	0
"Myrcidris_sp."	0	0	0	0.666666666666667	0	0	0	0	1.33333333333333	0	0
"Allomerus_septemarticulatus"	0	0.622222222222222	0	0	0.0444444444444444	0	0.177777777777778	0	0	1.15555555555556	0
"Pheidole_sp2"	0.666666666666667	0	0	0	0	0.166666666666667	0	0	0	0	1.16666666666667
