"Sorex_araneus"	"Neomys_fodiens"	"Microtus_oeconomus"	"Microtus_arvalis"	"Clethrionomys_glareolus"	"Clethrionomys_rutilus"	"Sorex_minutus"	"Apodemus_speciosus"	"Apodemus_agrarius"	"Sicista_subtilis"	"Arvicola_terrestris"	"Sorex_arcticus"	"Sorex_daphaenodon"	"Micromys_minutus"	"Talpa_europaea"	"Microtus_gregalis"	"Microtus_agrestis"	"Cricetus_cricetus"	"Sorex_caecutiens"	"Clethrionomys_rufocanus"	"Sorex_isodon"	"Tamias_sibiricus"	"Sorex_minutissimus"	"Neopsylla_mana"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Hystrichopsylla_talpae"	"Frontopsylla_elata"	"Megabothris_turbidus"	"Ceratophyllus_indages"
"Sorex_araneus"	1.02473213230548	0.0150409528337444	0.0188045873317906	0.0255035787295132	0.0255035787295132	0.0255035787295132	0.0115006478420355	0.0255035787295132	0.0255035787295132	0.0128748873542938	0.0156437459219691	0.00848644565546576	0.00562312460885833	0.0145648717691172	0.0126295437353993	0.0188045873317906	0.0150409528337444	0.0127804248753617	0.00532560424564424	0.00863732679542811	0.00246228319903682	0	0.00286332104660743	0.103415894359546	0.0973529155846525	0.0964544699702331	0.0920479297844298	0.0948252422946454	0.0903272279531103	0.00925735708840226	0.0829856296316468	0
"Neomys_fodiens"	0.0210573339672421	1.01962384443952	0.0203582630768022	0.0217251511422485	0.0217251511422485	0.0217251511422485	0.0149959167543435	0.0217251511422485	0.0217251511422485	0.012246963681236	0.0162070741914054	0.0110816135781889	0.00733692554005779	0.0119502996066523	0.0122927710152508	0.0203582630768022	0.0196238444395193	0.0124623861532744	0.00693042469279207	0.0112512287162124	0.003185736654661	0	0.00374468803813107	0.133800939495762	0.127319393296456	0.125257701636948	0.120326119814571	0.124535666561904	0.0176260472947906	0.00801380610007625	0.00978699246615863	0
"Microtus_oeconomus"	0.0219386852204224	0.0169652192306685	1.021228146752	0.0226482613518808	0.0226482613518808	0.0226482613518808	0.0129549895209368	0.0226482613518808	0.0226482613518808	0.0143733190503809	0.0176739726286543	0.00956565220577196	0.00632338774561212	0.0104232635292004	0.0142846353134894	0.0212281467519989	0.0169652192306685	0.0144317081684944	0.00601147808242727	0.00971272506077694	0.00276921362226744	0	0.00324226446015983	0.116306972135233	0.110236991645434	0.108458794085274	0.104265972453026	0.10662522370034	0.10231026051193	0.00851491357750085	0.00994753855792869	0
"Microtus_arvalis"	0.0223156313883241	0.0135782194639053	0.0169861960139106	1.02840576632122	0.0284057663212181	0.0284057663212181	0.0103935170072299	0.0284057663212181	0.0284057663212181	0.0170481721934756	0.014142739717257	0.00766473474060556	0.00507233912546716	0.0131305567665049	0.0114139574506327	0.0169861960139106	0.0135782194639053	0.0115503441021186	0.00482127844395197	0.00780112139209148	0.00222888282881357	0	0.0025923956151384	0.0936130788101698	0.0881414509147056	0.0873210325319783	0.082802263873561	0.0853036888996078	0.0817914372001275	0.0730816191947282	0.0746120952417883	0
"Clethrionomys_glareolus"	0.0223156313883241	0.0135782194639053	0.0169861960139106	0.0284057663212181	1.02840576632122	0.0284057663212181	0.0103935170072299	0.0284057663212181	0.0284057663212181	0.0170481721934756	0.014142739717257	0.00766473474060556	0.00507233912546716	0.0131305567665049	0.0114139574506327	0.0169861960139106	0.0135782194639053	0.0115503441021186	0.00482127844395197	0.00780112139209148	0.00222888282881357	0	0.0025923956151384	0.0936130788101698	0.0881414509147056	0.0873210325319783	0.082802263873561	0.0853036888996078	0.0817914372001275	0.0730816191947282	0.0746120952417883	0
"Clethrionomys_rutilus"	0.0223156313883241	0.0135782194639053	0.0169861960139106	0.0284057663212181	0.0284057663212181	1.02840576632122	0.0103935170072299	0.0284057663212181	0.0284057663212181	0.0170481721934756	0.014142739717257	0.00766473474060556	0.00507233912546716	0.0131305567665049	0.0114139574506327	0.0169861960139106	0.0135782194639053	0.0115503441021186	0.00482127844395197	0.00780112139209148	0.00222888282881357	0	0.0025923956151384	0.0936130788101698	0.0881414509147056	0.0873210325319783	0.082802263873561	0.0853036888996078	0.0817914372001275	0.0730816191947282	0.0746120952417883	0
"Sorex_minutus"	0.0201261337235622	0.0187448959429294	0.0194324842814052	0.0207870340144598	0.0207870340144598	0.0207870340144598	1.01802119425252	0.0207870340144598	0.0207870340144598	0.0143485536125212	0.0144113550120372	0.0133236454473592	0.00882930639608966	0.0142205046434032	0.00971380620688063	0.0194324842814052	0.0187448959429294	0.00991701596076758	0.00830251617799126	0.0135268552012462	0.00380817712672167	0	0.00449433905126959	0.15994343932231	0.152807527743166	0.150321561765009	0.0188162439507529	0.15063387808104	0.0165021201234192	0.00793080349077079	0.00971109219019852	0
"Apodemus_speciosus"	0.0223156313883241	0.0135782194639053	0.0169861960139106	0.0284057663212181	0.0284057663212181	0.0284057663212181	0.0103935170072299	1.02840576632122	0.0284057663212181	0.0170481721934756	0.014142739717257	0.00766473474060556	0.00507233912546716	0.0131305567665049	0.0114139574506327	0.0169861960139106	0.0135782194639053	0.0115503441021186	0.00482127844395197	0.00780112139209148	0.00222888282881357	0	0.0025923956151384	0.0936130788101698	0.0881414509147056	0.0873210325319783	0.082802263873561	0.0853036888996078	0.0817914372001275	0.0730816191947282	0.0746120952417883	0
"Apodemus_agrarius"	0.0223156313883241	0.0135782194639053	0.0169861960139106	0.0284057663212181	0.0284057663212181	0.0284057663212181	0.0103935170072299	0.0284057663212181	1.02840576632122	0.0170481721934756	0.014142739717257	0.00766473474060556	0.00507233912546716	0.0131305567665049	0.0114139574506327	0.0169861960139106	0.0135782194639053	0.0115503441021186	0.00482127844395197	0.00780112139209148	0.00222888282881357	0	0.0025923956151384	0.0936130788101698	0.0881414509147056	0.0873210325319783	0.082802263873561	0.0853036888996078	0.0817914372001275	0.0730816191947282	0.0746120952417883	0
"Sicista_subtilis"	0.0180248422960113	0.012246963681236	0.0172479828604571	0.027277075509561	0.027277075509561	0.027277075509561	0.0114788428900169	0.027277075509561	0.027277075509561	1.02502712465858	0.0165430122362492	0.0075825263749927	0.00384248217415965	0.00851565812473813	0.0126466957212249	0.0172479828604571	0.012246963681236	0.0128029680354161	0.00687755575078477	0.00773879868918389	0.00313751154995173	0	0.00374004420083304	0.131775485097973	0.127161502828324	0.124682128480776	0.0199711405716956	0.0211491187262376	0.120024460301306	0.111026798562596	0.0108760320977595	0
