"Cecropia_hololeuca"	"Cecropia_pachystachia"	"Muntingia_calabura"	"Ficus_enormis"	"Ficus_cf_insipida"	"Ficus_luschnatiana"	"Ficus_sp_1"	"Ficus_sp_2"	"Maclura_tinctoria"	"Piper_amalago"	"Piper_arboreum"	"Piper_sp_2"	"Solanum_granuloso-leprosum"	"Solanum_inaequale"	"Artibeus_lituratus"	"Carollia_perspicillata"	"Chiroderma_doriae"	"Glossophaga_soricina"	"Platyrrhinus_lineatus"	"Phyllostomus_discolor"	"Pygoderma_bilabiatum"	"Sturnira_lilium"
"Cecropia_hololeuca"	1.08793032560372	0.0168851740092142	0.0747619024452776	0.0197575327654718	0.0168851740092142	0.0168851740092142	0.0202440663481913	0.0152620613506585	0.000778720564042507	0.00318872775206616	0.0184507891027246	0.0184507891027246	0.0217592580785977	0.00209363819221517	0.305241227013169	0.00876071647880789	0.00253050829352391	0.29067305701225	0.0194773519026683	0.00181327150654981	0.00467232338425504	0.0334982110754428
"Cecropia_pachystachia"	0.0168851740092142	1.04025167489562	0.00266620075555172	0.0433892474995686	0.0402516748956175	0.0402516748956175	0.0444756423769294	0.0156632130864163	0.00169333277119728	0.00278624683078317	0.0184494599171995	0.0184494599171995	0.0466760916496674	0.00144423983275385	0.313264261728326	0.0107360559842346	0.00555945529711618	0.00488784369119147	0.295061541710414	0.00388967430413895	0.0101599966271837	0.0231078373240617
"Muntingia_calabura"	0.0747619024452776	0.00266620075555172	1.09185001331382	0.0224994184370995	0.00266620075555172	0.00266620075555172	0.0230431672900568	0.00184865771033397	0.000896449102671298	0.020794841882406	0.02264349959274	0.02264349959274	0.0254165131206564	0.0189367685788765	0.0369731542066794	0.0148645864282362	0.0028803959112571	0.291652978939774	0.00981051654261303	0.0021180427600547	0.00537869461602779	0.302988297262024
"Ficus_enormis"	0.00987876638273592	0.0216946237497843	0.0112497092185498	1.05656001600582	0.0216946237497843	0.0216946237497843	0.033732056792804	0.00855823665765556	0.0249362127625648	0.0117795977115082	0.0203378343691638	0.0203378343691638	0.0609500183205467	0.00992917949346941	0.171164733153111	0.0148033457443105	0.00421650709910049	0.00528211890032142	0.157636645105545	0.00507916819337889	0.149617276575389	0.15886687189551
"Ficus_cf_insipida"	0.0168851740092142	0.0402516748956175	0.00266620075555172	0.0433892474995686	1.04025167489562	0.0402516748956175	0.0444756423769294	0.0156632130864163	0.00169333277119728	0.00278624683078317	0.0184494599171995	0.0184494599171995	0.0466760916496674	0.00144423983275385	0.313264261728326	0.0107360559842346	0.00555945529711618	0.00488784369119147	0.295061541710414	0.00388967430413895	0.0101599966271837	0.0231078373240617
"Ficus_luschnatiana"	0.0168851740092142	0.0402516748956175	0.00266620075555172	0.0433892474995686	0.0402516748956175	1.04025167489562	0.0444756423769294	0.0156632130864163	0.00169333277119728	0.00278624683078317	0.0184494599171995	0.0184494599171995	0.0466760916496674	0.00144423983275385	0.313264261728326	0.0107360559842346	0.00555945529711618	0.00488784369119147	0.295061541710414	0.00388967430413895	0.0101599966271837	0.0231078373240617
"Ficus_sp_1"	0.0101220331740956	0.0222378211884647	0.0115215836450284	0.033732056792804	0.0222378211884647	0.0222378211884647	1.10123379070112	0.00876930712290039	0.00132537801050611	0.0117771283258852	0.0205464354487856	0.0205464354487856	0.0368768635041976	0.0101688575938331	0.175386142458008	0.0128661658564163	0.13765422383764	0.00541090420478101	0.161622168786772	0.00307307195868313	0.00795226806303668	0.16270172150133
"Ficus_sp_2"	0.0305241227013169	0.0313264261728326	0.00369731542066794	0.0342329466306222	0.0313264261728326	0.0313264261728326	0.0350772284916016	1.02838528281869	0.00134804491974579	0.00337950929982329	0.0317647921185162	0.0317647921185162	0.0376215447572887	0.00155847553804389	0.567705656373857	0.0145682700942353	0.00438465356145019	0.00855535953049622	0.0352937202496765	0.00313512872977406	0.00808826951847473	0.0249356086087022
"Maclura_tinctoria"	0.00155744112808501	0.00338666554239456	0.0017928982053426	0.099744851050259	0.00338666554239456	0.00338666554239456	0.00530151204202446	0.00134804491974579	1.09477468351086	0.00295415962396351	0.0043022045437093	0.0043022045437093	0.105511835141446	0.00158350199700337	0.0269608983949158	0.0109652610156812	0.000662689005253057	0.000837584833356903	0.0244634474717852	0.00879265292845384	0.568648101065167	0.0253360319520539
"Piper_amalago"	0.00318872775206616	0.00278624683078318	0.020794841882406	0.0235591954230164	0.00278624683078318	0.00278624683078318	0.0235542566517703	0.00168975464991165	0.00147707981198176	1.0552956280445	0.0569853826944067	0.0569853826944067	0.0621484744562713	0.0192958687802515	0.0337950929982329	0.287998074113949	0.00294428208147129	0.00599589240861805	0.0131579061704583	0.00517903953802261	0.00886247887189055	0.308733900484024
"Piper_arboreum"	0.0123005260684831	0.0122996399447996	0.01509566639516	0.0271171124922184	0.0122996399447996	0.0122996399447996	0.0273952472650474	0.0105882640395054	0.00143406818123643	0.0379902551296045	1.04857851916911	0.0485785191691099	0.0539728312232771	0.0133834043661823	0.211765280790108	0.196854806107377	0.00342440590813093	0.00684904811591077	0.020536510863531	0.00449773593527309	0.00860440908741861	0.214134469858917
"Piper_sp_2"	0.0123005260684831	0.0122996399447996	0.01509566639516	0.0271171124922184	0.0122996399447996	0.0122996399447996	0.0273952472650474	0.0105882640395054	0.00143406818123643	0.0379902551296045	0.0485785191691099	1.04857851916911	0.0539728312232771	0.0133834043661823	0.211765280790108	0.196854806107377	0.00342440590813093	0.00684904811591077	0.020536510863531	0.00449773593527309	0.00860440908741861	0.214134469858917
"Solanum_granuloso-leprosum"	0.00725308602619924	0.0155586972165558	0.0084721710402188	0.0406333455470311	0.0155586972165558	0.0155586972165558	0.024584575669465	0.00627025745954811	0.0175853058569077	0.0207161581520904	0.0269864156116386	0.0269864156116386	1.09968016823536	0.00748934247356767	0.125405149190962	0.105814525428182	0.00307307195868313	0.00393131426660451	0.111461277084092	0.0916400140196134	0.105511835141446	0.119829479577083
"Solanum_inaequale"	0.00418727638443034	0.00288847966550771	0.037873537157753	0.0397167179738776	0.00288847966550771	0.00288847966550771	0.0406754303753325	0.00155847553804389	0.00158350199700337	0.038591737560503	0.0401502130985469	0.0401502130985469	0.044936054841406	1.03524473631137	0.0311695107608777	0.0267760099930919	0.00508442879691657	0.0105152033855458	0.0159600495295659	0.00374467123678384	0.00950101198202022	0.563915780981865
"Artibeus_lituratus"	0.0610482454026338	0.0626528523456651	0.00739463084133588	0.0684658932612445	0.0626528523456651	0.0626528523456651	0.0701544569832031	0.0567705656373857	0.00269608983949158	0.00675901859964659	0.0635295842370323	0.0635295842370323	0.0752430895145774	0.00311695107608777	1.13541131274771	0.0291365401884705	0.00876930712290039	0.0171107190609924	0.0705874404993529	0.00627025745954811	0.0161765390369495	0.0498712172174043
"Carollia_perspicillata"	0.00438035823940394	0.00536802799211728	0.0074322932141181	0.0148033457443105	0.00536802799211728	0.00536802799211728	0.0128661658564163	0.00364206752355882	0.00274131525392029	0.143999037056974	0.147641104580533	0.147641104580533	0.158721788142273	0.00669400249827297	0.0728413504711763	1.09844027646961	0.00160827073205203	0.00295316286338051	0.0207115256227016	0.0132268156785228	0.0164478915235217	0.107104039972368
"Chiroderma_doriae"	0.00506101658704782	0.0111189105942324	0.00576079182251419	0.016866028396402	0.0111189105942324	0.0111189105942324	0.550616895350559	0.00438465356145019	0.000662689005253057	0.00588856416294258	0.0102732177243928	0.0102732177243928	0.0184384317520988	0.00508442879691657	0.0876930712290039	0.00643308292820814	1.06882711191882	0.0027054521023905	0.0808110843933859	0.00153653597934156	0.00397613403151834	0.0813508607506651
"Glossophaga_soricina"	0.29067305701225	0.00488784369119147	0.291652978939774	0.0105642378006428	0.00488784369119147	0.00488784369119147	0.010821808409562	0.00427767976524811	0.000418792416678451	0.00599589240861804	0.0102735721738662	0.0102735721738662	0.0117939427998135	0.00525760169277292	0.0855535953049622	0.00590632572676102	0.00135272605119525	1.14558150898801	0.00732196711132034	0.000982828566651127	0.00251275450007071	0.0841216270843667
"Platyrrhinus_lineatus"	0.00649245063422277	0.0983538472368048	0.00327017218087101	0.10509109673703	0.0983538472368048	0.0983538472368048	0.107748112524515	0.00588228670827941	0.00407724124529753	0.00438596872348611	0.0102682554317655	0.0102682554317655	0.111461277084092	0.00266000825492765	0.117645734165588	0.0138076837484677	0.0134685140655643	0.00244065570377345	1.1096587263423	0.00928843975700769	0.0244634474717852	0.0425601320788424
"Phyllostomus_discolor"	0.00362654301309962	0.0077793486082779	0.0042360855201094	0.0203166727735156	0.0077793486082779	0.0077793486082779	0.0122922878347325	0.00313512872977406	0.00879265292845384	0.0103580790760452	0.0134932078058193	0.0134932078058193	0.54984008411768	0.00374467123678384	0.0627025745954811	0.0529072627140911	0.00153653597934156	0.00196565713330226	0.0557306385420461	1.04582000700981	0.0527559175707231	0.0599147397885414
"Pygoderma_bilabiatum"	0.00311488225617003	0.00677333108478911	0.00358579641068519	0.199489702100518	0.00677333108478911	0.00677333108478911	0.0106030240840489	0.00269608983949158	0.189549367021722	0.00590831924792703	0.00860440908741861	0.00860440908741861	0.211023670282892	0.00316700399400674	0.0539217967898316	0.0219305220313623	0.00132537801050611	0.00167516966671381	0.0489268949435704	0.0175853058569077	1.13729620213033	0.0506720639041079
"Sturnira_lilium"	0.00837455276886069	0.00577695933101542	0.075747074315506	0.0794334359477552	0.00577695933101542	0.00577695933101542	0.0813508607506651	0.00311695107608777	0.00316700399400674	0.0771834751210061	0.0803004261970938	0.0803004261970938	0.0898721096828121	0.0704894726227331	0.0623390215217554	0.0535520199861838	0.0101688575938331	0.0210304067710917	0.0319200990591318	0.00748934247356767	0.0190020239640404	1.12783156196373
