"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.02778244707193	0.018789278176615	0.0225397946641289	0.0191145238291015	0.00925201100830931	0.0164547372245004	0.0216803568043288	0.0216803568043288	0.022747062786027	0.0222264695595522	0.0224072648244935	0.0277824470719336	0.00950684823374434	0.024901818158494	0.0225397946641289	0.000313325104576711	0.0024111656975352	0.00191151800754613	0.0103611738134779	0.00159819290296942	0.00159819290296942	0.00159819290296942	0.00191151800754613	0.00191151800754613	0.000313325104576711	0.0671241019247156	0.0611696232782315	0.054995062126995	0.0586277754626872	0.0610367039965014	0.0599310769425271	0.0611759249883323	0.00563985188238079	0.0575610808300296	0.0629352177887547	0.0588576691767181	0.0576125782687934
"R2"	0.0258352574928457	1.02415215003017	0.025096673319283	0.0184774585887993	0.00576566733675185	0.015015501976195	0.0217904227880814	0.0217904227880814	0.0232324584317387	0.0247450795257252	0.0188473632414396	0.0258352574928457	0.0061039604635191	0.0252943241817132	0.025096673319283	0.000351593793557768	0.00301721359763566	0.00236146335911125	0.00942026239811413	0.00200986956555348	0.00200986956555348	0.00200986956555348	0.00236146335911125	0.00236146335911125	0.000351593793557768	0.0844145217532461	0.0781017362019737	0.00948687192885585	0.0759419146026381	0.0783630726902027	0.0774465065701983	0.0784935823058338	0.00632868828403983	0.0752191295529558	0.0799685941223367	0.0120833824317356	0.0108186662226499
"R3"	0.0247937741305418	0.0200773386554264	1.02733071225566	0.015468914861533	0.00493021542766252	0.0125577812322844	0.0181642945974115	0.0181642945974115	0.0193052292342257	0.023828770133027	0.0190444854537985	0.0247937741305418	0.00518192846470084	0.024317244947257	0.02733071225566	0.00350194212263297	0.00573004013406512	0.00523905554134851	0.0143814316966682	0.00173711341871554	0.00173711341871554	0.00173711341871554	0.00523905554134851	0.00523905554134851	0.00350194212263297	0.0729587635860525	0.0644750872602322	0.06002290364161	0.0633170572216547	0.0653353121769226	0.0637361264113349	0.0647941533809904	0.0630349582073934	0.0618723348587545	0.0668429403429645	0.0107464459130598	0.0095305836656969
"R4"	0.0262824702650145	0.0184774585887993	0.0193361435769163	1.02457902757743	0.0119691174028491	0.0187615328016871	0.0223218189315282	0.0223218189315282	0.0237103971162313	0.0190202495010907	0.0225082181516931	0.0262824702650145	0.00987929677547056	0.0225052418194108	0.0193361435769163	0.000315894075825622	0.00299350847825911	0.00234517631231742	0.00929325577541098	0.0020292822364918	0.0020292822364918	0.0020292822364918	0.00234517631231742	0.00234517631231742	0.000315894075825622	0.0852298539326555	0.0152826381514279	0.00868465459666227	0.075192929266287	0.0776731313697901	0.0768334587141008	0.0780839152780838	0.00568609336486119	0.0114571600046764	0.0803284320730047	0.0766698310030438	0.0755445689120733
"R5"	0.0254430302728506	0.0115313346735037	0.0123255385691563	0.0239382348056982	1.02186879638691	0.0235353860233097	0.0245296932516406	0.0245296932516406	0.0213847715438703	0.0119705063448359	0.0244154971456943	0.0254430302728506	0.0176689721366029	0.0184079081059214	0.0123255385691563	0.000355032224320436	0.00513221762556964	0.00397411928196859	0.00539350088662931	0.00361908705764815	0.00361908705764815	0.00361908705764815	0.00397411928196859	0.00397411928196859	0.000355032224320436	0.152001656421222	0.015011389924439	0.00702674674131474	0.0104316376973132	0.0131571591697177	0.0129424915746256	0.0142989080827198	0.00639058003776785	0.00976525289760452	0.143315562037476	0.141622838743881	0.140702443338585
"R6"	0.0258574442099292	0.01716057368708	0.017939687474692	0.0214417517733567	0.0134487920133198	1.02372975739291	0.0248450171271793	0.0248450171271793	0.023110827796219	0.0176494372555446	0.021716998089391	0.0258574442099292	0.0138265195016566	0.0215837068848764	0.017939687474692	0.000290250219147422	0.00327328243283703	0.002548003064393	0.00410962071532959	0.00225775284524558	0.00225775284524558	0.00225775284524558	0.002548003064393	0.002548003064393	0.000290250219147422	0.0948256195003145	0.0873797522526864	0.00782181709543293	0.011518397314278	0.0142789547728534	0.0857850469069591	0.0869915468008141	0.00522450394465359	0.0113213833216306	0.0894909664106883	0.0865539318452998	0.0854747465010559
"R7"	0.0264982138719575	0.0193692647005168	0.0201825495526794	0.0198416168280251	0.010902085889618	0.0193239022100283	1.02541900423643	0.0254190042364269	0.0241218120743486	0.0198943128903942	0.020190869030143	0.0264982138719575	0.0112059876155654	0.0230664877479814	0.0201825495526794	0.000288236662285218	0.0027350679626085	0.00213959027001666	0.00593308610416154	0.00185135360773144	0.00185135360773144	0.00185135360773144	0.00213959027001666	0.00213959027001666	0.000288236662285218	0.0777568515247206	0.0715190586830381	0.00840077103803844	0.0121915518043695	0.0705714411639724	0.070236696336725	0.071358411282844	0.00518825992113393	0.0676163165556857	0.0734049390096984	0.0697878468669198	0.0686345224795208
"R8"	0.0264982138719575	0.0193692647005168	0.0201825495526794	0.0198416168280251	0.010902085889618	0.0193239022100283	0.0254190042364269	1.02541900423643	0.0241218120743486	0.0198943128903942	0.020190869030143	0.0264982138719575	0.0112059876155654	0.0230664877479814	0.0201825495526794	0.000288236662285218	0.0027350679626085	0.00213959027001666	0.00593308610416154	0.00185135360773144	0.00185135360773144	0.00185135360773144	0.00213959027001666	0.00213959027001666	0.000288236662285218	0.0777568515247206	0.0715190586830381	0.00840077103803844	0.0121915518043695	0.0705714411639724	0.070236696336725	0.071358411282844	0.00518825992113393	0.0676163165556857	0.0734049390096984	0.0697878468669198	0.0686345224795208
"R9"	0.0278019656273664	0.0206510741615455	0.0214502547046952	0.0210759085477612	0.00950434290838679	0.0179750882859481	0.0241218120743486	0.0241218120743486	1.02678482081848	0.0212119120718212	0.0214525164752308	0.0278019656273664	0.00980736143054711	0.0243790554976733	0.0214502547046952	0.000238342632873978	0.00269632508710111	0.000694649531488494	0.00711730867996465	0.000456306898614516	0.000456306898614516	0.000456306898614516	0.000694649531488494	0.000694649531488494	0.000238342632873978	0.0191648897418097	0.0717860253860736	0.0089734065644111	0.0686249441403248	0.071305145481919	0.0706855430206442	0.0718773494914903	0.00429016739173161	0.0680843638588414	0.0737394736268139	0.0696771553687453	0.0684582025938617
"R10"	0.0271656850172305	0.0219956262450891	0.0264764112589189	0.0169068884454139	0.00532022504214927	0.0137273400876458	0.0198943128903942	0.0198943128903942	0.0212119120718212	1.02611037203621	0.0208273695790134	0.0271656850172305	0.00562742805923746	0.0266446218150486	0.0264764112589189	0.000366039222706209	0.00279192412955198	0.00220506637699189	0.0122324484498176	0.00183902715428568	0.00183902715428568	0.00183902715428568	0.00220506637699189	0.00220506637699189	0.000366039222706209	0.0772391404799984	0.0710602860222829	0.0658359326579778	0.0694457793856798	0.0716562585957236	0.0702564619549936	0.0714135380427166	0.00658870600871177	0.0682192571351805	0.0727765472053732	0.0117534951343904	0.0104212640436379
