"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Palicourea_corymbifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Azteca_sp8"	"Crematogaster_brasiliensis"	"Crema_limata"	"Camponotus_femoratus"	"Pachycondila_unidentata"	"Solenopsis_sp5"
"Cordia_nodosa"	1.23809523809524	0	0	0	0	0	0	0.0952380952380952	0.154761904761905	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0.154761904761905	0.0119047619047619	0.0119047619047619
"Hirtella_myrmecophila"	0	1.23809523809524	0	0	0.0952380952380952	0	0	0	0	0.333333333333333	0	0	0	0	0.0238095238095238	0.309523809523809	0	0	0	0	0
"Maieta_guianensis"	0	0	1.24444444444444	0	0	0.0888888888888889	0	0	0	0	0.311111111111111	0	0.355555555555556	0	0	0	0	0	0	0	0
"Myrcia_madida"	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	0.0952380952380952	0	0	1.23809523809524	0	0	0	0	0.333333333333333	0	0	0	0	0.309523809523809	0.0238095238095238	0	0	0	0	0
"Tococa_bullifera"	0	0	0.177777777777778	0	0	1.15555555555556	0	0	0	0	0.0444444444444444	0	0.622222222222222	0	0	0	0	0	0	0	0
"Tachigalia_spp."	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0
"Palicourea_corymbifera"	0.0952380952380952	0	0	0	0	0	0	1.23809523809524	0.0119047619047619	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0.0119047619047619	0.154761904761905	0.154761904761905
"Azteca_r.am.1"	0.619047619047619	0	0	0	0	0	0	0.0476190476190476	1.07738095238095	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.0773809523809524	0.00595238095238095	0.00595238095238095
"Allomerus_octoarticulatus"	0	0.333333333333333	0	0	0.333333333333333	0	0	0	0	1.16666666666667	0	0	0	0	0.0833333333333333	0.0833333333333333	0	0	0	0	0
"Pheidole_minutula"	0	0	0.622222222222222	0	0	0.0444444444444444	0	0	0	0	1.15555555555556	0	0.177777777777778	0	0	0	0	0	0	0	0
"Myrcidris_sp."	0	0	0	0.666666666666667	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.355555555555556	0	0	0.311111111111111	0	0	0	0	0.0888888888888889	0	1.24444444444444	0	0	0	0	0	0	0	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0
"Allomerus_septemarticulatus"	0	0.0476190476190476	0	0	0.619047619047619	0	0	0	0	0.166666666666667	0	0	0	0	1.1547619047619	0.0119047619047619	0	0	0	0	0
"Azteca_sp8"	0	0.619047619047619	0	0	0.0476190476190476	0	0	0	0	0.166666666666667	0	0	0	0	0.0119047619047619	1.1547619047619	0	0	0	0	0
"Crematogaster_brasiliensis"	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0.0416666666666667	0	0	0	0	0	0	0	1.08333333333333	0.0833333333333333	0.0416666666666667	0.0416666666666667	0.0416666666666667
"Crema_limata"	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0.0416666666666667	0	0	0	0	0	0	0	0.0833333333333333	1.08333333333333	0.0416666666666667	0.0416666666666667	0.0416666666666667
"Camponotus_femoratus"	0.619047619047619	0	0	0	0	0	0	0.0476190476190476	0.0773809523809524	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	1.07738095238095	0.00595238095238095	0.00595238095238095
"Pachycondila_unidentata"	0.0476190476190476	0	0	0	0	0	0	0.619047619047619	0.00595238095238095	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.00595238095238095	1.07738095238095	0.0773809523809524
"Solenopsis_sp5"	0.0476190476190476	0	0	0	0	0	0	0.619047619047619	0.00595238095238095	0	0	0	0	0	0	0	0.0833333333333333	0.0833333333333333	0.00595238095238095	0.0773809523809524	1.07738095238095
