"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"	"C45"	"C46"
"R11"	0.0112270487103252	0.0221312334972759	0.013799702029283	0.00835134635648367	0.0107960200815246	0.0105024511437419	0.00958476675934713	0.0224972448101422	0.0224505091371062	0.0193387200213461	1.02894508877467	0.00880992369394486	0.0164580391837536	0.0210628867171091	0.0172262152315803	0.0144049035229253	0.0277361659250469	0.0167446288358685	0.0119277188805127	0.00226302450118044	0.0170756955201657	0	0.0263078002802102	0.0263371937090651	0.0259112037490468	0.0255371574039615	0.0252653095138574	0.024142500354905	0.0251743592487791	0.0247483692887607	0.0242347365864451	0.0248680223148242	0.0247540141134506	0.0245407369522576	0.0241806143641845	0.0237842463514775	0.0235043955176389	0.0238597939942643	0.0237466820399862	0.00434417059412034	0.00469214335897382	0.0226834705316097	0.0227859699266013	0.022359979966583	0.00344878289263172	0.0224756319850195	0.0224756319850195	0.0220995090079283	0.0220995090079283	0.00229166992548337	0.0215119547456942	0.0212424163911541	0.00144397148323622	0.00152993990801741	0.00152144911394232	0.0200181162795309	0.000712889564083189	0.000687689653078473	0.000823991241288154	0.000823991241288154	0.000823991241288154	0.000823991241288154	0.000376122977091234	0.000513632702315682	0.000360122588073133	0.000348846434080594	0.000449944896202844	0
"R12"	0.0136452899846318	0.0168124520803656	0.0144969615434151	0.00997369738883417	0.0122440484656008	0.0120999983742993	0.0119245547473578	0.0137063790399175	0.0163507483692089	0.0178153774745229	0.0182975338258855	1.03567770079676	0.0251819171934032	0.0159334695918855	0.0152899204079207	0.00892084211284417	0.0182708369657419	0.0264019791464472	0.0124742483497677	0.00414688408846871	0.0136684933860542	0	0.0472707715604739	0.0469050645311114	0.0464595556614769	0.0458872393616268	0.0463026999545175	0.0448915791281305	0.00622486292751069	0.00577935405787613	0.00544100522517721	0.0455066609272297	0.0457235261755752	0.0450133408063164	0.0447903197534954	0.0445227668457731	0.00457393551599302	0.00456153430047851	0.00508555417367266	0.00433114023014003	0.00474671095467478	0.00370992678222393	0.00343974979507556	0.002994240925441	0.00334184703030966	0.00317154894785543	0.00317154894785543	0.00288702270514319	0.00288702270514319	0.00199362848705404	0.00248843079566682	0.00181431797953304	0.00137612853624934	0.00123961787059432	0.00133697999296214	0.000951319632495155	0.0404060740228024	0.04038379895517	0.000846443880648423	0.000846443880648423	0.000846443880648422	0.000846443880648422	0.000284526242712242	0.000338348832698925	0.000223021052821104	0.000550041232217649	0.000274127580798351	0
"R13"	0.00855976113152112	0.020395520379544	0.0128385326207203	0.00520819765254133	0.0079669148018327	0.00760450050661316	0.00651527984534766	0.040841446965516	0.0186844540014725	0.0182616428393364	0.0201985026346067	0.0148802237961019	1.05049887420612	0.0177234928779779	0.0134285832223953	0.00805596207496258	0.0202205397244047	0.0120950544838729	0.0110942067291118	0.00267472587466623	0.0155869169646701	0	0.0305778385069788	0.0305031679317885	0.0301069462628917	0.00623197184911625	0.0298065100520295	0.0289412998458627	0.00523904827885271	0.00484282660995585	0.00446837217061503	0.00583054137142286	0.0292993320025576	0.028747021585919	0.028545622534045	0.0281864541600043	0.0277243401466376	0.0283197371929029	0.00406218838797432	0.00347113380736646	0.00368814204288901	0.026969757969374	0.00379506244545501	0.00339884077655816	0.0268363156076816	0.0272922416493191	0.0272922416493191	0.0269757507050695	0.0269757507050696	0.00197448196719041	0.00269469289672129	0.00248940350250083	0.00104963244833759	0.0017340453495445	0.00103067012689148	0.00156532972373646	0.0244472907136255	0.000824296601597425	0.0246918033530857	0.0246918033530857	0.0246918033530857	0.0246918033530857	0.000316490944249606	0.000374454439340828	0.000201399051874065	0.000251980301747353	0.00081682893931032	0
"R14"	0.0113002705725706	0.0221115454371108	0.0171321757544019	0.007740173506848	0.0124379342598801	0.0105932241292555	0.0097059958880842	0.0171117306994985	0.0189128332203343	0.0183721219103849	0.0203106407629267	0.00739768231051828	0.0139256015469827	1.03820064980983	0.0241458050202438	0.0176115332467921	0.0190262802708934	0.0187419468577805	0.0101830662186127	0.00218904700067376	0.0161830749097112	0	0.0256238920110836	0.0256443621516787	0.0252806812152997	0.0249641902710501	0.0243666138404325	0.0232899684483977	0.0247011103507269	0.0243374294143479	0.0239850908908128	0.00584524795363823	0.0057505903496197	0.0239719154025352	0.0235316270713654	0.0230866020174868	0.0228584153830319	0.0230679342704526	0.0235739423425447	0.0228753121360014	0.0231978193654534	0.0220885797552757	0.0221280791429083	0.0217643982065293	0.0217332644321235	0.0215151698359906	0.0215151698359906	0.00297587251795797	0.00297587251795797	0.0206085572790663	0.00276816021295727	0.0204614303120869	0.0198730804799946	0.0198128739304711	0.00144719830501357	0.00107069611461627	0.000601017186961848	0.000674983468916003	0.000658725558239576	0.000658725558239576	0.000658725558239576	0.000658725558239576	0.0185392973180327	0.000352338523535062	0.000440288331169803	0.000390457226203761	0.00034223461398997	0
"R15"	0.0119039072511213	0.0217448899585064	0.0185544221697225	0.00869466580866091	0.0140288498877784	0.0110900683768589	0.0109008212304769	0.0156360151668498	0.0163673656088061	0.0174937963072252	0.0193794921355278	0.00828204022095705	0.012309534620529	0.0281701058569511	1.02887520199337	0.0188675217109588	0.0178777829440061	0.0227040826432499	0.0129589731345506	0.00246214999865707	0.0150316463085681	0	0.0288261900479155	0.0287737280554862	0.0283109075863952	0.0280311454359286	0.0274522398919055	0.0261541399590525	0.0278627055931843	0.0273998851240932	0.0270688150695746	0.00608434021612872	0.00600829007075168	0.0270168075640647	0.0265451195212908	0.0260760319165155	0.0257881779537994	0.00492042580593069	0.026713002773731	0.0259918455477122	0.0263541232897397	0.025031227360644	0.0251066131647867	0.0246437926956956	0.0248044740351428	0.00326631547053927	0.00326631547053927	0.00276327786595086	0.00276327786595086	0.0235013727829039	0.0238450801169749	0.00233320778505288	0.0228826274106253	0.022714518503697	0.00151268344175201	0.00100266984184688	0.000598302158964917	0.000791541730232721	0.000592482453803565	0.000592482453803565	0.000592482453803564	0.000592482453803565	0.000503037604588412	0.000331070054518631	0.00047168804277397	0.000473001721734373	0.000312720303336997	0
"R16"	0.0120392364435506	0.0189925861400766	0.0150728646756115	0.00925261769939613	0.0119219087030391	0.0152817691948237	0.0141173071006755	0.0160772875404939	0.0159466420198284	0.014276962944227	0.0194466197559492	0.00579854737334871	0.00886155828245885	0.024656146545509	0.0226410260531505	1.04109753610272	0.0208951163899138	0.0226669512712382	0.0100136861530971	0.00117912587987182	0.0130978370643552	0	0.032913913347601	0.0330292456310595	0.0326716139827346	0.0324702149308605	0.00613709368117285	0.00492170814388899	0.0322832797755544	0.0319256481272295	0.0315387015274163	0.00588843180267366	0.00574316472368189	0.0309978158132197	0.00497037741065174	0.00462232934439316	0.00437479671086066	0.0302760144478547	0.0311920353965505	0.0304463870710025	0.0308319128084773	0.00366583821490475	0.0295362702040324	0.0291786385557075	0.0290207555540446	0.00301797300219725	0.00301797300219725	0.00257768467102745	0.00257768467102745	0.00224554057050507	0.0283976011838472	0.0278830078032998	0.0274116429279959	0.00161034374164394	0.0273625171930753	0.00106861493869623	0.000424420104695169	0.000695249204305234	0.000522944802683942	0.000522944802683942	0.000522944802683942	0.000522944802683942	0.000440288331169803	0.000386946599813219	0.026027438402568	0.000472228151484129	0.000321545750809877	0
"R17"	0.00990900609673956	0.0208249924570811	0.0124589040394505	0.00703583612239316	0.0094561372055884	0.0115394008816441	0.0106192758656247	0.0225781373668211	0.0218677976417171	0.0180242563748935	0.0277361659250469	0.00879706965017204	0.0164759953309964	0.0197309573179635	0.0158913626168943	0.0154778639925288	1.03954693678034	0.0154068744301813	0.0119321068623605	0.00226708988949034	0.0157571664854031	0	0.026285110200613	0.0262824325163028	0.0258562858426471	0.0254818314033063	0.0252911867121389	0.0242509036494214	0.0251180664969267	0.0246919198232709	0.00544105062363494	0.0248376228990951	0.0247366904331812	0.0245134713502713	0.0241265247504582	0.0237550288948422	0.0234926716300846	0.0239232504165056	0.00496566371838022	0.00415887117763149	0.00445203101606453	0.022716523395382	0.0228945779651587	0.022468431291503	0.0033406161982794	0.0225545684976316	0.0225545684976316	0.0222022299740965	0.0222022299740966	0.00211523684594125	0.0216812045279044	0.0214307366778911	0.00139133172849569	0.00144644392637638	0.0203523979391881	0.0202160646492881	0.000712803272039753	0.000659325383327702	0.00082601718667725	0.00082601718667725	0.00082601718667725	0.00082601718667725	0.000352338523535062	0.019250869199636	0.000386946599813219	0.000320976550628777	0.000451562747336422	0
"R18"	0.0124994879965877	0.0194425022145037	0.0161884035638711	0.0100487072872271	0.0125539424749881	0.0116811793135365	0.0115047266418865	0.0133998022537119	0.015157404789997	0.0162670340648659	0.0188377074403521	0.0143010720376589	0.0110871332768835	0.0218656046674106	0.0227040826432499	0.0188891260593652	0.017332733733954	1.04004819838227	0.013257450426149	0.00171499456129111	0.0145520395035748	0	0.0288858166120642	0.0289464613162198	0.0284729809438574	0.02822100064211	0.0276165676691399	0.00505672036017907	0.0278764437371806	0.0274029633648182	0.0270819868141894	0.0273587939150502	0.027281265417015	0.0271206323926735	0.0266484042411894	0.0262866562014338	0.0257060523066284	0.00458776946290071	0.0267524780144068	0.0259849354433584	0.0264036315803262	0.00374531853528564	0.0251042124382871	0.0246307320659247	0.0247615710446393	0.00295518536887842	0.00295518536887842	0.00256472814267466	0.00256472814267467	0.00230118966164267	0.0240242000749952	0.00213001320725404	0.0230033578990529	0.00153616508210915	0.00154173244372381	0.000937819029783609	0.000802021533965003	0.0222177120318483	0.000519976346821591	0.000519976346821591	0.000519976346821591	0.000519976346821591	0.000390457226203761	0.000320976550628777	0.000472228151484129	0.0216676707996306	0.000267996045074238	0
"R19"	0.0106207251330812	0.0210083664272613	0.0182026336063751	0.00846798953590828	0.0124990593073725	0.00920127535925734	0.00901579335231567	0.0162686816999252	0.0185163950741927	0.0161709994758185	0.0230034578409888	0.0115832306104986	0.0174337534314614	0.0203661324372254	0.0222153825163724	0.0143052659329959	0.0230119203774096	0.0227270578733982	1.02254421386566	0.00254139758115206	0.0136296018946664	0	0.0438667849795213	0.0437677330468214	0.00724829683733367	0.00685207516843681	0.0426634918876817	0.00531774240850198	0.0426006288742915	0.00608119266480375	0.00565504599114801	0.0421873783241296	0.0421810696653266	0.0421695625550306	0.0418119309067057	0.041364189141032	0.0409758264337158	0.00482253218048345	0.00525251566344817	0.00447369280610035	0.00482652570342986	0.0402315315114704	0.0401461340537446	0.00362669784425693	0.039742754601427	0.0033903971766136	0.0033903971766136	0.00302671624023458	0.00302671624023458	0.00226755098479084	0.0389908789669387	0.00230135318007631	0.00165761342615748	0.001606940879628	0.00137184462203461	0.00117751026767255	0.000841730538531414	0.000918989241997027	0.000721595302895356	0.000721595302895356	0.000721595302895356	0.000721595302895356	0.000363680936379024	0.000426146673655733	0.000357631648324897	0.000473480372362464	0.000325373633998505	0
"R20"	0.0183796554600947	0.0203177919807406	0.00798459172291604	0.0115559659944764	0.00724130739780883	0.0184037718778842	0.0182183298482842	0.0201022027762724	0.0196080091875577	0.0197986168549744	0.020367220510624	0.0179698310500311	0.019614656414219	0.0204311053396218	0.0196971999892565	0.00786083919914545	0.0204038090054131	0.0137199564903289	0.0118598553787096	1.01588441432982	0.0039142025251543	0	0.17716833799884	0.00794746424208837	0.00752389797856303	0.00707811033278533	0.176545911369607	0.175355014096097	0.0064084851927071	0.00598491892918176	0.00560707061426671	0.00652995611644356	0.00654948269292654	0.00530716183753842	0.0051106408575598	0.00508245882745547	0.00419320265330015	0.00482149276959937	0.00518080954497197	0.00432214021167204	0.00480363879477523	0.00362799459990323	0.00364069876725703	0.00321713250373169	0.00310482107170111	0.00327587489223599	0.00327587489223599	0.00291103372545703	0.00291103372545703	0.00188341224581734	0.00247334112413259	0.00214468633668958	0.00125755290674896	0.00137685834848682	0.00175676482768705	0.00115706312063725	0.00113693499385582	0.000976979774959969	0.000847831701303154	0.000847831701303154	0.000847831701303154	0.000847831701303154	0.00036484116677896	0.000377848314915057	0.000196520979978636	0.000285832426881851	0.000402044055525449	0
