"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_125"	"Lygistorrhina_sp1_M_PL_125"	"Ornidia_obesa"	"Xylocopa_caffra"	"Nectarinia_dussumieri"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_125"	"Unidentified_sp3_M_PL_125"	"Unidentified_sp4_M_PL_125"
"Nephrosperma_vanhoutteanum"	1.20172999691072	0.0568427556379364	0.0568427556379364	0.0179178251467408	0	0	0.143342601173927	0.127278344145814	0.127278344145814	0.00710534445474205	0.00710534445474204	0	0.00710534445474205	0.00710534445474205	0.120172999691072	0.120172999691072	0
"Chrysobalanus_icaco"	0.0710534445474204	1.21292005629355	0.0277348711083651	0.0216249613839975	0	0	0.17299969107198	0.0105722033432877	0.158720351491436	0.00346685888854564	0.151615007036694	0	0.00346685888854564	0.151615007036694	0.00710534445474205	0.00710534445474205	0
"Mimusops_sechellarum"	0.0710534445474204	0.0277348711083651	1.21292005629355	0.0216249613839975	0	0	0.17299969107198	0.158720351491436	0.0105722033432877	0.151615007036694	0.00346685888854564	0	0.151615007036694	0.00346685888854564	0.00710534445474205	0.00710534445474205	0
"Memecylon_eleagni"	0.089589125733704	0.0864998455359901	0.0864998455359901	1.07074451652765	0	0	0.565956132221193	0.0197713932653692	0.0197713932653692	0.0108124806919988	0.0108124806919988	0	0.0108124806919988	0.0108124806919988	0.0089589125733704	0.0089589125733704	0
"Dillenia_suffruticosa"	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0.666666666666667
"Apis_mellifera"	0.179178251467408	0.17299969107198	0.17299969107198	0.141489033055298	0	0	1.13191226444239	0.0395427865307383	0.0395427865307383	0.0216249613839975	0.0216249613839975	0	0.0216249613839975	0.0216249613839975	0.0179178251467408	0.0179178251467408	0
"Lasioglossum_mahense"	0.318195860364535	0.0211444066865754	0.317440702982872	0.00988569663268458	0	0	0.0790855730614766	1.07149967390931	0.0344626368722754	0.039680087872859	0.00264305083582192	0	0.039680087872859	0.00264305083582192	0.0318195860364535	0.0318195860364535	0
"Unidentified_sp1_M_PL_125"	0.318195860364535	0.317440702982872	0.0211444066865754	0.00988569663268458	0	0	0.0790855730614766	0.0344626368722754	1.07149967390931	0.00264305083582192	0.039680087872859	0	0.00264305083582192	0.039680087872859	0.0318195860364535	0.0318195860364535	0
"Lygistorrhina_sp1_M_PL_125"	0.0355267222737102	0.0138674355541825	0.606460028146775	0.0108124806919988	0	0	0.0864998455359901	0.0793601757457179	0.00528610167164384	1.07580750351835	0.00173342944427282	0	0.0758075035183469	0.00173342944427282	0.00355267222737102	0.00355267222737102	0
"Ornidia_obesa"	0.0355267222737102	0.606460028146775	0.0138674355541825	0.0108124806919988	0	0	0.0864998455359901	0.00528610167164384	0.0793601757457179	0.00173342944427282	1.07580750351835	0	0.00173342944427282	0.0758075035183469	0.00355267222737102	0.00355267222737102	0
"Xylocopa_caffra"	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0
"Nectarinia_dussumieri"	0.0355267222737102	0.0138674355541825	0.606460028146775	0.0108124806919988	0	0	0.0864998455359901	0.0793601757457179	0.00528610167164384	0.0758075035183469	0.00173342944427282	0	1.07580750351835	0.00173342944427282	0.00355267222737102	0.00355267222737102	0
"Rhynchium_brunneum"	0.0355267222737102	0.606460028146775	0.0138674355541825	0.0108124806919988	0	0	0.0864998455359901	0.00528610167164384	0.0793601757457179	0.00173342944427282	0.0758075035183469	0	0.00173342944427282	1.07580750351835	0.00355267222737102	0.00355267222737102	0
"Unidentified_sp2_M_PL_125"	0.60086499845536	0.0284213778189682	0.0284213778189682	0.0089589125733704	0	0	0.0716713005869632	0.063639172072907	0.063639172072907	0.00355267222737102	0.00355267222737102	0	0.00355267222737102	0.00355267222737102	1.06008649984554	0.060086499845536	0
"Unidentified_sp3_M_PL_125"	0.60086499845536	0.0284213778189682	0.0284213778189682	0.0089589125733704	0	0	0.0716713005869632	0.063639172072907	0.063639172072907	0.00355267222737102	0.00355267222737102	0	0.00355267222737102	0.00355267222737102	0.060086499845536	1.06008649984554	0
"Unidentified_sp4_M_PL_125"	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	1.33333333333333
