"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"
"R1"	1.05234513339555	0.0523451333955469	0.0111500366017389	0.0111500366017389	0.0111500366017389	0.0111500366017389	0.0253363569114284	0.03573846003594	0.0054552514556562	0.0104021031245116	0.0117623377473152	0.0111500366017389	0.0111500366017389	0.0111500366017389	0.0618983010552159	0.00221065360911485	0.00221065360911485	0.12861814339024	0.00221065360911485	0.0195129295750451	0.129981956254154	0.00221065360911485	0.010881876982429	0.119880611443124	0.00221065360911485	0.00221065360911485	0.112679680288224	0.0119669356356364	0.119880611443124
"R2"	0.0523451333955469	1.05234513339555	0.0111500366017389	0.0111500366017389	0.0111500366017389	0.0111500366017389	0.0253363569114284	0.03573846003594	0.0054552514556562	0.0104021031245116	0.0117623377473152	0.0111500366017389	0.0111500366017389	0.0111500366017389	0.0618983010552159	0.00221065360911485	0.00221065360911485	0.12861814339024	0.00221065360911485	0.0195129295750451	0.129981956254154	0.00221065360911485	0.010881876982429	0.119880611443124	0.00221065360911485	0.00221065360911485	0.112679680288224	0.0119669356356364	0.119880611443124
"R3"	0.0139375457521736	0.0139375457521736	1.02820956453455	0.0282095645345494	0.0282095645345494	0.0282095645345494	0.00192773666845646	0.0207050724729051	0.0125852350827461	0.0187773358044486	0.019491770069878	0.0282095645345494	0.0282095645345494	0.0282095645345494	0.0345041399887058	0.00123229071388235	0.00123229071388235	0.160994618764266	0.00123229071388235	0.161353418384518	0.164140927534953	0.00123229071388235	0.00571547412343527	0.00606651201513524	0.00123229071388235	0.00123229071388235	0.00401979986431707	0.150915659681613	0.00606651201513524
"R4"	0.0139375457521736	0.0139375457521736	0.0282095645345494	1.02820956453455	0.0282095645345494	0.0282095645345494	0.00192773666845646	0.0207050724729051	0.0125852350827461	0.0187773358044486	0.019491770069878	0.0282095645345494	0.0282095645345494	0.0282095645345494	0.0345041399887058	0.00123229071388235	0.00123229071388235	0.160994618764266	0.00123229071388235	0.161353418384518	0.164140927534953	0.00123229071388235	0.00571547412343527	0.00606651201513524	0.00123229071388235	0.00123229071388235	0.00401979986431707	0.150915659681613	0.00606651201513524
"R5"	0.0139375457521736	0.0139375457521736	0.0282095645345494	0.0282095645345494	1.02820956453455	0.0282095645345494	0.00192773666845646	0.0207050724729051	0.0125852350827461	0.0187773358044486	0.019491770069878	0.0282095645345494	0.0282095645345494	0.0282095645345494	0.0345041399887058	0.00123229071388235	0.00123229071388235	0.160994618764266	0.00123229071388235	0.161353418384518	0.164140927534953	0.00123229071388235	0.00571547412343527	0.00606651201513524	0.00123229071388235	0.00123229071388235	0.00401979986431707	0.150915659681613	0.00606651201513524
"R6"	0.0139375457521736	0.0139375457521736	0.0282095645345494	0.0282095645345494	0.0282095645345494	1.02820956453455	0.00192773666845646	0.0207050724729051	0.0125852350827461	0.0187773358044486	0.019491770069878	0.0282095645345494	0.0282095645345494	0.0282095645345494	0.0345041399887058	0.00123229071388235	0.00123229071388235	0.160994618764266	0.00123229071388235	0.161353418384518	0.164140927534953	0.00123229071388235	0.00571547412343527	0.00606651201513524	0.00123229071388235	0.00123229071388235	0.00401979986431707	0.150915659681613	0.00606651201513524
"R7"	0.0422272615190474	0.0422272615190474	0.00257031555794194	0.00257031555794194	0.00257031555794194	0.00257031555794194	1.06224420586772	0.064507290942559	0.00140388779546079	0.00226308507483604	0.025801606447198	0.00257031555794194	0.00257031555794194	0.00257031555794194	0.0746665252618683	0.0026666616164953	0.0026666616164953	0.0223391292637563	0.0026666616164953	0.014244648908812	0.0226901012126215	0.0026666616164953	0.188308170978895	0.193528422476805	0.0026666616164953	0.0026666616164953	0.0111121139203048	0.00491568772969449	0.193528422476805
"R8"	0.02978205002995	0.02978205002995	0.0138033816486034	0.0138033816486034	0.0138033816486034	0.0138033816486034	0.0322536454712795	1.04518374085513	0.00860999974082706	0.0129300953838542	0.0251186840652825	0.0138033816486034	0.0138033816486034	0.0138033816486034	0.0530493962168325	0.0018946212934583	0.0018946212934583	0.112322486718707	0.0018946212934583	0.108518576647924	0.114474986653914	0.0018946212934583	0.0975087094514264	0.100325283949256	0.0018946212934583	0.0018946212934583	0.00785103129944831	0.0139725802359863	0.100325283949256
"R9"	0.0136381286391405	0.0136381286391405	0.0251704701654922	0.0251704701654922	0.0251704701654922	0.0251704701654922	0.00210583169319119	0.0258299992224812	1.02237628094442	0.02372416752929	0.0245604435432154	0.0251704701654922	0.0251704701654922	0.0251704701654922	0.0312670619640133	0.00111668078442905	0.00111668078442905	0.0350450512067198	0.00111668078442905	0.287911495714996	0.290639121442824	0.00111668078442905	0.00669020811140293	0.00634777839632912	0.00111668078442905	0.00111668078442905	0.00384430651225715	0.0231408421792347	0.00634777839632912
"R10"	0.0173368385408527	0.0173368385408527	0.0250364477392648	0.0250364477392648	0.0250364477392648	0.0250364477392648	0.00226308507483603	0.0258601907677085	0.0158161116861933	1.02359710569287	0.0244357616833671	0.0250364477392648	0.0250364477392648	0.0250364477392648	0.0314322671717968	0.00112258097042131	0.00112258097042131	0.202305844173657	0.00112258097042131	0.202792504387035	0.206259872095206	0.00112258097042131	0.00670924792395725	0.0071221454217069	0.00112258097042131	0.00112258097042131	0.00458994867859185	0.023029472742278	0.0071221454217069
