"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Gastonia_crassa"	"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Memecylon_eleagni"	"Campnosperma_seychellarum"	"Glionnetia_sericea"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp5_M_PL_106"	"Pachycerina_seychellensis"	"Ceratina_tabescens"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_106"	"Scaptodrosophila_sp1_M_PL_106"	"Agrius_convolvuli"	"Lygistorrhina_sp1_M_PL_106"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_106"	"Unidentified_sp6_M_PL_106"	"Forcipomyia_sp1_M_PL_106"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_106"	"Unidentified_sp4_M_PL_106"	"Hemipyrellia_sp1_M_PL_106"	"Megachile_seychellensis"	"Melanostoma_annulipes"	"Perissoma_aenescens"	"Simosyrphus_aegyptius"	"Xylocopa_caffra"
"Apis_mellifera"	0.103796292445306	0.0946909781172368	0.00376716593194209	0.0882713134015303	0.101771859268618	0.103832312230943	0.0866865041233284	0.00358340174014004	0	0.0802668394076219	1.12373575170671	0.0513573177256515	0.0480268439634505	0.0240810479354751	0.00790356883905707	0.000188358296597105	0.00648726827783164	0.00678588508950998	0.00667562657442875	0.000188358296597105	0.00648726827783165	0	0.000298616811678336	0.0101771859268618	0.000188358296597105	0.000188358296597105	0.000486975108275441	0.0175937796576434	0.000188358296597105	0.000188358296597105	0.000298616811678337	0.00741659373078163	0.00648726827783165	0.000188358296597105	0.000298616811678337	0.00741659373078164
"Lasioglossum_mahense"	0.166684893711447	0.146522462161937	0.00598689773819996	0.0112879124894493	0.0196709815977203	0.16274478591792	0.141654214388194	0.00569485394609264	0	0.00641966471570644	0.0898753060198901	1.0818763973799	0.0292094866424572	0.0240095315823032	0.0123985436146501	0.000299344886909998	0.0104178058569654	0.0108923770191398	0.0107171507438754	0.000299344886909998	0.0104178058569654	0	0.000474571162174387	0.00196709815977203	0.000299344886909998	0.000299344886909998	0.000773916049084385	0.0135917257253377	0.000299344886909998	0.000299344886909998	0.000474571162174387	0.0116246275655657	0.0104178058569654	0.000299344886909998	0.000474571162174387	0.0116246275655657
"Nectarinia_dussumieri"	0.019345885030775	0.196517270971496	0.000786383220681531	0.191649023197753	0.212021609283823	0.0247212761370022	0.0128727217676513	0.000748023063575115	0	0.00800447399390841	0.112062635914718	0.0389459821899429	1.10186729522307	0.0241770841811631	0.0018674598546893	3.93191610340766e-05	0.00120911781442344	0.00127145306972136	0.00124843697545751	3.93191610340766e-05	0.00120911781442344	0	6.23352552979262e-05	0.0212021609283823	3.93191610340766e-05	3.93191610340765e-05	0.000101654416332003	0.0229679663667396	3.93191610340766e-05	3.93191610340766e-05	6.23352552979263e-05	0.0017658054383573	0.00120911781442344	3.93191610340766e-05	6.23352552979263e-05	0.0017658054383573
"Hemipyrellia_germana"	0.209089932539807	0.0120446106164902	0.00758718262117604	0.00804302201943969	0.201588935735548	0.209067302406814	0.00801509658629637	0.00721707615185038	0	0.00401350798924585	0.0561891118494419	0.0320127087764042	0.0241770841811631	1.04816039310064	0.0159141608870568	0.000379359131058802	0.0130681207837379	0.0136695437963921	0.0134474799147967	0.000379359131058802	0.0130681207837379	0	0.000601423012654198	0.0201588935735548	0.000379359131058802	0.000379359131058802	0.000980782143713	0.0350922723168986	0.000379359131058802	0.000379359131058802	0.000601423012654198	0.0149333787433438	0.0130681207837379	0.000379359131058802	0.000601423012654198	0.0149333787433438
"Rhiparida_seychellensis"	0.0151385084093175	0.00369492871806608	0.223106506683555	0.00162850478229106	0.00844512206105526	0.197728886675166	0.00338368540895119	0.212223262455089	0	0.00131726147317618	0.0184416606244665	0.0165313914862001	0.0018674598546893	0.0159141608870568	1.0429640891108	0.0111553253341778	0.000946156775582342	0.0186314286468397	0.0121014821097601	0.0111553253341777	0.000946156775582341	0	0.0176852718712574	0.000844512206105525	0.0111553253341777	0.0111553253341777	0.0288405972054351	0.0149680041114745	0.0111553253341777	0.0111553253341777	0.0176852718712574	0.014123491905369	0.000946156775582342	0.0111553253341777	0.0176852718712574	0.014123491905369
"Unidentified_sp5_M_PL_106"	0.00992221163946915	0.000263511172270589	0.632592124616871	0.000113838728815591	0.000455792721865671	0.00661303850932224	0.000243851591753551	0.0163681185379998	0	9.41791482985523e-05	0.00131850807617973	0.00119737954763999	0.00011795748310223	0.00113807739317641	0.0334659760025332	1.03162960623084	0.000620138227466822	0.00198414810563347	0.0322497444583104	0.0316296062308436	0.000620138227466822	0	0.00136400987816665	4.55792721865671e-05	0.0316296062308436	0.0316296062308436	0.0329936161090102	0.000517939165709584	0.0316296062308436	0.0316296062308436	0.00136400987816665	0.000472359893523017	0.000620138227466822	0.0316296062308436	0.00136400987816665	0.000472359893523017
"Pachycerina_seychellensis"	0.589014192581403	0.00905709597461026	0.0124027645493364	0.00384819304612754	0.0115578918597005	0.0172926058046836	0.00845253706739853	0.0117977516444908	0	0.00324363413891582	0.0454108779448215	0.0416712234278617	0.00362735344327031	0.0392043623512137	0.00283847032674702	0.000620138227466822	1.03681338703634	0.0377965330067119	0.0374335252638045	0.000620138227466822	0.0368133870363377	0	0.000983145970374229	0.00115578918597005	0.000620138227466822	0.000620138227466822	0.00160328419784105	0.00239097531487603	0.000620138227466822	0.000620138227466822	0.00098314597037423	0.00123518612890597	0.0368133870363377	0.000620138227466822	0.00098314597037423	0.00123518612890597
"Ceratina_tabescens"	0.302372264053695	0.00473742879459279	0.0198414810563347	0.00201433453980784	0.00614024503864623	0.013888345623146	0.00441956552716245	0.311556530760904	0	0.00169647127237749	0.0237505978132849	0.0217847540382796	0.00190717960458205	0.0205043156945882	0.0279471429702596	0.000992074052816734	0.018898266503356	1.04486131073343	0.0198903405561727	0.000992074052816734	0.018898266503356	0	0.0259630442300753	0.000614024503864622	0.000992074052816734	0.000992074052816734	0.026955118282892	0.0016060491912322	0.000992074052816735	0.000992074052816734	0.0259630442300753	0.000992024687367574	0.018898266503356	0.000992074052816735	0.0259630442300753	0.000992024687367574
"Neophyllomyza_approximatonervis"	0.299468202110436	0.00466030357344042	0.322497444583104	0.00198101588747157	0.0060068422907831	0.0119528221570029	0.00434819432957604	0.0140829350912453	0	0.00166890664360719	0.0233646930105006	0.0214343014877508	0.00187265546318627	0.0201712198721951	0.0181522231646401	0.0161248722291552	0.0187167626319023	0.0198903405561727	1.03484163486106	0.0161248722291552	0.0187167626319023	0	0.00117357792427044	0.00060068422907831	0.0161248722291552	0.0161248722291552	0.0172984501534256	0.00145445724029281	0.0161248722291552	0.0161248722291552	0.00117357792427044	0.000853773011214495	0.0187167626319023	0.0161248722291552	0.00117357792427044	0.000853773011214495
"Unidentified_sp1_M_PL_106"	0.00992221163946915	0.00026351117227059	0.632592124616872	0.000113838728815591	0.000455792721865671	0.00661303850932224	0.000243851591753551	0.0163681185379998	0	9.41791482985524e-05	0.00131850807617973	0.00119737954763999	0.00011795748310223	0.00113807739317641	0.0334659760025332	0.0316296062308436	0.000620138227466822	0.00198414810563347	0.0322497444583104	1.03162960623084	0.000620138227466822	0	0.00136400987816665	4.55792721865671e-05	0.0316296062308436	0.0316296062308436	0.0329936161090102	0.000517939165709584	0.0316296062308436	0.0316296062308436	0.00136400987816665	0.000472359893523017	0.000620138227466822	0.0316296062308436	0.00136400987816665	0.000472359893523017
