"Canthium_bibracteatum"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Unidentified_sp7_M_PL_098"	"Ornidia_obesa"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_098"	"Forcipomyia_sp1_M_PL_098"	"Melanostoma_annulipes"	"Lygistorrhina_sp1_M_PL_098"	"Phelsuma_sp1_M_PL_098"	"Unidentified_sp2_M_PL_098"	"Unidentified_sp3_M_PL_098"	"Unidentified_sp6_M_PL_098"	"Hemipyrellia_sp1_M_PL_098"	"Unidentified_sp4_M_PL_098"	"Unidentified_sp5_M_PL_098"
"Unidentified_sp7_M_PL_098"	0.0161757351067745	0.022249591561448	0.0153866440921235	0.318916684244961	0.0162095704209478	0.277728441240412	0.051219577034852	0.0226490970639479	0.0532457733374705	0.019108193041755	1.06400566710923	0.00161757351067745	0.00331392998410594	0.0013905994725905	0.0177175935691645	0.0013905994725905	0.00202619630261847	0.0013905994725905	0.019743789871783	0.0177175935691645	0.019743789871783	0.00161757351067745	0.0177175935691645	0.0177175935691645
"Ornidia_obesa"	0.580809578265263	0.0270098613016254	0.0238974446674317	0.011391339911645	0.00794467369645405	0.0156137688242477	0.0653585495453481	0.0633891069586204	0.0663516337574049	0.0023209685486652	0.0032351470213549	1.05808095782653	0.00467529691478055	0.00168811633135159	0.00063285221731361	0.00168811633135159	0.000993084212056756	0.00168811633135159	0.00162593642937037	0.00063285221731361	0.00162593642937037	0.0580809578265263	0.00063285221731361	0.00063285221731361
"Rhiparida_seychellensis"	0.0233764845739027	0.320191241804183	0.284946399246145	0.0161226349708188	0.00752053782392103	0.0145093682476961	0.0603861290172025	0.0588636029187431	0.0613261962451926	0.0209076545555847	0.00331392998410594	0.00233764845739027	1.05563025251853	0.0200119526127615	0.000895701942823266	0.0200119526127614	0.000940067227990128	0.0200119526127614	0.00183576917081339	0.000895701942823265	0.00183576917081339	0.00233764845739027	0.000895701942823265	0.000895701942823265
"Unidentified_sp1_M_PL_098"	0.0168811633135159	0.589984437031276	0.025199023288545	0.0184223478553608	0.00563328412533618	0.0105464110526324	0.0434697567323132	0.0427354853266168	0.0441739172479803	0.037897491084197	0.002781198945181	0.00168811633135159	0.0400239052255229	1.03687402731445	0.00102346376974227	0.0368740273144548	0.000704160515667023	0.0368740273144548	0.00172762428540929	0.00102346376974227	0.00172762428540929	0.00168811633135159	0.00102346376974227	0.00102346376974227
"Forcipomyia_sp1_M_PL_098"	0.0063285221731361	0.0163754203158762	0.00614352092723412	0.607740320994708	0.0200478664239745	0.0100310158317381	0.0040960920749165	0.0361876072693328	0.0066020753779133	0.0347868149361149	0.035435187138329	0.00063285221731361	0.00179140388564653	0.00102346376974227	1.03376335116637	0.00102346376974226	0.00250598330299681	0.00102346376974227	0.0362693344693694	0.0337633511663726	0.0362693344693694	0.00063285221731361	0.0337633511663726	0.0337633511663726
"Melanostoma_annulipes"	0.0168811633135159	0.589984437031277	0.025199023288545	0.0184223478553608	0.00563328412533618	0.0105464110526324	0.0434697567323132	0.0427354853266168	0.0441739172479802	0.037897491084197	0.002781198945181	0.00168811633135159	0.0400239052255229	0.0368740273144548	0.00102346376974227	1.03687402731445	0.000704160515667023	0.0368740273144548	0.00172762428540929	0.00102346376974227	0.00172762428540929	0.00168811633135159	0.00102346376974227	0.00102346376974227
"Lygistorrhina_sp1_M_PL_098"	0.00993084212056756	0.0112665682506724	0.00940779152250587	0.0451076994539426	0.581675309505538	0.00927845581344081	0.00441962797027715	0.00537920197103382	0.0771290416584693	0.00321014381866383	0.00405239260523694	0.000993084212056756	0.00188013445598026	0.000704160515667023	0.00250598330299681	0.000704160515667022	1.07270941368819	0.000704160515667022	0.075215396991189	0.00250598330299681	0.075215396991189	0.000993084212056757	0.00250598330299681	0.00250598330299681
"Phelsuma_sp1_M_PL_098"	0.0168811633135159	0.589984437031276	0.025199023288545	0.0184223478553608	0.00563328412533618	0.0105464110526324	0.0434697567323132	0.0427354853266168	0.0441739172479802	0.037897491084197	0.002781198945181	0.00168811633135159	0.0400239052255229	0.0368740273144548	0.00102346376974227	0.0368740273144548	0.000704160515667023	1.03687402731445	0.00172762428540929	0.00102346376974227	0.00172762428540929	0.00168811633135159	0.00102346376974227	0.00102346376974227
"Unidentified_sp2_M_PL_098"	0.00812968214685183	0.0138209942832743	0.00777565622487	0.326424010224325	0.300861587964756	0.00965473582258948	0.00425786002259682	0.0207834046201833	0.0418655585181913	0.0189984793773894	0.019743789871783	0.000812968214685183	0.00183576917081339	0.000863812142704644	0.0181346672346847	0.000863812142704644	0.0376076984955945	0.000863812142704644	1.05574236573028	0.0181346672346847	0.0557423657302792	0.000812968214685183	0.0181346672346847	0.0181346672346847
"Unidentified_sp3_M_PL_098"	0.0063285221731361	0.0163754203158762	0.00614352092723412	0.607740320994708	0.0200478664239745	0.0100310158317381	0.0040960920749165	0.0361876072693328	0.0066020753779133	0.0347868149361149	0.035435187138329	0.00063285221731361	0.00179140388564653	0.00102346376974227	0.0337633511663726	0.00102346376974227	0.00250598330299681	0.00102346376974227	0.0362693344693694	1.03376335116637	0.0362693344693694	0.00063285221731361	0.0337633511663726	0.0337633511663726
"Unidentified_sp6_M_PL_098"	0.00812968214685183	0.0138209942832743	0.00777565622487	0.326424010224325	0.300861587964756	0.00965473582258948	0.00425786002259682	0.0207834046201833	0.0418655585181913	0.0189984793773894	0.019743789871783	0.000812968214685183	0.00183576917081339	0.000863812142704644	0.0181346672346847	0.000863812142704644	0.0376076984955945	0.000863812142704644	0.0557423657302792	0.0181346672346847	1.05574236573028	0.000812968214685183	0.0181346672346847	0.0181346672346847
"Hemipyrellia_sp1_M_PL_098"	0.580809578265263	0.0270098613016254	0.0238974446674317	0.011391339911645	0.00794467369645405	0.0156137688242477	0.0653585495453481	0.0633891069586205	0.0663516337574049	0.0023209685486652	0.0032351470213549	0.0580809578265263	0.00467529691478055	0.00168811633135159	0.00063285221731361	0.00168811633135159	0.000993084212056756	0.00168811633135159	0.00162593642937037	0.00063285221731361	0.00162593642937037	1.05808095782653	0.00063285221731361	0.00063285221731361
"Unidentified_sp4_M_PL_098"	0.0063285221731361	0.0163754203158762	0.00614352092723412	0.607740320994708	0.0200478664239745	0.0100310158317381	0.0040960920749165	0.0361876072693328	0.0066020753779133	0.0347868149361149	0.035435187138329	0.00063285221731361	0.00179140388564653	0.00102346376974227	0.0337633511663726	0.00102346376974227	0.00250598330299681	0.00102346376974227	0.0362693344693694	0.0337633511663726	0.0362693344693694	0.00063285221731361	1.03376335116637	0.0337633511663726
"Unidentified_sp5_M_PL_098"	0.0063285221731361	0.0163754203158762	0.00614352092723412	0.607740320994708	0.0200478664239745	0.0100310158317381	0.0040960920749165	0.0361876072693328	0.0066020753779133	0.0347868149361149	0.035435187138329	0.00063285221731361	0.00179140388564653	0.00102346376974227	0.0337633511663726	0.00102346376974227	0.00250598330299681	0.00102346376974227	0.0362693344693694	0.0337633511663726	0.0362693344693694	0.00063285221731361	0.0337633511663726	1.03376335116637
