"Bouteloua_gracilis"	"Bouteloua_hirsuta"	"Unidentified_sp5_A_PH_005"	"Croton_pottsii"	"Buchloe_dactyloides"	"Polygala_longa"	"Unidentified_sp11_A_PH_005"	"Xanthocephalum_texanum"	"Cryptantha_mexicana"	"Unidentified_sp12_A_PH_005"	"Unidentified_sp4_A_PH_005"	"Allionia_incarnata"	"Eragrostis_intermedia"	"Lesquerella_fendleri"	"Unidentified_sp6_A_PH_005"	"Unidentified_sp8_A_PH_005"	"Gaillardia_pinnatifida"	"Gilia_rigidula"	"Iva_ambrosiaefolia"	"Sporobolus_sp1_A_PH_005"	"Unidentified_sp14_A_PH_005"	"Argythamnia_neomexicana"	"Bouteloua_curtipendula"	"Choenopodium_sp1_A_PH_005"	"Dalea_greggii"	"Hilaria_mutica"	"Lepidium_lasiocarpum"	"Muhlenbergia_sp1_A_PH_005"	"Scleropogon_brevifolius"	"Tidestromia_lanuginosa"	"Unidentified_sp1_A_PH_005"	"Unidentified_sp13_A_PH_005"	"Unidentified_sp2_A_PH_005"	"Verbena_wrightii"	"Acacia_constricta"	"Aristida_writgii"	"Asclepius_sp1_A_PH_005"	"Buddleja_scordioides"	"Calyophus_hartwegii"	"Cassia_roemeriana"	"Castilleja_sp1_A_PH_005"	"Convolvulus_equitans"	"Dyssodia_acerosa"	"Guara_coccinea"	"Leptaloma_cognata"	"Machaeranthera_scabrella"	"Setaria_leucopila"	"Sida_filicaulis"	"Unidentified_sp10_A_PH_005"	"Unidentified_sp15_A_PH_005"	"Unidentified_sp3_A_PH_005"	"Unidentified_sp7_A_PH_005"	"Unidentified_sp9_A_PH_005"	"Zinnia_grandiflora"	"Melanoplus_desultorius"	"Trimerotropis_pallidipennis"	"Hadrotettix_trifasciatus"	"Cibolacris_parviceps"	"Melanoplus_arizonae"	"Melanoplus_gladstoni"	"Hesperotettix_viridis"	"Ageneotettix_deorum"	"Heliaula_rufa"	"Leprus_cyaneus"	"Pedioscirtetes_maculipennis"	"Phoetaliotes_nebrascensis"	"Acrolophitus_variegatus"	"Aulocara_femoratum"	"Psoloessa_texana"	"Xanthippus_corallipes"	"Arphia_aberrans"	"Arphia_crassa"	"Eritettix_variabilis"	"Mermiria_bivittata"	"Opeia_obscura"	"Parapomala_wyomingensis"	"Syrbula_fuscovittata"	"Trachyrachys_aspera"
"Bouteloua_gracilis"	1.07883651956378	0.0540969320012216	0.019472611507499	0.0167543074916194	0.0332147062539838	0.00815034660844469	0.00323231392013242	0.00338960939246636	0.00458434343353757	0.0036771716455517	0.00367712895216955	0.00242319230331836	0.0115135915607255	0.00446771875000901	0.00536091581659059	0.00704499571809362	0.00154348751886431	0.00253665236561056	0.00668507869549386	0.00812714322555404	0.00469208545720694	0.00235147677925756	0.00661048690182793	0.00136089262929071	0.000289550870013129	0.0071070774814362	0.000436321378751065	0.0100360996646748	0.00661048690182793	0.000367770475926615	0.00135835462589347	0.000427116299570019	0.000451140144525443	0.00135831193251131	0.000185175586353006	0.00327003444178745	0.00024452140999641	0.000182594889573609	0.0011757170429377	0.000182594889573609	0.000182594889573609	0.000182594889573609	0.00010695598043952	0.000182594889573609	0.000251145792398059	0.000268545254951834	0.00117575973631986	0.0011757170429377	0.00117575973631986	0.000182594889573609	0.00048003648824384	0.000268545254951834	0.00010695598043952	0.00010695598043952	0.00839936492038602	0.0470303894527943	0.0399743794598818	0.00444421407247214	0.00644508611884401	0.037301923567068	0.00149738372615328	0.0393515288869404	0.0392404133014494	0.0399743139349948	0.00293425691995692	0.00576043785892608	0.00251145792398059	0.0367208941532249	0.0398352801024724	0.036442227808206	0.0355292390898641	0.0355879064706981	0.0363154299265656	0.0352456039554875	0.0346915237152831	0.033811137100339	0.033811137100339	0.033811137100339
"Bouteloua_hirsuta"	0.0707421418477514	1.07077300634203	0.0117590758187152	0.0148412224374321	0.015585656335311	0.0078762655969793	0.00530062668404908	0.00528596437026986	0.0033270549531336	0.00510561123831629	0.00392710113445403	0.00365919877235428	0.00703603439642703	0.00225421282017635	0.00840546255259473	0.00872544679045117	0.00155115977783652	0.00184146699261008	0.00634795899041439	0.010263250803748	0.00451201044495782	0.00166860848551853	0.00827779860971357	0.000417907697919691	0.00128325741573677	0.00900966681147128	0.00040612696114268	0.00537954580049462	0.00827779860971357	0.00130611058700838	0.00255681137460722	0.00143555421542817	0.00315685755592765	0.00137830127074497	0.000172858507091552	0.00400618033821326	0.000302302135511343	0.00113325207991683	0.000245049190828139	0.00113325207991683	0.00113325207991683	0.00113325207991683	0.000150005335819939	0.00113325207991683	0.000233268454051128	0.00202360547601082	0.00142355929469039	0.000245049190828139	0.00142355929469039	0.00113325207991683	0.000310492993003737	0.00202360547601082	0.000150005335819939	0.000150005335819939	0.0521295956761742	0.0569423717876157	0.00833167248815672	0.00414860417019725	0.0485665314242598	0.00704671761213378	0.00210007470147915	0.0502043503521053	0.0480741640585591	0.0491292329644575	0.00362762562613611	0.00372591591604484	0.00233268454051128	0.0465599564638218	0.0464627226684515	0.0457206381511731	0.00433131931994999	0.0455166451006853	0.00439964120189681	0.00393425905132653	0.00358925819807839	0.0432642283978175	0.0432642283978175	0.0432642283978175
"Unidentified_sp5_A_PH_005"	0.0300940359661348	0.0138970896039361	1.04141350439118	0.0221434621782401	0.0210853509623431	0.00833975405479895	0.0143826772822298	0.0121188158286641	0.0101298830714295	0.0107685161165369	0.0109806270087543	0.00695103994539805	0.00701019360266836	0.00659780890318413	0.0138298911827099	0.00560917790016129	0.00571953169429186	0.00589424414590908	0.00481274120705557	0.00709271955817684	0.00458689088390388	0.00346202554139816	0.000618620701399681	0.00426928682131872	0.00168994463093558	0.00194249845195368	0.00278260791374961	0.000780569930720658	0.000618620701399681	0.00388246347748405	0.00307520219756349	0.00601273187440553	0.00392594613488833	0.00328731308978094	0.00243221860451092	0.000395284950675666	0.0045624870014324	0.00145024487297313	0.0018370682168078	0.00145024487297313	0.00145024487297313	0.00145024487297313	0.000239699757962445	0.00145024487297313	0.000350389309238693	0.0024757012619152	0.00162495732459035	0.0018370682168078	0.00162495732459035	0.00145024487297313	0.00449114439441512	0.0024757012619152	0.000239699757962445	0.000239699757962445	0.0667112641567642	0.0649982929836142	0.0624603193714654	0.0583732465082621	0.0594168302859648	0.0557078810509455	0.00335579661147424	0.00361219966577436	0.00474341940810799	0.00381124875102182	0.0547498440171888	0.0538937327329814	0.00350389309238693	0.0516674559477196	0.00380887326935171	0.0040238982991794	0.0506471037212713	0.00190524676417997	0.00239809562271293	0.00307922734036631	0.0495399306123592	0.00141962215119155	0.00141962215119155	0.00141962215119155
"Croton_pottsii"	0.0284823227357529	0.0192935891686617	0.0243578083960641	1.03918884743625	0.0187130344934965	0.014253964530922	0.00858276174112432	0.0130051185029048	0.00869557073483725	0.00935632306447109	0.00957338498128965	0.0075313930943464	0.00750633210172409	0.0127512304493839	0.0051026865196152	0.0115291860049894	0.00385286973479314	0.00407103204814141	0.0104902433131813	0.00241895827514187	0.00262587477793986	0.00368862482296293	0.000601006491656299	0.00233525059506923	0.00181087784784989	0.0020859939504149	0.00633809330462754	0.000753546362398476	0.000601006491656299	0.0019000263649024	0.0032534005927961	0.00189813399345833	0.00413121483924849	0.00347046250961466	0.000382407225178483	0.0048826027630202	0.000380514853734422	0.00151761913972391	0.00195284336989074	0.00151761913972391	0.00151761913972391	0.00151761913972391	0.000293258708125974	0.00151761913972391	0.00595568607944906	0.00261359569952458	0.00173578145307218	0.00195284336989074	0.00173578145307218	0.00151761913972391	0.00489202013256745	0.00261359569952458	0.000293258708125974	0.000293258708125974	0.0698104804272999	0.0694312581228874	0.0663966745762853	0.0091777734042836	0.0627262967885899	0.0621383909394387	0.00410562191376363	0.00372458770542803	0.0585912331562424	0.00348749019444756	0.00456617824481306	0.0587042415908094	0.0595568607944906	0.00372794513284012	0.00387601925561123	0.0564754231313722	0.0550738955111491	0.0021012749840563	0.00219566662102412	0.00294557154314001	0.0031144531393365	0.00157977649645257	0.00157977649645257	0.00157977649645257
"Buchloe_dactyloides"	0.0705812507897156	0.0253266915448803	0.0289923575732217	0.0233912931168706	1.07179890690993	0.00141393405564576	0.00119264082129822	0.0072817797659905	0.00103341907694808	0.00101559864249223	0.00095199357603062	0.000660898492736851	0.0265725128916577	0.00101740740201183	0.00118676424119862	0.00737521806860215	0.000480753077964762	0.000644223495047684	0.00100312628598082	0.00139537410914671	0.0065725778157286	0.000505904616449493	0.00684885193196246	0.000359468653592133	0.000189657994670992	0.00082757421053291	0.000381910506632767	0.0201926360528286	0.00684885193196246	0.00025960330297082	0.00040603926582818	0.000345087985712441	0.000324613764910725	0.00034243419936657	0.000138318878598191	0.00627208010940178	0.000223803561339812	0.000121284424372629	0.000221149774993942	0.000121284424372629	0.000121284424372629	0.000121284424372629	6.83735702983634e-05	0.000121284424372629	0.000243591628034576	0.000203329340538096	0.000284754841455551	0.000221149774993942	0.000284754841455551	0.000121284424372629	0.00638288781433192	0.000203329340538096	6.83735702983634e-05	6.83735702983634e-05	0.00557908352114093	0.011390193658222	0.00751909234979401	0.00331965308635659	0.0048799041729143	0.00535822315055526	0.000957229984177087	0.00762891323791187	0.0752649613128213	0.0745573099456376	0.00268564273607774	0.0765946537719831	0.00243591628034576	0.00474876497865165	0.078407177468366	0.00450460286997507	0.0715507499137347	0.00325691621446415	0.0741115098359518	0.0723849149342019	0.0703811852578911	0.00305002266183092	0.00305002266183092	0.00305002266183092
"Polygala_longa"	0.0230926487239266	0.0170652421267885	0.0152895491004647	0.0237566075515366	0.00188524540752767	1.02943999561892	0.00918178549266627	0.0161943697387829	0.0134124917003297	0.0107963434274442	0.0111880936325556	0.0150603810386544	0.00338240230984383	0.0108961326937202	0.00362013943115359	0.00095373946945479	0.00586220819810216	0.0060987146694203	0.0166589372256151	0.00313544049189209	0.00363073109321534	0.00570137537310582	0.000366894779097657	0.00344390208542308	0.00973449560420103	0.00300250896019165	0.000696625698698508	0.000343344799101068	0.000366894779097657	0.00281564540899356	0.0050731186966763	0.0026526563070229	0.00284872062890215	0.00546486890178769	0.000397339296314473	0.00024003710142155	0.000234350194343815	0.00241830611267908	0.0030465627891086	0.00241830611267908	0.00241830611267908	0.00241830611267908	0.00731618949152195	0.00241830611267908	0.000299286402384035	0.000430414516223071	0.00265481258399722	0.0030465627891086	0.00265481258399722	0.00241830611267908	0.00032808424525301	0.000430414516223071	0.00731618949152195	0.00731618949152195	0.111242081183238	0.106192503359889	0.103583134829693	0.00953614311154737	0.0103299483893537	0.0979094183646065	0.102426652881307	0.00216078925566469	0.0028804452170586	0.0022419480935072	0.00281220233212578	0.00393701094303612	0.00299286402384035	0.00300562136589479	0.00196201534359489	0.0910865372338751	0.00267983327081761	0.00208617825716658	0.000882859588449471	0.00121982367740468	0.00149200289324078	0.00133555101711867	0.00133555101711867	0.00133555101711867
"Unidentified_sp11_A_PH_005"	0.00915822277370851	0.011484691148773	0.026368241684088	0.0143046029018739	0.00159018776173096	0.00918178549266627	1.0246135875396	0.0129209569247519	0.0128837756120507	0.0139680546789171	0.0144530565563358	0.0073800264364068	0.00316703542201425	0.00657697898984853	0.0152457923077036	0.00886221940980467	0.00980367249527973	0.00995976776704618	0.00335516832076685	0.0032604826287791	0.00753780194937891	0.00570694771567867	0.000402639547732456	0.00734879484791619	0.00273064237535074	0.002848159286689	0.0046537211278964	0.000195098742210287	0.000402639547732456	0.00670769769873105	0.00506585056649353	0.0104735659091427	0.00663513151077863	0.00555085244391221	0.00425282005136751	0.000228997625226892	0.00801868826177916	0.00245487764736354	0.00309597479654867	0.00245487764736354	0.00245487764736354	0.00245487764736354	0.000275764727987204	0.00245487764736354	0.000400901076528889	0.00418025386341509	0.00261097291912999	0.00309597479654867	0.00261097291912999	0.00245487764736354	0.000303112970307432	0.00418025386341509	0.000275764727987204	0.000275764727987204	0.112924371778723	0.1044389167652	0.105263143082655	0.10206768123282	0.100326092721962	0.00938260395281948	0.00386070619182086	0.00256358935523679	0.0027479715027227	0.00226808521755269	0.09622425914135	0.00363735564368919	0.00400901076528889	0.00435877263379374	0.00125511923209433	0.00275065203995881	0.00228253281373206	0.00142311820535404	0.000417520914005125	0.000764625656204334	0.00156730266863837	0.000711078383681791	0.000711078383681791	0.000711078383681791
"Xanthocephalum_texanum"	0.00960389327865468	0.0114529228022514	0.0222178290192174	0.0216751975048414	0.00970903968798733	0.0161943697387829	0.0129209569247519	1.02728662185711	0.00892279255547404	0.0100713590885866	0.0104837365383516	0.014372194327426	0.0110575370850632	0.00632459487283022	0.00740392331424522	0.000901096092270855	0.0058335039856557	0.00600364935318693	0.00346262449476801	0.00303808522755519	0.0035791484306772	0.00560718948880469	0.00029711392989647	0.00340624333366706	0.0097219617747301	0.00283606966910387	0.000621982698109297	0.000449368819229907	0.00029711392989647	0.00282372051637088	0.00502466667150851	0.00275895756916757	0.00658561065438606	0.00543704412127346	0.000396459864382241	0.000219667508478535	0.000331696917178933	0.00242726065198864	0.00300978346928482	0.00242726065198864	0.00242726065198864	0.00242726065198864	0.00729470112274147	0.00242726065198864	0.000225522833727056	0.00415835000239743	0.00259740601951987	0.00300978346928482	0.00259740601951987	0.00242726065198864	0.00779912059117581	0.00415835000239743	0.00729470112274147	0.00729470112274147	0.111653989991477	0.103896240780795	0.102332637955684	0.0095150367451738	0.0998004000575382	0.00983765100596944	0.102125815718381	0.00149050599463597	0.00263601010174242	0.00207486116412166	0.0039803630061472	0.0935894470941098	0.00225522833727055	0.00316470375148987	0.0028243138011676	0.00373335924949667	0.00298294362416881	0.00143198189750399	0.00100162463467888	0.0022714745655043	0.00189918374892674	0.000722964480228018	0.000722964480228018	0.000722964480228018
"Cryptantha_mexicana"	0.0155867676740277	0.00865034287814737	0.0222857427571449	0.0173911414696745	0.00165347052311692	0.0160949900403956	0.0154605307344608	0.0107073510665689	1.02035927138102	0.0171074310725481	0.0177168440444569	0.00929542788854438	0.00369670549434602	0.0128915595852524	0.00416181937517068	0.00104982294592867	0.0115899069666301	0.0118502284208586	0.00922328036196944	0.00352560303415637	0.00897032131323934	0.00679702476350849	0.000354500319197219	0.00875642252505875	0.00316849081071754	0.00336590873277671	0.00547217996050888	0.000245663966239584	0.000354500319197219	0.00788668809892139	0.00592729033737114	0.00315892375436049	0.00328486300081308	0.00653670330927998	0.00505320365735008	0.000164805798964064	0.000325439312789179	0.00283348444157131	0.00370321886770867	0.00283348444157131	0.00283348444157131	0.00283348444157131	0.000335006369146225	0.00283348444157131	0.000418976303158797	0.000451378559241768	0.00309380589579982	0.00370321886770867	0.00309380589579982	0.00283348444157131	0.000290456933101056	0.000451378559241768	0.000335006369146225	0.000335006369146225	0.13034028431228	0.123752235831993	0.125909441502095	0.121276887776402	0.0108330854218024	0.113511170371702	0.00469008916804714	0.00168721837219954	0.00197766958756877	0.00256678545816709	0.00390527175347015	0.00348548319721267	0.00418976303158797	0.00291195607339913	0.00141798592471507	0.00453915947584539	0.00244432163167524	0.00163261702186129	0.000623192242608461	0.00102386443784182	0.00157476455819151	0.000791139838667117	0.000791139838667117	0.000791139838667117
"Unidentified_sp12_A_PH_005"	0.0125023835948758	0.0132745892196223	0.0236907354563811	0.0187126461289422	0.00162495782798757	0.012955612112933	0.0167616656147005	0.012085630906304	0.0171074310725481	1.02152097980741	0.0189819645926383	0.013855105983104	0.003687963965832	0.00966934686500848	0.00877528998735464	0.00110025590491502	0.00835131574657427	0.00856822775537849	0.00919878286752369	0.00358416026294404	0.00567065466473099	0.00360375943151345	0.000321647053068155	0.00549684043223444	0.00322445713703991	0.00335766995256541	0.00534532775453031	0.000238174503182751	0.000321647053068155	0.00781894363820486	0.00592586263748388	0.00324751701608774	0.00780039615757412	0.00338684742270923	0.00496446832386504	0.000178521951930218	0.000393041701747917	0.00285447531433983	0.000532372108369405	0.00285447531433983	0.00285447531433983	0.00285447531433983	0.000369981822700084	0.00285447531433983	0.000380859430665276	0.0049459208432343	0.00307138732314405	0.000532372108369405	0.00307138732314405	0.00285447531433983	0.000311493494516321	0.0049459208432343	0.000369981822700084	0.000369981822700084	0.131305864459632	0.122855492925762	0.0181006516845598	0.119147239772761	0.118702100237623	0.113694560056595	0.00517974551780118	0.00177399384685926	0.00214226342316262	0.0020857707899586	0.004716500420975	0.00373792193419585	0.00380859430665276	0.00364940119228382	0.00150037727416071	0.00442667541549894	0.00248176094690519	0.00171769577652815	0.000528820654600081	0.000930272524533395	0.00154612864045808	0.000878278288386799	0.000878278288386799	0.000878278288386799
