"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Dillenia_ferruginea"	1.19993586660253	0.0570787237453904	0	0.0314253647586981	0	0	0.0224466891133558	0	0.0224466891133558	0.179573512906846	0.164983164983165	0	0	0.00785634118967453	0	0	0	0.149991983325317	0	0.149991983325317	0.0071348404681738	0.0071348404681738
"Erythroxylum_sechellarum"	0.0570787237453904	1.19993586660253	0	0.0314253647586981	0	0	0.0224466891133558	0	0.0224466891133558	0.179573512906846	0.164983164983165	0	0	0.00785634118967453	0	0	0	0.0071348404681738	0	0.0071348404681738	0.149991983325317	0.149991983325317
"Campnosperma_seychellarum"	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0	0	0
"Craterispermum_microdon"	0.0628507295173962	0.0628507295173962	0	1.20314253647587	0	0	0.00224466891133558	0	0.00224466891133558	0.0179573512906846	0.316498316498317	0	0	0.300785634118968	0	0	0	0.00785634118967453	0	0.00785634118967453	0.00785634118967452	0.00785634118967452
"Soulamea_terminaloides"	0	0	0	0	1.27272727272727	0.0606060606060606	0	0	0	0	0	0	0.242424242424242	0	0.212121212121212	0	0.212121212121212	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0.181818181818182	1.15151515151515	0	0	0	0	0	0	0.606060606060606	0	0.0303030303030303	0	0.0303030303030303	0	0	0	0	0
"Memecylon_eleagni"	0.0897867564534231	0.0897867564534231	0	0.00448933782267116	0	0	1.07463524130191	0	0.0746352413019079	0.597081930415264	0.0235690235690236	0	0	0.00112233445566779	0	0	0	0.0112233445566779	0	0.0112233445566779	0.0112233445566779	0.0112233445566779
"Colea_seychellarum"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Cinnamomum_verum"	0.0897867564534231	0.0897867564534231	0	0.00448933782267116	0	0	0.0746352413019079	0	1.07463524130191	0.597081930415264	0.0235690235690236	0	0	0.00112233445566779	0	0	0	0.0112233445566779	0	0.0112233445566779	0.0112233445566779	0.0112233445566779
"Lasioglossum_mahense"	0.179573512906846	0.179573512906846	0	0.00897867564534231	0	0	0.149270482603816	0	0.149270482603816	1.19416386083053	0.0471380471380471	0	0	0.00224466891133558	0	0	0	0.0224466891133558	0	0.0224466891133558	0.0224466891133558	0.0224466891133558
