"Oxalis_compacta"	"Phacelia_secunda"	"Azorella_madreporica"	"Tropaeolum_polyphyllum"	"Draba_tenuis"	"Laretia_acaulis"	"Nassauvia_lagascae"	"Nototriche_compacta"	"Caiophora_coronata"	"Draba_gilliesii"	"Junellia_uniflora"	"Oreopolus_glacialis"	"Adesmia_capitellata"	"Adesmia_glomerula"	"Chaetanthera_lycopodioides"	"Loasa_caespitosa"	"Nassauvia_pungens"	"Viola_atropurpurea"	"Acaena_pinnatifida"	"Calandrinia_affinis"	"Calandrinia_caespitosa"	"Calandrinia_occulta"	"Calandrinia_picta"	"Calandrinia_sericea"	"Cardamine_nivalis"	"Chaetanthera_flabellata"	"Erigeron_andicola"	"Leuceria_salina"	"Nassauvia_pinnigera"	"Oxalis_sp1_M_PL_003"	"Pozoa_coriacea"	"Ranunculus_peduncularis"	"Senecio_francisci"	"Valeriana_radicalis"	"Viola_montagnei"	"Viola_philippii"	"Unidentified_sp1_M_PL_003"	"Scaeva_melanostoma"	"Yramea_modesta"	"Phulia_nymphula"	"Unidentified_sp2_M_PL_003"	"Anthidium_sp1_M_PL_003"	"Bombus_dahlbomii"	"Megachile_sp1_M_PL_003"	"Anthidium_espinosai"	"Faunula_leucoglene"	"Habromyia_lipoflava"	"Megachile_semirufa"	"Unidentified_sp3_M_PL_003"	"Unidentified_sp4_M_PL_003"	"Andinus_venustus"	"Cynthia_terpsichore"	"Dasybasis_sp1_M_PL_003"	"Hypsochila_wagenknechti"	"Pseudolucia_chilensis"	"Tatochila_mercedis"	"Unidentified_sp5_M_PL_003"	"Unidentified_sp6_M_PL_003"	"Unidentified_sp7_M_PL_003"	"Vibrissomyia_sp1_M_PL_003"	"Villa_sp1_M_PL_003"
"Junellia_uniflora"	0.0310297831088977	0.00143725580765899	0.00925029971306406	0.0140797569540999	0.00967436947202745	0.00890753370277062	0.0156977842376113	0.0281048055403858	0.000682520831406232	0.0147418115921544	1.03364448569092	0.0287563763149497	0.000284680701624289	0.000776001158263355	0.0210325929235539	0.000512942431894637	0.000629337910342545	0.0198963668362555	0.000429498038275945	0.000429498038275945	0.00728447406888611	0.00728447406888611	0.00728447406888611	0.000564194699210613	0.00728447406888611	0.00728447406888611	0.000429498038275945	0.000564194699210613	0.000429498038275945	0.00728447406888611	0.00728447406888611	0.00728447406888611	0.000564194699210613	0.00728447406888611	0.0126118927673694	0.0126118927673694	0.218534222066583	0.00773096468896702	0.201790284277911	0.19247366396535	0.00789872578894858	0.00284334394135851	0.000390859266791591	0.00165598262068857	0.000190941492710988	0.00215622331926725	0.00203847168415273	0.00152774701271491	0.00152172916731103	0.00472239687655165	0.00221641307920698	0.00221641307920698	0.000925029971306406	0.00221641307920698	0.00479272938582495	0.00221641307920698	0.00196222302970141	0.00120929618400343	0.00120929618400343	0.00111344171284633	0.00111344171284633
"Oreopolus_glacialis"	0.0332704359350495	0.00147477028176242	0.00156641713073075	0.0150361457378864	0.00168626088402835	0.000629756628935757	0.0167702377592784	0.0297787485920847	0.000724931494750091	0.01567748830387	0.0287563763149497	1.12174274136824	0.000302998729678199	0.000829233982059424	0.0152326258073909	0.00054722324634581	0.000596772902554466	0.0140159472349551	0.000405771765472712	0.000405771765472712	0.000492196727396276	0.000492196727396276	0.000492196727396276	0.000531287458402716	0.000492196727396276	0.000492196727396276	0.000405771765472712	0.000531287458402716	0.000405771765472712	0.000492196727396276	0.000492196727396276	0.000492196727396276	0.000531287458402716	0.000492196727396276	0.0135237505075589	0.0135237505075589	0.0147659018218883	0.00730389177850881	0.216380008120942	0.206366007119924	0.00743802441763802	0.00304004313843913	0.0003929126649105	0.00176331790885529	0.000198647205899751	0.00230358821542465	0.000235361291690045	0.00162651209726884	0.00162443648958032	0.00393312618451413	0.00237645970964639	0.00237645970964639	0.000156641713073075	0.00237645970964639	0.186957123561373	0.00237645970964639	0.0020962797199098	0.000210782610503544	0.000210782610503544	7.87195786169696e-05	7.87195786169696e-05
"Adesmia_capitellata"	0.0299836055562439	0.104005361879644	0.000763714528885288	0.00730780012439888	3.1028396690431e-05	3.4951896119754e-05	0.00278302780182498	0.000505037138516509	0.0290276085484355	0.00090240880267613	0.000427021052436434	0.000454498094517299	1.09594708101665	0.0270619516793844	0.000217860708468801	0.0280173137367139	0.0024234816124253	0.000219558143096543	0.000623284056102471	0.000623284056102471	1.03977991289102e-05	1.03977991289102e-05	1.03977991289102e-05	7.16618372337685e-05	1.03977991289102e-05	1.03977991289102e-05	0.000623284056102471	7.16618372337685e-05	0.000623284056102471	1.03977991289102e-05	1.03977991289102e-05	1.03977991289102e-05	7.16618372337685e-05	1.03977991289102e-05	0.000209160343967632	0.000209160343967632	0.000311933973867306	0.0112191130098445	0.00334656550348212	0.00290448073075847	0.00100326572127276	0.30340332096739	0.0141109186511492	0.0164022219365887	0.282653883744132	0.00711336639507422	8.07404399034981e-05	0.00939789350241019	0.00556871477051247	6.70081919008675e-05	0.00214168611116028	0.00214168611116028	7.63714528885289e-05	0.00214168611116028	7.57496824195498e-05	0.00214168611116028	0.000347878475228122	3.87854958630387e-06	3.87854958630387e-06	4.36898701496924e-06	4.36898701496925e-06
"Adesmia_glomerula"	0.0301631058706776	0.0315209125660548	0.000995358659716202	0.00467707268942849	7.46142616350176e-05	5.77054560666415e-05	0.0774883730969194	0.00125282467811912	0.0272134266956655	0.00181928989298714	0.00116400173739503	0.00124385097308914	0.0270619516793844	1.09561109939226	0.000947996452378387	0.0263265763667063	0.00131985856440047	0.000239810297079969	0.000823952966751988	0.000823952966751988	2.38050120633237e-05	2.38050120633237e-05	2.38050120633237e-05	7.11454859200921e-05	2.38050120633237e-05	2.38050120633237e-05	0.000823952966751988	7.11454859200921e-05	0.000823952966751988	2.38050120633237e-05	2.38050120633237e-05	2.38050120633237e-05	7.11454859200921e-05	2.38050120633237e-05	0.000216005285016645	0.000216005285016645	0.000714150361899712	0.0148311534015358	0.00345608456026633	0.0129386801644109	0.00099603680288129	0.296566728251561	0.00749227847088228	0.00967609407445732	0.009392230633684	0.28358882148518	0.00010674904797995	0.00309444998278075	0.00500327838488711	0.000165929867469267	0.00215450756219126	0.00215450756219126	9.95358659716202e-05	0.00215450756219126	0.000207308495514856	0.00215450756219126	0.00968604663711493	9.3267827043772e-06	9.32678270437721e-06	7.21318200833019e-06	7.21318200833019e-06
"Chaetanthera_lycopodioides"	0.0246527644397403	0.000871869648150918	0.0131079473542735	0.00178062820364597	0.0134083937517716	0.012956121581067	0.0224853187493882	0.0226977064924425	0.000290941074202634	0.0209426007130077	0.0315488893853309	0.0228489387110863	0.000217860708468801	0.000947996452378387	1.03043068601005	0.00023777415712962	0.000672752735815035	0.0117222322754494	0.000491413228477875	0.000491413228477875	0.0106040289001685	0.0106040289001685	0.0106040289001685	0.000624530374648351	0.0106040289001685	0.0106040289001685	0.000491413228477875	0.000624530374648351	0.000491413228477875	0.0106040289001685	0.0106040289001685	0.0106040289001685	0.000624530374648351	0.0106040289001685	0.00111820337528095	0.00111820337528095	0.318120867005054	0.00884543811260176	0.0178912540044951	0.277573199538341	0.00874342524507691	0.00223296555823629	0.000289334167000108	0.000310162163659579	0.000127120981129777	0.00304766395676812	0.00293030993306073	0.000250718624377174	0.000226552999398369	0.00451326253052676	0.00176091174569573	0.00176091174569573	0.00131079473542735	0.00176091174569573	0.00380815645184772	0.00176091174569573	0.00281066484367352	0.00167604921897145	0.00167604921897145	0.00161951519763338	0.00161951519763338
"Loasa_caespitosa"	0.0295655081245216	0.0804863752877782	0.000956737239265301	0.0535393177321874	5.17240301542078e-05	4.84742104866361e-05	0.00293546242495537	0.000853134922436677	0.0291575796427701	0.00108727791613938	0.000769413647841956	0.000820834869518715	0.0280173137367139	0.0263265763667063	0.00023777415712962	1.07123438653425	0.00208719152111876	0.000548621174828802	0.000794059326683507	0.000794059326683507	1.69816841164667e-05	1.69816841164667e-05	1.69816841164667e-05	7.24261164427228e-05	1.69816841164667e-05	1.69816841164667e-05	0.000794059326683507	7.24261164427228e-05	0.000794059326683507	1.69816841164667e-05	1.69816841164667e-05	1.69816841164667e-05	7.24261164427228e-05	1.69816841164667e-05	0.000531639490712336	0.000531639490712336	0.000509450523494001	0.0142930678803031	0.00850623185139737	0.00309109462218415	0.00101396563019812	0.295073185716087	0.0120885924280562	0.279869726347428	0.0137115263748267	0.00694857689479599	0.00010173300023736	0.0120611297138669	0.0102135283803471	0.000113107369073861	0.0021118220088944	0.0021118220088944	9.56737239265301e-05	0.0021118220088944	0.000136805811586453	0.0021118220088944	0.000366932803119421	6.46550376927597e-06	6.46550376927598e-06	6.05927631082951e-06	6.05927631082951e-06
"Nassauvia_pungens"	0.00234677671234669	0.0518905851054698	0.0248520692015683	0.00531374889268449	0.00102470648279109	0.00088266175352964	0.00148503196290158	0.0237168630513137	0.050052279632703	0.023386445318465	0.000944006865513817	0.000895159353831699	0.0024234816124253	0.00131985856440047	0.000672752735815035	0.00208719152111876	1.0687660903661	0.000394698254200208	0.000714010444790914	0.000714010444790914	0.000123444124501426	0.000123444124501426	0.000123444124501426	0.0221231262623605	0.000123444124501426	0.000123444124501426	0.000714010444790914	0.0221231262623605	0.000714010444790914	0.000123444124501426	0.000123444124501426	0.000123444124501426	0.0221231262623605	0.000123444124501426	0.000271254129698782	0.000271254129698782	0.00370332373504279	0.0128521880062365	0.00434006607518051	0.00769032055839052	0.309723767673047	0.0142915218634172	0.279857784622431	0.00537738819500395	0.00493008582856214	0.000515593636462815	0.00259553963934803	0.00485559031472427	0.00887342149471895	0.0030926961917631	0.000167626908024763	0.000167626908024763	0.00248520692015683	0.000167626908024763	0.000149193225638617	0.000167626908024763	0.000185628995362697	0.000128088310348886	0.000128088310348886	0.000110332719191205	0.000110332719191205
"Viola_atropurpurea"	0.0226897354762599	0.00141208863740272	0.0124891282301638	0.0197839422690601	0.0132961059487718	0.0129005641624582	0.00154895704443794	0.0206709308145984	0.000759840614734687	0.00172628764563414	0.0298445502543833	0.0210239208524327	0.000219558143096543	0.000239810297079969	0.0117222322754494	0.000548621174828802	0.000394698254200208	1.02869494078525	0.000239144708824982	0.000239144708824982	0.01057262280632	0.01057262280632	0.01057262280632	0.000337533467679754	0.01057262280632	0.01057262280632	0.000239144708824982	0.000337533467679754	0.000239144708824982	0.01057262280632	0.01057262280632	0.01057262280632	0.000337533467679754	0.01057262280632	0.0181223179789339	0.0181223179789339	0.3171786841896	0.00430460475884968	0.289957087662942	0.0160945325678117	0.00472546854751655	0.00211700695048543	0.000342988719122727	0.0022332235737301	0.000172563588891029	0.000253572204824735	0.00286148334332366	0.0020960682800229	0.00210503432936179	0.00424587959542127	0.00162069539116142	0.00162069539116142	0.00124891282301638	0.00162069539116142	0.00350398680873878	0.00162069539116142	0.000193619630554743	0.00166201324359647	0.00166201324359647	0.00161257052030727	0.00161257052030727
"Acaena_pinnatifida"	0.00175823336933701	0.0373186937531834	0.0362717194797518	0.0367468219875684	0.000277933142026474	0.00127930636654421	0.03691926380776	0.00198029852182267	0.00202854243199419	0.0341489451322159	0.00128849411482784	0.00121731529641813	0.00124656811220494	0.00164790593350398	0.000982826456955751	0.00158811865336701	0.00142802088958183	0.000478289417649965	1.03254488400776	0.0325448840077606	0.000172621759777879	0.000172621759777879	0.000172621759777879	0.000793856427277424	0.000172621759777879	0.000172621759777879	0.0325448840077606	0.000793856427277424	0.0325448840077606	0.000172621759777879	0.000172621759777879	0.000172621759777879	0.000793856427277424	0.000172621759777879	0.000305667657872085	0.000305667657872085	0.00517865279333638	0.585807912139691	0.00489068252595337	0.0113428657604902	0.0111139899818839	0.00469421782400975	0.00380498677382644	0.00718160300819721	0.00342153317414985	0.005026884459346	0.00378708524379321	0.00678457334485546	0.00401277260408921	0.000282278957981142	0.000125588097809786	0.000125588097809786	0.00362717194797518	0.000125588097809786	0.000202885882736356	0.000125588097809786	0.00461490797597	3.47416427533092e-05	3.47416427533093e-05	0.000159913295818026	0.000159913295818026
"Calandrinia_affinis"	0.00175823336933701	0.0373186937531834	0.0362717194797518	0.0367468219875684	0.000277933142026474	0.00127930636654421	0.03691926380776	0.00198029852182267	0.00202854243199419	0.0341489451322159	0.00128849411482784	0.00121731529641813	0.00124656811220494	0.00164790593350398	0.000982826456955751	0.00158811865336701	0.00142802088958183	0.000478289417649965	0.0325448840077606	1.03254488400776	0.000172621759777879	0.000172621759777879	0.000172621759777879	0.000793856427277424	0.000172621759777879	0.000172621759777879	0.0325448840077606	0.000793856427277424	0.0325448840077606	0.000172621759777879	0.000172621759777879	0.000172621759777879	0.000793856427277424	0.000172621759777879	0.000305667657872085	0.000305667657872085	0.00517865279333638	0.585807912139691	0.00489068252595337	0.0113428657604902	0.0111139899818839	0.00469421782400975	0.00380498677382644	0.00718160300819721	0.00342153317414985	0.005026884459346	0.00378708524379321	0.00678457334485546	0.00401277260408921	0.000282278957981142	0.000125588097809786	0.000125588097809786	0.00362717194797518	0.000125588097809786	0.000202885882736356	0.000125588097809786	0.00461490797597	3.47416427533092e-05	3.47416427533093e-05	0.000159913295818026	0.000159913295818026
