"Nephrosperma_vanhoutteanum"	"Paragenipa_wrightii"	"Erythroxylum_sechellarum"	"Roscheria_melanochaetes"	"Memecylon_eleagni"	"Dillenia_ferruginea"	"Nepenthes_pervillei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Unidentified_sp5_M_PL_119"	"Unidentified_sp2_M_PL_119"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_119"	"Hemipyrellia_sp1_M_PL_119"	"Lygistorrhina_sp1_M_PL_119"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_119"	"Unidentified_sp4_M_PL_119"	"Cratopus_aurostriatus"	"Dichaetomyia_fasciculifera"	"Nectarinia_dussumieri"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_119"
"Nephrosperma_vanhoutteanum"	1.22143423006218	0.0185878319665706	0.0369694236854349	0.0177429305135447	0.00762292888612294	0.00943135390704421	0.0215446343124373	0.0799196851355435	0.0768350336756322	0.00577773074896593	0.00232347899582133	0.0678574572256766	0.00639002165759815	0.0678574572256766	0.0705505365147313	0.0678574572256766	0.00487586160692401	0.0715543995942201	0.00295715508559078	0.0678574572256766	0.00269307928905467	0.00232347899582133	0.00117891923838053	0.0678574572256766
"Paragenipa_wrightii"	0.0418226219247839	1.18150119018791	0.0378718583161417	0.0368874997248189	0.0148643142498161	0.0174467428498975	0.00293910607996965	0.165843151640418	0.159946230221727	0.00626430967868741	0.147687648773488	0.00232347899582133	0.00415457409161037	0.00232347899582133	0.00269086725581754	0.00232347899582133	0.00596802868785135	0.0061106648274355	0.00614791662080316	0.00232347899582133	0.000367388259996206	0.147687648773488	0.00218084285623719	0.00232347899582133
"Erythroxylum_sechellarum"	0.0665449626337828	0.0302974866529133	1.11347008143821	0.02892032816869	0.0132912290985006	0.0453825998725031	0.0354266454687289	0.132646823297449	0.123651191038761	0.0134239629422791	0.00378718583161416	0.00369694236854349	0.115775338827413	0.00369694236854349	0.0081252730521346	0.00369694236854349	0.117019833127884	0.115043950512365	0.00482005469478167	0.00369694236854349	0.00442833068359111	0.00378718583161417	0.00567282498406289	0.00369694236854349
"Roscheria_melanochaetes"	0.0532287915406341	0.0491833329664253	0.0482005469478167	1.13785681783159	0.0189182181361295	0.0222049454453241	0.00374068046541592	0.211073102087805	0.203567929373107	0.00797275777287489	0.00614791662080315	0.00295715508559078	0.00528763975295865	0.00295715508559078	0.00342474014376777	0.00295715508559078	0.00759567287544718	0.00777720978037245	0.189642802971931	0.00295715508559078	0.00046758505817699	0.00614791662080316	0.00277561818066551	0.00295715508559078
"Memecylon_eleagni"	0.0343031799875532	0.0297286284996321	0.0332280727462515	0.0283773272041943	1.0717926273686	0.0801360873790461	0.0557674101480518	0.291639340357174	0.0136741725926423	0.284936094033038	0.00371607856245402	0.00190573222153074	0.0102937335431316	0.00190573222153074	0.00887665849003721	0.00190573222153074	0.0133398181970059	0.00522853949615588	0.00472955453403239	0.00190573222153073	0.00697092626850648	0.00371607856245402	0.0100170109223808	0.00190573222153074
"Dillenia_ferruginea"	0.0212205462908495	0.0174467428498975	0.0567282498406289	0.0166537090839931	0.040068043689523	1.14922620682542	0.0319898347530192	0.165478492034905	0.0118082052593461	0.157669016119686	0.00218084285623719	0.00117891923838053	0.00967155432819029	0.00117891923838053	0.00517764858250793	0.00117891923838053	0.149326100837241	0.00685174422244342	0.00277561818066551	0.00117891923838053	0.00399872934412741	0.00218084285623719	0.143653275853178	0.00117891923838053
"Nepenthes_pervillei"	0.048475427202984	0.00293910607996965	0.0442833068359111	0.00280551034906194	0.0278837050740259	0.0319898347530193	1.17495644303836	0.0189260389034529	0.00795638329081897	0.157839210992429	0.000367388259996206	0.00269307928905467	0.151297886063386	0.00269307928905467	0.14956263466885	0.00269307928905467	0.00842706002771851	0.00712140997264578	0.00046758505817699	0.00269307928905467	0.146869555379795	0.000367388259996206	0.00399872934412741	0.00269307928905467
"Apis_mellifera"	0.119879527703315	0.110562101093612	0.110539019414541	0.105536551043902	0.0972131134523914	0.110318994689936	0.0126173592689686	1.08721671621277	0.0491235635134346	0.039670322607961	0.0138202626367015	0.00665997376129529	0.0126310718500751	0.00665997376129529	0.00823714366991636	0.00665997376129529	0.0248437762776961	0.0177138757027494	0.0175894251739837	0.00665997376129529	0.00157716990862107	0.0138202626367015	0.0137898743362421	0.00665997376129529
"Lasioglossum_mahense"	0.172878825770172	0.159946230221727	0.154563988798451	0.15267594702983	0.00683708629632114	0.0118082052593461	0.00795638329081897	0.0736853452701519	1.07050004803865	0.00417984514285092	0.0199932787777158	0.00960437920945402	0.0164509467911975	0.00960437920945403	0.0105989271208064	0.00960437920945402	0.0169324245372634	0.0250607780892991	0.0254459911716384	0.00960437920945402	0.000994547911352372	0.0199932787777159	0.00147602565741826	0.00960437920945402
"Hemipyrellia_germana"	0.0173331922468978	0.00835241290491655	0.0223732715704652	0.00797275777287489	0.189957396022025	0.210225354826248	0.210452281323239	0.0793406452159219	0.00557312685713456	1.10007405352419	0.00104405161311457	0.000962955124827655	0.0285438623224514	0.000962955124827655	0.0272694902902325	0.000962955124827655	0.0285154965103275	0.00320028228187418	0.00132879296214582	0.000962955124827655	0.0263065351654048	0.00104405161311457	0.026278169353281	0.000962955124827655
