"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Azteca_sp4"	"Azteca_sp5"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Pachycondila_unidentata"	"Crematogaster_brasiliensis"	"Pseudomyrmex_nigriceps"
"Cordia_nodosa"	4	0	0	0	0	0	0	0	0	0	1	0
"Hirtella_myrmecophila"	0	7	0	0	0	0	0	0	3	0	0	0
"Maieta_guianensis"	0	0	9	0	0	0	0	0	0	0	0	0
"Myrcia_madida"	0	0	0	1	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	1	0	0	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0	0	0	0	2	1	2	0	0	0	0	0
"Tachigalia_spp."	0	0	0	0	0	0	0	14	0	0	0	1
"Duroia_saccifera"	0	1	0	0	0	0	0	0	1	0	0	0
"Palicourea_corymbifera"	0	0	0	0	0	0	0	0	0	1	1	0
