"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"
"R1"	0	1	0	1	1	1	1	1	1	1	0
"R2"	0	0	0	0	0	0	0	0	1	1	0
"R3"	1	0	0	0	0	0	0	0	1	1	0
"R4"	0	1	0	1	1	1	1	1	1	1	0
"R5"	0	1	0	1	1	1	1	1	0	0	0
"R6"	1	0	0	0	0	0	0	0	1	1	0
"R7"	1	0	0	0	0	0	0	0	0	0	0
"R8"	0	0	0	0	0	0	0	0	1	1	0
"R9"	0	0	0	0	0	0	0	0	1	1	0
"R10"	0	0	0	0	0	0	0	0	1	1	0
"R11"	0	1	0	1	1	1	1	1	0	0	0
"R12"	0	1	0	1	1	1	1	1	0	0	0
"R13"	1	0	0	0	0	0	0	0	0	0	0
"R14"	0	0	1	0	0	0	0	0	1	1	1
"R15"	0	0	1	0	0	0	0	0	1	1	1
"R16"	0	1	0	1	1	1	1	1	0	0	0
"R17"	1	1	1	1	1	1	1	1	0	0	0
"R18"	1	1	1	1	1	1	1	1	1	1	0
"R19"	1	0	1	0	0	0	0	0	1	1	1
"R20"	0	0	0	0	0	0	0	0	1	1	0
