"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"
"R1"	1	1	1	1	1	1	1	1	1	1
"R2"	1	1	1	1	1	1	1	1	1	1
"R3"	0	1	1	1	0	0	0	0	1	1
"R4"	0	1	1	1	1	1	1	1	1	1
"R5"	1	1	1	1	1	1	1	1	0	0
"R6"	1	0	0	0	0	0	0	0	0	0
"R7"	1	1	1	1	1	1	1	1	0	0
"R8"	1	1	1	1	1	1	1	1	0	0
"R9"	1	1	1	1	1	1	0	1	0	0
"R10"	0	1	1	1	1	1	1	1	0	0
