"Corrodopsylla_birulai"	"Peromyscopsylla_bidentata"	"Megabothris_rectangulatus"	"Amphipsylla_sibirica"	"Amalaraeus_penicilliger"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Catallagia_ioffi"	"Rhadinopsylla_integella"	"Amphalius_runatus"
"Microtus_oeconomus"	110	251	174	69	2	15	18	0	0	0
"Sorex_arcticus"	412	25	23	35	0	2	0	0	2	3
"Clethrionomys_rutilus"	28	12	51	99	114	0	10	3	0	0
"Sorex_caecutiens"	212	2	6	18	0	2	0	0	2	0
"Sorex_roboratus"	170	0	2	10	0	2	0	0	2	0
"Neomys_fodiens"	107	0	2	2	0	0	0	0	0	0
"Lemmus_sibiricus"	11	0	0	0	78	0	0	0	0	0
"Clethrionomys_rufocanus"	13	15	13	16	2	9	0	6	0	2
"Arvicola_terrestris"	2	0	11	10	0	0	0	0	0	0
"Microtus_middendorffi"	0	0	0	10	0	0	0	0	0	0
"Sorex_minutus"	2	0	0	0	0	0	0	0	0	0
