"Eriocnemis_mosquera"	"Aglaeactis_cupripennis"	"Pterophanes_cyanopterus"	"Chalcostigma_herrani"	"Metallura_tyrianthina"	"Eriocnemis_derbyi"	"Lafresnaya_lafresnayi"	"Coeligena_lutetiae"	"Ensifera_ensifera"
"Barnadesia_spinosa"	3	51	0	0	11	11	11	0	0
"Siphocampylus_paramicola"	6	26	24	3	1	10	7	0	0
"Brachyotum_lindenii"	34	3	0	14	0	0	0	0	0
"Disterigma_codonanthum"	22	0	0	5	14	3	0	0	0
"Puya_clava-herculis"	5	1	30	0	0	0	0	0	0
"Siphocampylus_giganteus"	5	22	3	1	0	3	0	1	0
"Macleania_rupestris"	24	0	1	2	1	3	0	0	0
"Guzmania_candelabrum"	22	0	0	1	1	4	0	0	0
"Desfontainea_spinosa"	23	0	0	0	0	1	0	1	0
"Guzmania_bakeri"	24	0	0	0	0	1	0	0	0
"Espeletia_sp1_M_PL_068"	0	0	0	16	0	0	0	0	0
"Gaultheria_erecta"	5	0	0	1	7	0	0	0	0
"Disterigma_sp1_M_PL_068"	7	0	0	0	5	0	0	0	0
"Tillandsia_orbicularis"	11	0	0	0	0	0	0	0	0
"Gaiadendron_punctatum"	0	0	0	10	0	0	0	0	0
"Racinaea_tetrantha"	3	0	0	0	5	2	0	0	0
"Brachyotum_ledifolium"	5	3	1	0	0	0	0	0	0
"Vaccinium_floribundum"	5	0	0	1	2	0	0	0	0
"Bomarea_sp1_M_PL_068"	3	2	0	0	0	2	0	0	0
"Brachyotum_sp1_M_PL_068"	7	0	0	0	0	0	0	0	0
"Fuchsia_corollata"	0	1	0	0	3	0	0	3	0
"Bomarea_linifolia"	5	0	0	1	0	0	0	0	0
"Centropogon_sp1_M_PL_068"	1	0	0	0	0	2	2	0	0
"Elleanthus_sp1_M_PL_068"	4	0	0	1	0	0	0	0	0
"Passiflora_mixta"	1	0	0	0	0	0	0	0	3
"Tillandsia_complanata"	3	0	0	0	1	0	0	0	0
"Tristerix_longebracteatus"	0	0	4	0	0	0	0	0	0
"Gaultheria_insipida"	0	0	0	1	1	0	0	0	0
"Bejaria_aestuans"	1	0	0	0	0	0	0	0	0
"Diplostephium_sp1_M_PL_068"	1	0	0	0	0	0	0	0	0
"Pernettya_prostrata"	0	0	0	1	0	0	0	0	0
