"Diplostomum_spathaceum"	"Tylodelphys_clavata"	"Argulus_foliaceus"	"Piscicola_geometra"	"Acanthocephalus_lucii"	"Raphidascaris_acus"	"Myxobolus_muelleri"	"Ergasilus_sieboldi"	"Allocreadium_isoporum"	"Posthodiplostomum_brevicaudatum"	"Myxobolus_bramae"	"Ichthyocotylurus_variegatus"	"Myxobolus_oviformis"	"Triaenophorus_nodulosus"	"Proteocephalus_longicollis"	"Camallanus_(Camallanus)_lacustris"	"Myxidium_pfeifferi"	"Dactylogyrus_sphyrna"	"Ichthyocotylurus_erraticus"	"Proteocephalus_torulosus"	"Dactylogyrus_crucifer"	"Dactylogyrus_fraternus"
"Rutilus_rutilus"	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0
"Abramis_brama"	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0
"Blicca_bjoerkna"	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0
"Scardinius_erythrophthalmus"	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0
"Tinca_tinca"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0
"Alburnus_alburnus"	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1
"Esox_lucius"	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0
"Perca_fluviatilis"	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
"Carassius_carassius"	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"Gymnocephalus_cernuus"	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
"Vimba_vimba"	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0
"Gasterosteus_aculeatus"	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"Lota_lota"	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"Anguilla_anguilla"	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"Coregonus_albula"	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
