"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"
"R1"	1	1	0	1	1	0	1	1	1	0	0	1	1
"R2"	1	1	1	1	1	1	0	1	1	1	1	1	1
"R3"	1	1	1	1	1	0	1	1	0	1	0	0	0
"R4"	1	1	1	1	1	1	1	1	1	1	0	1	1
"R5"	1	1	1	0	1	1	1	1	1	0	1	1	1
"R6"	0	0	1	1	1	0	0	1	0	0	0	0	0
"R7"	0	1	1	1	1	0	1	0	0	0	1	1	1
"R8"	0	0	0	0	0	0	0	0	0	0	0	1	0
"R9"	0	0	1	0	0	0	0	0	0	0	1	1	0
"R10"	1	1	1	1	1	1	0	1	0	0	0	1	1
"R11"	0	0	1	1	0	0	0	0	0	0	0	0	0
"R12"	1	0	0	0	1	1	0	0	1	0	0	0	0
"R13"	1	0	1	1	1	1	0	0	0	0	0	1	0
"R14"	1	1	1	1	1	1	1	1	1	1	0	1	1
"R15"	1	1	1	1	1	1	1	1	1	0	1	1	0
"R16"	1	1	1	1	1	1	1	1	0	0	0	0	0
"R17"	1	1	1	1	1	1	1	1	1	1	1	0	0
"R18"	1	1	1	0	0	0	0	0	0	0	0	1	1
"R19"	0	1	1	0	0	0	0	0	0	0	0	0	0
"R20"	0	0	0	0	0	0	0	0	0	0	0	1	1
"R21"	0	1	1	0	0	1	1	1	1	0	1	0	0
"R22"	0	0	0	0	0	0	0	0	0	0	0	1	0
"R23"	0	1	1	0	0	0	0	0	0	0	0	1	1
