"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	0	0	0	1	0	0	0	0	0
"R2"	0	0	0	1	0	0	0	0	0
"R3"	0	0	1	0	0	0	0	0	0
"R4"	1	1	0	0	1	0	1	1	1
"R5"	1	1	0	0	1	1	0	1	1
"R6"	0	0	1	0	0	0	0	0	0
"R7"	0	0	0	1	0	0	0	0	0
"R8"	1	1	0	0	1	1	0	1	1
"R9"	1	1	0	0	1	1	1	1	1
"R10"	1	1	0	0	1	1	1	1	1
"R11"	1	1	0	0	1	0	0	0	1
