"Palaeopsylla_soricis"	"Ctenophthalmus_uncinatus"	"Doratopsylla_dasycnema"	"Megabothris_turbidus"	"Ctenophthalmus_bisoctodentatus"	"Ctenophthalmus_agyrtes"	"Peromyscopsylla_bidentata"	"Amalaraeus_penicilliger"	"Palaeopsylla_kohauti"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Amphipsylla_rossica"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Ceratophyllus_sciurorum"	"Tarsopsylla_octodecimdentata"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Rhadinopsylla_integella"	"Leptopsylla_segnis"
"Sorex_araneus"	1099	56	606	12	2	28	7	3	2	2	34	0	0	2	0	0	0	6	0	1	0
"Clethrionomys_glareolus"	22	729	11	351	4	142	181	194	0	27	14	12	71	18	28	0	0	0	0	3	0
"Talpa_europaea"	24	18	3	1	547	146	0	1	218	1	17	0	0	13	0	0	0	1	0	0	0
"Microtus_oeconomus"	3	29	0	5	0	57	1	0	0	145	0	6	0	0	0	0	0	1	0	0	0
"Apodemus_uralensis"	2	38	2	100	0	56	1	0	0	2	0	1	0	1	0	0	0	0	0	0	1
"Clethrionomys_rutilus"	0	43	0	23	0	10	44	26	0	0	13	0	14	0	3	0	0	0	0	0	0
"Microtus_arvalis"	1	5	0	13	2	4	9	1	0	1	9	75	0	5	0	0	0	0	0	0	1
"Sorex_caecutiens"	32	2	74	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Apodemus_agrarius"	2	12	0	49	0	30	0	0	0	2	6	4	0	3	1	0	0	0	0	0	0
"Sciurus_vulgaris"	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	30	22	0	13	0	0
"Sorex_minutus"	36	3	20	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
"Microtus_agrestis"	0	8	0	15	0	6	9	0	0	13	5	1	0	0	0	0	0	0	0	0	0
"Neomys_fodiens"	9	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
"Myopus_schisticolor"	2	1	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0
"Micromys_minutus"	2	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
