"Adrama_selecta"	"Bactrocera_bancroftii"	"Bactrocera_bullata"	"Bactrocera_cheesmane"	"Bactrocera_diaphana"	"Bactrocera_enochra"	"Bactrocera_frauenfeldi"	"Bactrocera_hastigerina"	"Bactrocera_lineata"	"Bactrocera_neocheesmanae"	"Bactrocera_paramusae"	"Bactrocera_penefurva"	"Bactrocera_tinomiscii"	"Bactrocera_trivialis"	"Bactrocera_sp._1"	"Bactrocera_sp._2"	"Bactrocera_sp._3"	"Bactrocera_sp._4"	"Bactrocera_sp._5"	"Bactrocera_sp._6"	"Bactrocera_sp._7"	"Bactrocera_sp._8"	"Bactrocera_sp._9"	"Bactrocera_sp._10"	"Bactrocera_sp._11"	"Euphranta_marginata"	"Euphranta_perkinsi"	"Euphranta_quatei"	"Euphranta_sp."
"Spondias_cytherea"	0	0	0	0	0	0	0	50	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
"Uvaria_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
"Cerbera_manghas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	522	0	0	0	0	0	0	0	0
"Ochrosia_coccinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	350
"Ochrosia_oppositifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	0	0	0	0	0	6	0	0	10	0	0	0	0	0
"Barringtonia_calyptrocalyx"	4	0	0	0	0	0	11	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_hollrungii"	0	0	0	27	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_ledermannii"	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Terminalia_sp."	0	0	0	0	0	0	0	0	0	0	0	41	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pimelodendron_amboinicum"	0	13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
"Pangium_edule"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2116	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gnetum_costatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	42	0	0	0	0	0	0
"Gnetum_gnemon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	68	0	0	0	0	0	0
"Medusanthera_laxiflora"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neuburgia_corynocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0
"Ficus_conocephaliafolia"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_hispidioides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
"Myristica_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
"Syzygium_pachycladum"	0	0	0	0	0	0	71	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_samaragense"	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_longipes"	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Galearia_celebica"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Morinda_bracteata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0
"Nauclea_orientalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0
"Randia_dryadum"	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Versteegia_cauliflora"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pometia_pinnata"	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
"Phaleria_macrocarpa"	0	0	429	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gmelina_moluccana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
