"Tangara_gyrola"	"Ramphocelus_carbo"	"Tangara_mexicana"	"Euphonia_violacea"	"Chlorophanes_spiza"	"Thraupis_palmarum"	"Tachyphonus_rufus"	"Dacnis_cayana"	"Thraupis_episcopus"	"Cyanerpes_caeruleus"	"Tangara_guttata"	"Cyanerpes_cyaneus"	"Coereba_flaveola"	"Tachyphonus_luctuosus"
"Miconia_sp1_M_SD_010"	127	153	74	17	80	35	23	52	17	11	40	20	12	5
"Cecropia_peltata"	72	17	31	0	5	18	18	3	26	0	3	0	4	0
"Trema_micrantha"	39	1	11	29	34	1	3	13	2	27	12	11	3	0
"Ficus_clusiifolia"	48	0	17	7	12	11	3	1	8	3	2	5	8	0
"Didymopanax_morototoni"	13	5	1	0	2	49	0	4	33	0	0	0	1	0
"Alchornea_glandulosa"	13	0	0	0	13	14	0	16	1	11	9	0	0	0
"Protium_heptaphyllum"	6	2	13	5	4	12	9	4	9	0	0	0	0	1
"Unidentified_sp2_M_SD_010"	2	0	10	29	6	0	3	2	0	3	0	0	1	0
"Aechmaea_nudicaulis"	0	0	0	38	0	0	7	0	0	0	0	0	0	0
"Gravisia_aquilega"	0	14	0	0	0	0	29	0	0	0	0	0	0	0
"Clidemia_sp1_M_SD_010"	2	27	0	3	0	0	9	0	0	0	0	0	0	0
"Rhipsalis_sp1_M_SD_010"	0	0	2	32	0	1	0	0	0	0	0	0	6	0
"Hieronyma_caribaea"	14	0	3	0	5	0	1	4	0	1	4	0	1	0
"Cordia_curassavica"	0	18	7	0	0	0	1	0	2	0	0	0	1	0
"Sapium_aucuparium"	1	0	0	0	2	0	0	12	0	1	2	3	8	0
"Cordia_bicolor"	5	0	3	0	0	5	4	0	5	0	0	0	5	0
"Anthurium_scandens"	0	0	0	19	0	0	3	0	0	0	0	0	0	4
"Laetia_procera"	0	5	8	0	0	3	1	7	1	0	0	0	0	0
"Sloanea_stipilata"	7	2	0	0	0	1	4	2	1	0	1	4	2	1
"Ficus_citrifolia"	15	0	4	3	0	0	2	0	0	0	0	0	0	0
"Ilex_sp1_M_SD_010"	3	1	20	0	0	0	0	0	0	0	0	0	0	0
"Chiococca_alba"	1	0	15	1	3	0	0	0	0	0	0	0	0	0
"Clusia_sp1_M_SD_010"	0	0	0	0	3	0	0	2	0	14	0	1	0	0
"Piper_sp1_M_SD_010"	0	0	0	9	0	0	0	0	10	0	0	0	0	0
"Coussarea_paniculata"	0	5	0	1	0	2	4	0	6	0	0	0	0	0
"Lacistema_aggregatum"	3	1	5	0	1	2	0	2	1	0	0	0	0	0
"Ficus_tobagensis"	4	3	2	3	1	0	0	0	0	0	0	0	0	0
"Doliocarpus_dentatus"	0	0	0	0	0	3	0	1	3	0	0	5	0	0
"Myrcia_leptoclada"	11	0	0	1	0	0	0	0	0	0	0	0	0	0
"Byrsonima_spicata"	10	0	0	0	0	0	0	1	0	0	0	0	0	0
"Anthurium_gracile"	0	1	0	4	0	0	4	0	0	0	0	0	0	0
"Calycolpus_glaber"	0	2	1	0	0	2	0	1	2	0	0	0	1	0
"Cupania_sp1_M_SD_010"	0	0	0	0	0	0	0	0	0	0	0	8	1	0
"Wulffia_baccata"	1	2	0	0	0	0	0	2	0	4	0	0	0	0
"Davilla_aspera"	0	5	0	0	0	1	1	0	0	0	0	0	0	0
"Eugenia_baileyi"	0	0	3	0	0	3	0	0	1	0	0	0	0	0
"Psidium_guajava"	0	4	3	0	0	0	0	0	0	0	0	0	0	0
"Castilla_elastica"	0	1	0	0	0	0	0	0	5	0	0	0	0	0
"Myrcia_sp1_M_SD_010"	0	0	3	0	0	0	0	0	0	2	1	0	0	0
"Henriettea_sp1_M_SD_010"	1	2	0	0	0	0	2	0	0	0	0	0	0	0
"Isertia_parviflora"	0	2	0	0	0	0	3	0	0	0	0	0	0	0
"Solanum_sp1_M_SD_010"	2	3	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_SD_010"	0	2	0	0	0	0	3	0	0	0	0	0	0	0
"Aechmaea_mertensii"	0	2	0	0	0	0	2	0	0	0	0	0	0	0
"Rourea_surinamensis"	0	0	0	0	1	0	0	2	0	0	0	0	1	0
"Aechmaea_dichlamydea"	0	2	0	0	0	0	1	0	0	0	0	0	0	0
"Aegiphilia_integrifolia"	2	0	1	0	0	0	0	0	0	0	0	0	0	0
"Norantea_guianensis"	1	0	0	0	0	0	0	2	0	0	0	0	0	0
"Phytolacca_rivinoides"	0	1	0	0	0	1	1	0	0	0	0	0	0	0
"Psychotria_sp1_M_SD_010"	2	0	0	0	0	0	0	0	0	0	1	0	0	0
