"Pectinoctenus_nemorosa"	"Frontopsylla_ornata"	"Neopsylla_teratura"	"Neopsylla_mana"	"Amalaraeus_penicilliger"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Megabothris_rectangulatus"	"Frontopsylla_elata"	"Amphipsylla_dumalis"	"Paraneopsylla_tiflovi"	"Amphipsylla_primaris"	"Neopsylla_pleskei"	"Neopsylla_setosa"	"Amphipsylla_kuznetzovi"	"Leptopsylla_nana"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_rossica"	"Amphipsylla_asiatica"	"Ctenophthalmus_breviatus"	"Oropsylla_silantiewi"	"Frontopsylla_protera"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_arvalis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Pectinoctenus_pectiniceps"
"Apodemus_uralensis"	462	293	5	55	9	2	17	8	0	0	0	4	0	0	10	0	0	2	0	2	4	6	3	0	0	2	0	0	2
"Cricetulus_migratorius"	9	2	83	4	16	85	22	12	0	27	2	2	0	0	0	12	0	0	0	0	2	0	0	2	3	0	0	0	0
"Clethrionomys_centralis"	28	26	3	14	72	0	10	38	36	0	3	2	0	0	7	2	0	2	0	6	0	0	0	0	0	0	2	2	0
"Sicista_tianshanica"	15	184	4	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"Spermophilus_relictus"	0	0	73	54	3	0	0	0	0	0	0	0	26	21	0	0	12	7	0	0	0	0	3	0	0	0	0	0	0
"Alticola_argentatus"	2	4	0	6	7	0	20	0	0	0	25	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
"Ellobius_tancrei"	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
