"T01"	"T02"	"T03"	"T04"	"T05"	"T08"	"T11"	"T12"	"N01"	"N06"	"N07"	"N10"	"N11"	"N13"	"N17"	"N18"	"N19"	"L01"	"L02"	"L03"	"L04"	"L05"	"L07"	"L09"	"L10"	"L11"	"L17"	"L20"	"G01"	"G02"	"G03"	"G04"	"G05"	"G08"	"G09"	"G10"	"G16"	"G21"	"G27"	"G28"	"G30"	"G33"	"G39"	"G40"	"G44"	"G45"	"G48"	"G60"	"A01"	"A02"	"A04"	"A06"	"A07"	"A08"	"A14"	"A15"	"A20"
"Acer_rubrum"	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1
"Hamamelis_virginiana"	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1
"Quercus_rubra"	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1
"Vaccinium_sp."	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1
"Quercus_prinus"	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1
"Quercus_alba"	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	1
"Carya_glabra"	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1
"Cornus_florida"	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1
"Prunus_serotina"	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1
"Tsuga_canadensis"	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
"Betula_lenta"	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1
"Castanea_dentata"	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1
"Kalmia_latifolia"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1
"Fagus_grandifolia"	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1
"Carpinus_caroliniana"	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"Lindera_benzoin"	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
"Liriodendron_tulipifera"	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1
"Sassafras_albidum"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1
