"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_assimilis"	"Peromyscopsylla_silvatica"	"Leptopsylla_segnis"	"Ctenophthalmus_solutus"	"Amalaraeus_arvicolae"	"Ctenophthalmus_uncinatus"	"Ctenophthalmus_congener"	"Hystrichopsylla_talpae"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_obtusus"	"Peromyscopsylla_fallax"	"Ceratophyllus_sciurorum"	"Nosopsyllus_fasciatus"	"Amphipsylla_rossica"	"Atyphloceras_nuperus"	"Rhadinopsylla_pentacantha"	"Palaeopsylla_kohauti"	"Ctenophthalmus_bisoctodentatus"
"Clethrionomys_glareolus"	850	306	5	458	344	9	21	172	4	5	2	95	69	13	16	67	64	43	2	2	0	9	3	0	0
"Sorex_araneus"	53	4	466	2	9	280	16	1	1	6	0	2	1	17	9	1	0	0	0	0	0	0	0	9	2
"Apodemus_flavicollis"	313	158	8	3	1	4	6	2	19	84	0	3	2	8	13	4	2	0	3	5	0	1	1	0	0
"Apodemus_agrarius"	271	62	5	0	1	0	5	0	150	28	0	2	1	23	15	3	0	3	0	13	0	0	0	0	1
"Microtus_arvalis"	240	85	0	28	31	3	132	8	2	2	2	2	3	5	9	4	0	0	0	1	12	0	0	0	0
"Microtus_subterraneus"	215	15	5	25	52	0	2	8	1	1	151	1	12	4	4	3	0	11	0	0	0	1	7	0	0
"Microtus_agrestis"	226	36	1	31	72	1	39	36	2	2	13	1	3	18	15	5	1	6	0	0	1	1	0	0	0
"Apodemus_sylvaticus"	115	37	1	3	0	1	1	0	25	16	0	3	3	1	1	3	0	0	0	4	1	0	0	0	0
"Neomys_fodiens"	20	2	87	0	3	22	2	0	1	1	0	0	0	2	4	0	0	0	0	0	0	0	1	0	1
"Apodemus_uralensis"	26	14	0	3	2	1	10	0	0	38	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"Sorex_alpinus"	12	0	35	0	2	26	1	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
"Neomys_anomalus"	13	5	50	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myoxus_glis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0
"Sorex_minutus"	1	0	10	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Crocidura_suaveolens"	0	0	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Muscardinus_avellanarius"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
"Microtus_tatricus"	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Talpa_europaea"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
"Arvicola_terrestris"	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_betulina"	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"Micromys_minutus"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
