"Astylus_quadrilineatus"	"Augochlora_semiramis"	"Unidentified_sp15_M_PL_072_05"	"Allograpta_sp1_M_PL_072_05"	"Toxomerus_sp1_M_PL_072_05"	"Unidentified_sp1_M_PL_072_05"	"Apis_mellifera"	"Euptoieta_claudia_hortensia"	"Lucilia_sericata"	"Palpada_sp1_M_PL_072_05"	"Vanessa_sp1_M_PL_072_05"	"Camponotus_sp1_M_PL_072_05"	"Chauliognathus_scriptus"	"Cochliomyia_macellaria"	"Platycheirus_sp1_M_PL_072_05"	"Unidentified_sp13_M_PL_072_05"	"Unidentified_sp4_M_PL_072_05"	"Unidentified_sp9_M_PL_072_05"	"Chilicola_sp1_M_PL_072_05"	"Chrysodina_sp1_M_PL_072_05"	"Colletes_sp1_M_PL_072_05"	"Eudesmia_australis"	"Lerodea_eufala"	"Neochrysis_sp1_M_PL_072_05"	"Parachytas_sp1_M_PL_072_05"	"Trichopoda_giacomelli"	"Unidentified_sp12_M_PL_072_05"	"Unidentified_sp18_M_PL_072_05"	"Unidentified_sp2_M_PL_072_05"	"Unidentified_sp3_M_PL_072_05"	"Xylocopa_ciliata"	"Augochlorella_ephyra"	"Bombus_bellicosus"	"Campsomeris_bistrimacula"	"Chauliognathus_sp1_M_PL_072_05"	"Chlorion_sp1_M_PL_072_05"	"Copestylum_sp1_M_PL_072_05"	"Corticea_immocerina"	"Dactylozodes_sp1_M_PL_072_05"	"Dialictus_sp1_M_PL_072_05"	"Discodon_sp1_M_PL_072_05"	"Eristalinus_taeniops"	"Eristalis_tenax"	"Halictillus_sp1_M_PL_072_05"	"Isodontia_sp1_M_PL_072_05"	"Mischocyttarus_drewseni"	"Polybia_scutellaris"	"Prionyx_sp1_M_PL_072_05"	"Pyrgus_sp1_M_PL_072_05"	"Sceliphron_asiaticum"	"Sphex_sp1_M_PL_072_05"	"Stenodynerus_sp1_M_PL_072_05"	"Strymon_eurytulus"	"Synanthedom_albicalcarata"	"Syritta_sp1_M_PL_072_05"	"Tatochila_autodice"	"Thespieus_catochra"	"Unidentified_sp10_M_PL_072_05"	"Unidentified_sp11_M_PL_072_05"	"Unidentified_sp14_M_PL_072_05"	"Unidentified_sp16_M_PL_072_05"	"Unidentified_sp17_M_PL_072_05"	"Unidentified_sp5_M_PL_072_05"	"Unidentified_sp6_M_PL_072_05"	"Unidentified_sp7_M_PL_072_05"	"Unidentified_sp8_M_PL_072_05"	"Villa_sp1_M_PL_072_05"
"Eupatorium_lanigerum"	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1
"Eryngium_stenophyllum"	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0
"Senecio_bravensis"	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
"Baccharis_coridifolia"	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_madagascariensis"	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_pubescens"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupatorium_tenacetifolium"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habranthus_gracilifolius"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hysterionica_pinifolia"	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hypochaeris_rosengurtii"	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achyrocline_satureoides"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habranthus_andersoni"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxalis_articulata"	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sonchus_oleraceus"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cerastium_mollissimum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gnaphalium_cheirantifolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Rodophiala_bifidum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
