"Neopsylla_mana"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Hystrichopsylla_talpae"	"Frontopsylla_elata"	"Megabothris_turbidus"	"Ceratophyllus_indages"
"Sorex_araneus"	510	51	10	5	26	18	0	2	0
"Neomys_fodiens"	108	54	3	2	10	0	0	0	0
"Microtus_oeconomus"	8	44	53	26	6	9	0	0	0
"Microtus_arvalis"	15	60	30	15	5	3	6	10	0
"Clethrionomys_glareolus"	31	31	31	15	8	8	3	6	0
"Clethrionomys_rutilus"	18	27	27	18	9	5	3	5	0
"Sorex_minutus"	75	12	5	0	3	0	0	0	0
"Apodemus_speciosus"	13	25	6	6	2	13	19	3	0
"Apodemus_agrarius"	10	20	10	2	20	3	10	3	0
"Sicista_subtilis"	35	9	5	0	0	6	7	0	0
"Arvicola_terrestris"	4	8	13	34	0	2	0	0	0
"Sorex_arcticus"	55	2	0	0	3	0	0	0	0
"Sorex_daphaenodon"	46	0	0	0	8	0	0	0	0
"Micromys_minutus"	10	0	10	0	10	0	0	10	0
"Talpa_europaea"	18	15	0	4	0	2	0	0	0
"Microtus_gregalis"	2	15	5	5	2	3	0	0	0
"Microtus_agrestis"	2	5	7	2	5	0	0	0	0
"Cricetus_cricetus"	4	0	2	2	0	3	0	0	0
"Sorex_caecutiens"	5	4	0	0	0	0	0	0	0
"Clethrionomys_rufocanus"	2	0	2	0	2	0	0	0	0
"Sorex_isodon"	5	0	0	0	0	0	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	5
"Sorex_minutissimus"	0	2	0	0	0	0	0	0	0
