"Chlorostilbon_lucidus"	"Eupetomena_macroura"	"Heliomaster_squamosus"	"Chrysolampis_mosquitus"	"Calliphlox_amethystina"
"Cnidoscolus_halteris"	6269	1242	416	46	66
"Tacinga_palmadora"	1524	3	48	1	1
"Oxalis_psoraleoides"	937	0	0	0	0
"Melocactus_zehntneri"	871	14	0	0	0
"Melochia_tomentosa"	581	2	1	4	0
"Tabebuia_impetiginosa"	208	32	97	18	0
"Unidentified_sp1_M_PL_067"	318	0	0	0	0
"Cnidoscolus_obtusifolius"	210	0	0	0	0
"Cissus_simsiana"	203	0	0	0	0
"Bauhinia_cheilantha"	92	14	6	2	0
"Plumbago_scandens"	95	1	0	0	0
"Jatropha_mollissima"	80	1	0	2	0
"Encholirium_spectabile"	53	16	11	0	0
"Ipomoea_sp1_M_PL_067"	18	0	4	0	0
"Tacinga_inamoena"	19	2	0	0	0
"Ruellia_asperula"	18	0	0	0	0
"Allamanda_blanchetii"	6	0	1	0	0
"Cissus_verticillata"	5	0	0	0	0
"Pithecoseris_pacourinoides"	5	0	0	0	0
"Pilosocereus_sp1_M_PL_067"	0	4	0	0	0
"Ceiba_glaziovii"	1	0	2	0	0
"Conocliniopsis_prasiifolia"	3	0	0	0	0
"Dioclea_grandiflora"	1	0	1	0	0
"Hyptis_pectinata"	2	0	0	0	0
"Anadenanthera_macrocarpa"	1	0	0	0	0
"Caesalpinia_pyramidalis"	1	0	0	0	0
"Croton_blanchetianus"	0	0	1	0	0
"Pilosocereus_gounellei"	1	0	0	0	0
"Psidium_sp1_M_PL_067"	1	0	0	0	0
"Staelia_galioides"	1	0	0	0	0
"Walteria_rotundifolia"	1	0	0	0	0
