"Hystrichopsylla_talpae"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"	"Megabothris_walkeri"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Ctenophthalmus_assimilis"	"Ceratophyllus_sciurorum"
"Sorex_araneus"	368	1	86	0	0	5	3	0
"Apodemus_uralensis"	0	59	4	3	0	2	0	0
"Clethrionomys_glareolus"	0	32	0	1	5	0	4	1
"Microtus_agrestis"	3	7	4	14	5	7	1	0
"Clethrionomys_rutilus"	4	0	1	8	12	4	4	0
"Microtus_arvalis"	1	0	0	6	0	1	3	1
"Sorex_caecutiens"	0	5	0	0	1	0	0	3
"Arvicola_terrestris"	3	0	0	0	3	0	2	0
"Sicista_betulina"	0	4	0	1	0	0	0	1
