"Ctenophthalmus_assimilis"	"Leptopsylla_taschenbergi"	"Ctenophthalmus_wagneri"	"Amphipsylla_rossica"	"Ctenophthalmus_agyrtes"	"Nosopsyllus_consimilis"	"Leptopsylla_segnis"	"Ctenophthalmus_orientalis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Megabothris_turbidus"	"Nosopsyllus_mokrzeckyi"	"Palaeopsylla_soricis"	"Megabothris_walkeri"	"Doratopsylla_dasycnema"
"Microtus_arvalis"	14	2	26	29	2	13	19	18	4	3	1	7	1	3	0
"Apodemus_agrarius"	26	53	6	0	3	2	1	3	8	0	3	1	0	1	0
"Clethrionomys_glareolus"	19	0	0	0	15	0	0	1	4	5	5	0	1	0	0
"Apodemus_uralensis"	0	3	2	0	6	7	3	1	2	2	1	0	2	0	0
"Cricetulus_migratorius"	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0
"Sorex_araneus"	1	1	0	0	1	0	0	0	0	1	0	0	2	1	1
"Apodemus_flavicollis"	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
