"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1	1	1	1	0	0	0	0	0	0	0	0
"R2"	1	1	1	1	1	0	0	0	0	0	0	0
"R3"	0	0	0	0	0	1	0	0	0	0	0	0
"R4"	1	1	1	1	0	0	0	0	0	0	0	0
"R5"	1	1	1	1	0	0	0	0	0	0	0	0
"R6"	1	0	0	0	1	0	0	0	0	0	0	0
"R7"	1	0	0	0	0	0	0	0	0	0	0	0
"R8"	0	0	0	0	0	0	1	1	1	1	1	1
"R9"	1	0	0	0	1	0	0	0	0	0	0	0
"R10"	1	1	1	1	0	0	0	0	0	0	0	0
"R11"	1	0	0	0	1	0	0	0	0	0	0	0
"R12"	1	0	0	0	1	0	0	0	0	0	0	0
