"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_107"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Tricimba_seychellensis"	"Phelsuma_sp1_M_PL_107"	"Unidentified_sp3_M_PL_107"	"Lygistorrhina_sp1_M_PL_107"	"Hemipyrellia_sp1_M_PL_107"	"Mabuya_sechellensis"	"Scaptodrosophila_sp1_M_PL_107"	"Dichaetomyia_fasciculifera"	"Melanostoma_annulipes"	"Unidentified_sp2_M_PL_107"	"Unidentified_sp4_M_PL_107"
"Nephrosperma_vanhoutteanum"	29	30	0	0	0	1	6	4	0	2	0	0	0	0	0	0	0	0
"Northea_hornei"	19	0	3	1	0	2	0	0	2	0	0	0	2	2	1	1	0	0
"Dillenia_ferruginea"	11	6	0	2	0	3	0	0	0	0	0	2	0	0	0	0	1	0
"Craterispermum_microdon"	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Erythroxylum_sechellarum"	3	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_wrightii"	0	1	13	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	5	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Diospyros_seychellarum"	1	7	0	3	0	0	0	1	0	1	3	0	0	0	0	0	0	0
"Memecylon_eleagni"	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Soulamea_terminaloides"	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"Excoecaria_benthiamiana"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
