"Brucchus_affinis"	"Brucchus_atomarius"	"Brucchus_brachialis"	"Brucchus_libanensis"	"Brucchus_loti"	"Brucchus_luteicornis"	"Brucchus_pisorum"	"Brucchus_rufimanus"	"Brucchus_occidentalis"	"Brucchus_tristiculus"	"Brucchus_venustus"	"Brucchus_viciae"	"Bruchidius_dispar"	"Bruchidius_glycyrhizae"	"Bruchidius_imbricornis"	"Bruchidius_lividimanus"	"Bruchidius_marginalis"	"Bruchidius_martinezi"	"Bruchidius_pauper"	"Bruchidius_picipis"	"Bruchidius_poupillieri"	"Bruchidius_pusillus"	"Bruchidius_seminarius"	"Bruchidius_sericatus"	"Bruchidius_varipes"	"Bruchidius_varius"	"Bruchidius_villosus"
"Trifolium_diffusum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Trifolium_medium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Chamaecytisus_hirsutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Chamaecytisus_supinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Cytisus_sessilifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Genista_pilosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Genista_tinctoria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Laburnum_anagyroides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Petteria_ramentacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Spartium_junceum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
