"Acanthocephalus_dirus"	"Acetodextra_amiuri"	"Achtheres_pimelodi"	"Acolpenteron_catostomi"	"Acolpenteron_ureteroecetes"	"Actinobdella_inequiannulata"	"Actinobdella_sp"	"Actinocleidus_recurvatus"	"Aethycteron_malleus"	"Agamonema_sp."	"Agamospirura_sp."	"Allacanthochasmus_artus"	"Allacanthochasmus_varius"	"Allocreadium_lobatum"	"Alloglossidium_corti"	"Anodontoides_ferussacianus"	"Anonchohaptor_anomalus"	"Apophallus_brevis"	"Argulus_catostomi"	"Argulus_japonicus"	"Argulus_sp."	"Azygia_angusticauda"	"Azygia_longa"	"Bothriocephalus_claviceps"	"Bothriocephalus_cuspidatus"	"Bothriocephalus_formosus"	"Bothriocephalus_sp."	"Bucephalus_elegans"	"Bucephalus_sp."	"Bunodera_sacculata"	"Bunoderina_eucaliae"	"Caecincola_parvulus"	"Camallanus_oxycephalus"	"Camallanus_sp."	"Capillaria_bakeri"	"Capillaria_catenata"	"Capillaria_catostomi"	"Capillaria_salvelini"	"Capillaria_sp."	"Centrovarium_lobotes"	"Clavunculus_bursatus"	"Cleidodiscus_brachus"	"Cleidodiscus_robustus"	"Clinostomum_complanatum"	"Contracaecum_sp."	"Corallobothrium_fimbriatum"	"Corallotaenia_minutia"	"Crassiphiala_bulboglossa"	"Crepidostomum_cooperi"	"Crepidostomum_cornutum"	"Crepidostomum_farionis"	"Crepidostomum_isostomum"	"Crepidostomum_lintoni"	"Creptotrema_funduli"	"Cryptogonimus_chili"	"Cyathocephalus_truncatus"	"Cystidicola_farionis"	"Cystidicola_sp."	"Cystidicola_stigmatura"	"Cystidicoloides_ephemeridarum"	"Dactylogyrus_anchoratus"	"Dactylogyrus_attenuatus"	"Dactylogyrus_aureus"	"Dactylogyrus_banghami"	"Dactylogyrus_bifurcatus"	"Dactylogyrus_buddi"	"Dactylogyrus_chrosomi"	"Dactylogyrus_cornutus"	"Dactylogyrus_duquesni"	"Dactylogyrus_eucalius"	"Dactylogyrus_extensus"	"Dactylogyrus_heterolepis"	"Dactylogyrus_lineatus"	"Dactylogyrus_pollex"	"Dactylogyrus_sp."	"Dichelyne_cotylophora"	"Dichelyne_robusta"	"Dichelyne_sp."	"Diclybothrium_armatum"	"Diclybothrium_hamulatum"	"Digenea_gen._sp."	"Diphyllobothrium_ditremum"	"Diphyllobothrium_laruei"	"Diphyllobothrium_sp."	"Diplostomum_baeri_eucaliae"	"Diplostomum_flexicaudum"	"Diplostomum_huronense"	"Diplostomum_sp."	"Diplostomum_sp.__or_Tylodelphys_sp."	"Diplostomum_spathaceum"	"Discocotyle_sagittata"	"Echinorhynchus_lateralis"	"Echinorhynchus_leidyi"	"Echinorhynchus_salmonis"	"Echinorhynchus_sp."	"Ergasilus_caeruleus"	"Ergasilus_celestis"	"Ergasilus_luciopercarum"	"Ergasilus_megaceros"	"Ergasilus_nerkae"	"Ergasilus_sp."	"Ergasilus_versicolor"	"Eubothrium_crassum"	"Eubothrium_rugosum"	"Eubothrium_salvelini"	"Eubothrium_sp."	"Eustrongylides_sp."	"Eustrongylides_tubifex"	"Glaridacris_catostomi"	"Glossidium_geminum"	"Gyrodactyloides_sp."	"Gyrodactylus_atratuli"	"Gyrodactylus_bairdi"	"Gyrodactylus_couesius"	"Gyrodactylus_dechtiari"	"Gyrodactylus_etheostomae"	"Gyrodactylus_eucaliae"	"Gyrodactylus_freemani"	"Gyrodactylus_funduli"	"Gyrodactylus_goerani"	"Gyrodactylus_margaritae"	"Gyrodactylus_medius"	"Gyrodactylus_nebulosus"	"Gyrodactylus_sp."	"Gyrodactylus_spathulatus"	"Gyrodactylus_stunkardi"	"Haplobothrium_globuliforme"	"Haplocleidus_dispar"	"Haplonema_hamulatum"	"Haplonema_immutatum"	"Haplonema_sp."	"Henneguya_doori"	"Henneguya_exilis"	"Henneguya_zschokkei"	"Hymenolepis_sp."	"Hysterothylacium_brachyurum"	"Hysterothylacium_sp."	"Ichthyocotylurus_intermedia"	"Ichthyocotylurus_sp."	"Leptocleidus_megalonchus"	"Leptorhynchoides_thecatus"	"Lernaea_cruciata"	"Lernaea_cyprinacea"	"Ligictaluridus_floridanus"	"Ligictaluridus_monticellii"	"Ligictaluridus_pricei"	"Ligula_intestinalis"	"Lissorchis_attenuatus"	"Lissorchis_simeri"	"Lissorchis_sp."	"Lyrodiscus_minimus"	"Lyrodiscus_rupestris"	"Macroderoides_typicus"	"Mazocraeoides_olentangiensis"	"Megalonia_ictaluri"	"Megathylacoides_giganteum"	"Microphallus_opacus"	"Myxidium_lieberkuhni"	"Myxobolus_bartai"	"Myxobolus_bibullatum"	"Myxobolus_burti"	"Myxobolus_cognati"	"Myxobolus_conspicuous"	"Myxobolus_grandis"	"Myxobolus_pendula"	"Myxobolus_procercum"	"Myxobolus_rotundum"	"Myxobolus_scleroperca"	"Myxobolus_sp."	"Myzobdella_lugubris"	"Myzobdella_sp."	"Neascus_sp."	"Neoechinorhynchus_crassus"	"Neoechinorhynchus_cristatus"	"Neoechinorhynchus_cylindratus"	"Neoechinorhynchus_notemigoni"	"Neoechinorhynchus_pungitius"	"Neoechinorhynchus_rutili"	"Neoechinorhynchus_sp."	"Neoechinorhynchus_sp._1"	"Neoechinorhynchus_sp._2"	"Neoechinorhynchus_strigosus"	"Neoechinorhynchus_tenellus"	"Neoechinorhynchus_tumidus"	"Neoergasilus_japonicus"	"Octomacrum_lanceatum"	"Octomacrum_microconfibula"	"Octomacrum_semotili"	"Octospinifer_macilentus"	"Onchocleidus_chautauquaensis"	"Onchocleidus_chrysops"	"Onchocleidus_ferox"	"Pellucidhaptor_catostomi"	"Pellucidhaptor_nasalis"	"Pellucidhaptor_sp."	"Philometra_cylindracea"	"Philometra_sp."	"Philometroides_huronensis"	"Philometroides_nodulosa"	"Phyllodistomum_brevicecum"	"Phyllodistomum_coregoni"	"Phyllodistomum_lachancei"	"Phyllodistomum_lohrenzi"	"Phyllodistomum_lysteri"	"Phyllodistomum_sp."	"Phyllodistomum_staffordi"	"Phyllodistomum_superbum"	"Phyllodistomum_undulans"	"Piscicola_milneri"	"Piscicola_punctata"	"Plagioporus_cooperi"	"Plagioporus_sinitsini"	"Podocotyle_lepomis"	"Pomphorhynchus_bulbocolli"	"Posthodiplostomum_minimum"	"Proalaria_huronensis"	"Prosorhynchoides_pusilla"	"Proteocephalus_ambloplitis"	"Proteocephalus_exiguus"	"Proteocephalus_fluviatilis"	"Proteocephalus_laruei"	"Proteocephalus_pearsei"	"Proteocephalus_perplexus"	"Proteocephalus_pinguis"	"Proteocephalus_sp."	"Proteocephalus_stizostethi"	"Proterometra_macrostoma"	"Pseudocolpenteron_pavlovskii"	"Pseudomurraytrema_copulatum"	"Raphidascaris_acus"	"Raphidascaris_sp."	"Rhabdochona_canadensis"	"Rhabdochona_cascadilla"	"Rhabdochona_cotti"	"Rhabdochona_decaturensis"	"Rhabdochona_sp."	"Rhipidocotyle_papillosa"	"Salmincola_edwardsii"	"Salmincola_extensus"	"Salmincola_extumescens"	"Salmincola_inermis"	"Salmincola_siscowet"	"Salmincola_sp."	"Salsuginus_fundulus"	"Sanguinicola_occidentalis"	"Sanguinicola_sp."	"Schistocephalus_solidus"	"Skrjabinopsolus_manteri"	"Sparganum_pseudosegmentatum"	"Spinitectus_carolini"	"Spinitectus_gracilis"	"Spinitectus_sp."	"Spiroxys_contortus"	"Spiroxys_sp."	"Syncleithrium_fusiformis"	"Tetracleidus_banghami"	"Tetracleidus_capax"	"Tetracleidus_longus"	"Tetraonchus_monenteron"	"Tetraonchus_variabilis"	"Thelohanellus_notatus"	"Triaenophorus_crassus"	"Triaenophorus_nodulosus"	"Triaenophorus_sp."	"Triaenophorus_stizostedionis"	"Truttaedacnitis_clitellarius"	"Truttaedacnitis_stelmioides"	"Tylodelphys_scheuringi"	"Unidentified_bucephalid"	"Unidentified_cestodaria"	"Unidentified_cestode"	"Unidentified_Nematodes"	"Unidentified_plerocercoid"	"Unknown_Family"	"Urocleidus_aculeatus"	"Urocleidus_adspectus"	"Urocleidus_alatus"	"Urocleidus_baldwini"	"Uvulifer_ambloplitis"	"Zschokkella_sp."
"Perca_flavescens"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Ambloplites_rupestris"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"Micropterus_dolomieui"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Catostomus_commersonii"	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Notropis_hudsonius"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Lepomis_gibbosus"	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Catostomus_catostomus"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Ameiurus_nebulosus"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_clupeaformis"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Percopsis_omiscomaycus"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
