"C1"	"C2"
"R1"	0	1
"R2"	0	1
"R3"	0	1
"R4"	0	1
"R5"	0	1
"R6"	0	1
"R7"	0	1
"R8"	0	1
"R9"	0	1
"R10"	0	1
"R11"	0	1
"R12"	0	1
"R13"	0	1
"R14"	0	1
"R15"	0	1
"R16"	0	1
"R17"	1	1
"R18"	0	1
"R19"	0	1
"R20"	1	1
"R21"	0	1
"R22"	1	1
"R23"	1	0
"R24"	0	1
"R25"	1	1
"R26"	0	1
"R27"	0	1
"R28"	1	0
"R29"	1	0
"R30"	1	0
"R31"	1	1
"R32"	1	1
"R33"	0	1
"R34"	0	1
"R35"	0	1
"R36"	1	0
"R37"	1	1
"R38"	1	1
"R39"	0	1
"R40"	1	0
"R41"	0	1
"R42"	1	1
"R43"	1	1
"R44"	0	1
"R45"	1	0
"R46"	1	0
"R47"	0	1
"R48"	0	1
"R49"	1	1
