"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"
"R1"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R2"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"R3"	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
"R4"	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"R5"	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"R6"	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
"R7"	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
"R8"	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"R9"	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
"R10"	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"R11"	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
"R12"	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"R13"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"R14"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"R15"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R16"	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"R17"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"R18"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R19"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R20"	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R21"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"R22"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R23"	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R24"	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R25"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"R26"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R27"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R28"	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R29"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R30"	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R31"	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"R32"	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
"R33"	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"R34"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R35"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R36"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"R37"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R38"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R39"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R40"	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R41"	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"R42"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"R43"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R44"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R45"	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"R46"	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"R47"	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R48"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R49"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"R50"	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
"R51"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R52"	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R53"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"R54"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"R55"	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"R56"	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"R57"	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R58"	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R59"	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
