"Ageneotettix_deorum"	"Amphitornus_coloradus"	"Cordillacris_occipitalis"	"Eritettix_simplex"	"Mermiria_maculipennis"	"Melanoplus_angustipennis"	"Melanoplus_confusus"	"Melanoplus_foedus"	"Arphia_conspersa"	"Arphia_pseudonictana"	"Pardalophora_apiculata"	"Spharagemon_collare"	"Trachyrhachys_kiowa"	"Xanthippus_corallipes"
"Agropyron_smithii"	9	2	14	1	5	3	6	3	29	16	25	28	1	30
"Amaranthus_retroflexus"	0	0	0	0	0	0	1	1	0	0	2	8	0	1
"Ambrosia_psilostachya"	0	0	0	0	0	13	2	9	0	0	0	1	0	1
"Andropogon_hallii"	0	0	0	0	6	1	1	0	4	0	2	4	0	1
"Argemone_intermedia"	0	0	0	0	0	1	0	2	0	0	0	0	0	0
"Aristida_longiseta"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Artemisia_filifolia"	0	0	0	0	0	3	12	4	0	0	0	0	0	0
"Astragalus_spp."	0	0	0	0	0	4	1	2	0	0	0	0	0	0
"Asclepias_pumila"	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"Bouteloua_gracilis"	42	82	51	36	39	6	1	6	15	6	1	21	91	17
"Bromus_tectorum"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Buchloe_dactyloides"	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"Calamovilfa_longifolia"	11	1	6	45	34	3	2	5	4	2	7	4	0	2
"Carex_heliophila"	3	0	1	2	0	1	0	2	4	8	15	3	0	5
"Chenopodium_album"	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"Cirsium_undulatum"	0	0	0	0	0	2	6	6	0	0	0	0	0	0
"Croton_texensis"	0	0	0	0	0	3	0	3	0	0	0	0	0	0
"Eriogonum_annum"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Euphorbia_spp."	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Evolvulus_nuttallianus"	0	0	0	0	0	1	1	8	0	0	0	0	0	0
"Festuca_octoflora"	2	0	0	6	0	0	0	0	16	0	29	1	0	14
"Ipamoea_leptophylla"	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"Juncus_balticus"	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Lepidium_densiflorum"	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"Lesquerella_ludoviciana"	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"Lithospermum_incisum"	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"Lupinus_pussilus"	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"Medicago_sativa"	0	0	0	0	0	2	0	2	0	0	0	0	0	0
"Melilotus_alba"	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"Other_grasses"	0	0	0	0	0	2	1	1	0	0	0	0	0	0
"Other_forbs"	0	0	0	0	0	9	13	4	0	0	0	0	0	0
"Paspalum_stramineum"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Penstemon_aIbidus"	0	0	0	0	0	0	2	1	0	0	0	0	0	0
"Psoralea_lanceolata"	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"Psoralea_tenuiflora"	0	0	0	0	0	2	2	6	0	0	0	0	0	0
"Solanum_rostratum"	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Sphaeralcea_coccinea"	0	0	0	0	0	1	1	4	0	0	0	0	0	0
"Sporobolus_cryptandrus"	1	0	0	1	0	5	0	3	0	0	1	8	1	0
"Stipa_comata"	24	14	27	9	17	4	2	3	29	67	16	9	8	27
"Tradescantia_occidentalis"	0	0	0	0	0	1	37	2	0	0	2	3	0	0
