"Cordia_nodosa"	"Triplaris_americana"	"Cecropia_sp1_M_PA_001"	"Clidemia_heterophylla"	"Pleurothyrium_sp1_M_PA_001"	"Triplaris_poeppigiana"	"Maieta_guianensis"	"Tococa_sp1_M_PA_001"
"Allomerus_demararae"	35	0	0	0	0	0	0	0
"Pseudomyrmex_dendroicus"	0	30	0	0	0	0	0	0
"Pachychondyla_luteola"	0	0	19	0	0	0	0	0
"Crematogaster_victima"	0	0	0	7	0	0	6	0
"Pheidole_minutula"	0	0	0	8	0	0	5	0
"Azteca_sp8_M_PA_001"	0	0	0	0	0	12	0	0
"Myrmelachista_sp1_M_PA_001"	0	0	0	0	10	0	0	0
"Azteca_sp7_M_PA_001"	4	0	0	0	0	0	0	2
"Azteca_sp9_M_PA_001"	0	0	0	0	0	0	0	5
"Camponotus_balzani"	0	0	5	0	0	0	0	0
"Azteca_sp12_M_PA_001"	0	0	0	0	4	0	0	0
"Azteca_sp11_M_PA_001"	0	0	0	0	0	2	0	0
"Crematogaster_limata"	2	0	0	0	0	0	0	0
"Azteca_sp10_M_PA_001"	0	0	0	0	0	0	0	1
"Azteca_sp13_M_PA_001"	1	0	0	0	0	0	0	0
"Gnamptogenys_pleurodon"	1	0	0	0	0	0	0	0
