"Megabothris_rectangulatus"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_uncinatus"	"Amalaraeus_penicilliger"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Rhadinopsylla_integella"	"Palaeopsylla_soricis"
"Clethrionomys_rutilus"	251	140	71	57	17	0	6	2
"Clethrionomys_glareolus"	44	68	22	27	5	2	0	2
"Microtus_agrestis"	53	9	17	3	5	2	0	0
"Microtus_oeconomus"	17	7	8	7	6	0	0	0
"Clethrionomys_rufocanus"	4	3	3	7	0	0	0	0
"Myopus_schisticolor"	5	0	0	0	2	0	0	0
"Arvicola_terrestris"	3	0	0	2	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	5	0	0
"Sicista_betulina"	2	0	0	0	0	0	0	0
