"Phaethornis_eurynome"	"Thalurania_glaucopis"	"Clytolaema_rubricauda"	"Leucochloris_albicollis"	"Amazilia_versicolor"	"Stephanoxis_lalandi"	"Florisuga_fusca"	"Lophornis_chalybeus"	"Eupetomena_macroura"
"Inga_sessilis"	44	32	198	23	8	0	41	2	0
"Erythrina_speciosa"	107	137	95	0	1	0	0	5	1
"Aechmea_vanhoutteana"	95	132	0	0	0	0	0	0	0
"Spirotheca_rivieri"	0	74	102	0	0	0	4	5	0
"Wittrockia_superba"	55	77	0	0	0	0	0	0	0
"Aechmea_gamosepala"	18	95	6	0	0	2	0	0	0
"Canistrum_perplexum"	14	68	18	0	0	0	1	0	0
"Callianthe_rufinerva"	1	22	60	0	0	0	0	0	0
"Edmundoa_lindenii"	53	26	0	0	0	0	0	0	0
"Macrocarpaea_rubra"	6	33	2	1	30	6	0	0	0
"Mutisia_speciosa"	62	0	0	14	0	0	0	0	0
"Psittacanthus_dichroos"	1	1	53	10	1	0	1	0	0
"Canna_paniculata"	65	0	0	0	0	0	0	0	0
"Alstroemeria_inodora"	30	0	0	2	0	18	0	0	0
"Manettia_cordifolia"	50	0	0	0	0	0	0	0	0
"Nidularium_innocentii"	36	0	2	0	0	0	0	0	0
"Aechmea_distichantha"	15	21	1	0	0	0	0	0	0
"Aechmea_sp1_M_PL_063"	12	24	0	0	0	0	0	0	0
"Billbergia_amoena"	36	0	0	0	0	0	0	0	0
"Nematanthus_fritschii"	36	0	0	0	0	0	0	0	0
"Sinningia_cooperi"	35	0	0	0	0	0	0	0	0
"Mendoncia_velloziana"	2	0	14	0	16	0	0	0	0
"Aphelandra_longiflora"	31	0	0	0	0	0	0	0	0
"Nidularium_procerum"	31	0	0	0	0	0	0	0	0
"Besleria_longimucronata"	9	19	0	0	0	0	0	0	0
"Lantana_camara"	1	0	0	0	0	26	0	0	0
"Fuchsia_regia"	6	5	15	0	0	0	0	0	0
"Vriesea_simplex"	24	0	0	0	0	0	0	0	0
"Centropogon_cornutus"	23	0	0	0	0	0	0	0	0
"Siphocampylus_convolvulaceus"	22	1	0	0	0	0	0	0	0
"Aechmea_nudicaulis"	1	6	15	0	0	0	0	0	0
"Nematanthus_fluminensis"	22	0	0	0	0	0	0	0	0
"Nematanthus_gregarius"	4	18	0	0	0	0	0	0	0
"Vriesea_incurvata"	22	0	0	0	0	0	0	0	0
"Nidularium_rutilans"	20	0	1	0	0	0	0	0	0
"Vriesea_sp1_M_PL_063"	20	0	0	0	0	0	0	0	0
"Pyrostegia_venusta"	17	1	0	1	0	0	0	0	0
"Aphelandra_colorata"	18	0	0	0	0	0	0	0	0
"Tillandsia_geminiflora"	2	12	2	1	0	1	0	0	0
"Vriesea_erythrodactylon"	17	0	0	0	0	0	0	0	0
"Sinningia_elatior"	7	0	0	9	0	0	0	0	0
"Vriesea_carinata"	16	0	0	0	0	0	0	0	0
"Nematanthus_sp1_M_PL_063"	15	0	0	0	0	0	0	0	0
"Nidularium_longiflorum"	11	0	0	0	0	0	0	0	0
"Nematanthus_sericeus"	5	1	4	0	0	0	0	0	0
"Vriesea_inflata"	9	0	0	0	0	0	0	0	0
"Justicia_sp1_M_PL_063"	7	0	0	0	0	0	0	0	0
"Siphocampylus_longipedunculatus"	7	0	0	0	0	0	0	0	0
"Tillandsia_sp1_M_PL_063"	2	4	1	0	0	0	0	0	0
"Tillandsia_stricta"	1	3	1	0	0	1	0	0	0
"Justicia_sp2_M_PL_063"	5	0	0	0	0	0	0	0	0
"Sinningia_glazioviana"	4	0	0	0	0	0	0	0	0
"Siphocampylus_lauroanus"	4	0	0	0	0	0	0	0	0
"Psychotria_leiocarpa"	0	2	0	0	1	0	0	0	0
"Tillandsia_dura"	1	0	0	0	0	0	0	0	0
