"Melangyna_sp1_M_PL_027"	"Unidentified_sp1_M_PL_027"	"Leioproctus_fulvescens"	"Avibrissina_isolata"	"Cheilosia_fulvipes"	"Cheilosia_sp1_M_PL_027"	"Lasioglossum_sp1_M_PL_027"	"Leioproctus_sp1_M_PL_027"	"Argirophenga_sp1_M_PL_027"	"Melangyna_novaezelandiae"	"Peremptor_modica"	"Unidentified_sp2_M_PL_027"	"Unidentified_sp3_M_PL_027"	"Veluta_albicincta"	"Adoxia_cheesemani"	"Apsonia_muscaria"	"Erythronychia_aliena"	"Heteria_plebeia"	"Leioproctus_sp2_M_PL_027"	"Mordella_detracta"	"Occisor_sp1_M_PL_027"	"Pilinasica_cingulata"	"Procissio_sp1_M_PL_027"	"Proscissio_cana"	"Proscissio_lateralis"	"Unidentified_sp4_M_PL_027"	"Xylota_montana"	"Zealandotachina_nigrifemorata"	"Adoxia_obscura"	"Argyrophenga_janitae"	"Asilis_pilicomis"	"Avibrissina_sp1_M_PL_027"	"Calliphora_quadrimaculata"	"Cyphon_sp1_M_PL_027"	"Eudonia_sabulosella"	"Eulalia_sp1_M_PL_027"	"Gracilicera_setosa"	"Helophilus_hochstetteri"	"Heteria_appendiculata"	"Hoplocneme_sp1_M_PL_027"	"Leioproctus_maritimus"	"Lepidomyia_decessum"	"Mallochomacquartia_setiventris"	"Medinella_flavotemorata"	"Melangyna_ortas"	"Neotachina_obtusa"	"Neotachina_sp1_M_PL_027"	"Occisor_versutus"	"Pasiphila_inductata"	"Proscissio_kumarensis"	"Protohystricia_huttoni"	"Protohystricia_orientalis"	"Rhopalomerus_sp1_M_PL_027"	"Unidentified_sp5_M_PL_027"	"Unidentified_sp6_M_PL_027"	"Unidentified_sp7_M_PL_027"	"Unidentified_sp8_M_PL_027"	"Unidentified_sp9_M_PL_027"	"Zealandotachina_varipes"	"Zorion_minutum"
"Cassinia_vauvilliersi"	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"Pratia_angulata"	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
"Gentiana_corymbifera"	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Wahlenbergia_albomarginata"	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Celmisia_coriacea"	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Galium_propinquum"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"Helichrysum_bellidioides"	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Celmisia_armstrongii"	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysanthemum_leucanthemum"	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Craspedia_uniflora"	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
