"Haaniella_echinata"	"Necrosciinae"	"Centrophasma_longipennis"	"Asceles_margaritatus"	"Lonchodes_hosei_herberti"	"Lonchodes_imitator"	"Dinophasma_ruficornis"	"Unidentified_juveniles"	"Acacus_sarawacus"	"Marmessoidea_rubescens"	"Lonchodes_thami"	"Lonchodes_malleti"
"Saurauia_ferox"	2	1	0	0	0	0	0	0	0	0	0	0
"Fissistigma_sp."	1	0	0	0	0	0	0	0	0	0	0	0
"Goniothalamus_sp."	0	0	1	0	0	0	0	0	0	0	0	0
"Popowia_pisocarpa"	2	0	1	0	1	0	0	0	0	0	0	0
"Poikilospermum_sp."	0	0	0	0	0	1	0	0	0	0	0	0
"Combretaceae"	3	0	0	0	0	0	0	0	0	0	0	0
"Costus_sp."	1	0	0	0	0	0	0	0	0	0	0	0
"Tetracera_indica"	0	0	0	0	0	0	1	0	0	0	0	0
"Dryobalanops_lanceolata"	1	0	0	0	0	0	0	0	0	0	0	0
"Diospyros_sp."	0	0	0	1	1	0	0	0	0	0	0	0
"Glochidion_sp."	2	0	0	0	0	0	0	0	0	0	0	0
"Mallotus_floribundus"	2	0	0	22	0	0	0	2	0	0	0	0
"Mallotus_miquelianus"	0	0	0	12	0	0	0	0	0	0	0	0
"Mallotus_sp."	0	0	0	2	0	0	0	0	0	0	0	0
"Mallotus_wrayi"	1	1	0	1	1	0	0	0	0	0	0	0
"Bauhinia_sp."	1	0	0	0	0	0	0	0	0	0	0	0
"Spatholobus_sp."	4	0	0	0	0	0	0	0	0	0	0	0
"Fordia_sp."	1	0	0	0	0	0	0	0	0	0	0	0
"Ryparosa_hullettii"	1	0	0	0	0	0	0	0	0	0	0	0
"Lauraceae"	0	0	0	0	0	0	0	0	0	1	0	0
"Leea_indica"	3	0	0	0	0	0	3	0	0	0	0	0
"Magnolia_candollii"	0	0	0	0	0	0	0	1	0	0	0	0
"Aglaia_sp."	1	1	0	3	0	0	0	0	1	0	0	0
"Chisocheton_sp."	1	0	0	0	0	0	0	0	0	0	0	0
"Ardisia_sp."	0	0	0	0	1	0	0	0	0	0	0	0
"Chionanthus_pluriflorus"	0	0	0	0	1	0	0	0	0	0	0	0
"Passifloraceae"	0	0	0	0	1	0	0	0	0	0	0	0
"Uncaria_sp."	0	0	0	0	1	0	0	0	0	0	0	0
"Urophyllum_sp."	2	0	0	0	0	0	0	1	0	0	1	0
"Rubiaceae"	0	0	0	0	1	0	0	0	0	0	0	0
"Paranephelium_xestophyllum"	0	0	0	0	1	0	0	0	0	0	0	0
"Selaginella_sp."	1	0	0	0	0	0	0	0	0	0	0	0
"Pterospermum_sp."	2	0	0	0	0	0	0	0	0	0	0	0
"Brownlowia_peltata"	3	0	0	1	0	0	0	0	0	0	0	0
"Callicarpa_longifolia"	0	0	0	0	0	2	0	0	0	0	0	0
"Tetrastigma_sp."	2	0	0	0	0	0	0	0	0	0	0	0
"Globba_pendula"	1	0	0	0	0	0	0	0	0	0	0	0
"Zingiber_flagelliforme"	0	0	0	0	0	0	0	0	0	0	0	1
