"Spilogona_sanctipauli"	"Bombus_polaris"	"Spilogona_almquistii"	"Colias_hecla"	"Eupogonomyia_probilofensis"	"Boloria_improba"	"Pogonomyiodes_segnis"	"Spilogona_latilamina"	"Boreellus_atriceps"	"Spilogona_dorsata"	"Spilogona_projecta"	"Spilogona_aesturium"	"Spilogona_melanosoma"	"Anarta_richardsoni"	"Colias_nastes"	"Protocalliphora_sp1_M_PL_024"	"Rhamphomyia_sp1_M_PL_024"	"Spilogona_hurdiana"
"Potentilla_vahliana"	19	0	5	0	7	0	1	5	3	2	0	0	1	0	0	1	0	0
"Dryas_integrifolia"	15	0	3	0	2	8	5	0	0	0	1	0	0	0	0	0	0	0
"Astragalus_alpinus"	0	15	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Taraxacum_sp1_M_PL_024"	1	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0
"Caltha_palustris"	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
"Cerastium_alpinum"	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Arnica_alpina"	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Papaver_radicatum"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Geum_rossii"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxytropis_arctica"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Petasites_frigidus"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
