"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Ctenophthalmus_assimilis"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_solutus"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_uncinatus"	"Rhadinopsylla_pentacantha"	"Atyphloceras_nuperus"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_bisoctodentatus"	"Peromyscopsylla_silvatica"	"Amalaraeus_arvicolae"	"Rhadinopsylla_isacantha"	"Amphipsylla_rossica"	"Ctenophthalmus_obtusus"	"Palaeopsylla_kohauti"
"Apodemus_flavicollis"	2266	703	305	0	12	5	0	127	48	14	17	3	0	13	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	1368	574	150	592	0	153	0	0	0	69	0	27	27	3	0	15	0	7	4	0	0
"Apodemus_agrarius"	1065	398	324	0	24	9	0	8	63	2	2	0	0	0	0	0	0	0	0	0	0
"Microtus_arvalis"	188	142	621	19	3	17	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0
"Apodemus_uralensis"	261	82	119	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	43	4	17	0	170	0	77	0	0	0	0	0	0	0	4	0	0	0	0	0	2
"Microtus_subterraneus"	132	26	48	18	65	4	0	0	0	0	0	6	0	0	0	0	13	0	0	0	0
"Neomys_fodiens"	9	4	4	0	15	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"Crocidura_leucodon"	5	0	3	0	0	0	0	13	7	0	61	0	0	0	3	0	0	0	0	5	0
"Apodemus_sylvaticus"	41	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	45	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Talpa_europaea"	12	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
"Neomys_anomalus"	0	4	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_alpinus"	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myoxus_glis"	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"Muscardinus_avellanarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
