"Stenoponia_suknevi"	"Rostropsylla_daca"	"Rhadinopsylla_li"	"Xenopsylla_nubica"	"Wagnerina_tuvensis"	"Stenoponia_vlasovi"	"Tarsopsylla_octodecimdentata"	"Wagnerina_schelkovnikovi"	"Stenoponia_tripectinata"	"Xenopsylla_hirtipes"	"Rhadinopsylla_socia"	"Xenopsylla_skrjabini"	"Xenopsylla_cheopis"	"Rhadinopsylla_pentacantha"	"Xenopsylla_nuttalli"	"Xenopsylla_persica"	"Xenopsylla_conformis"	"Xenopsylla_magdalinae"	"Wagnerina_longicauda"	"Peromyscopsylla_tikhomirovae"	"Stenoponia_montana"	"Rhadinopsylla_rothschildi"	"Stenoponia_conspecta"	"Frontopsylla_semura"	"Stenoponia_ivanovi"	"Stenoponia_sidimi"	"Echidnophaga_oschanini"	"Rhadinopsylla_pseudodahurica"	"Xenopsylla_gerbilli"	"Rhadinopsylla_ucrainica"	"Megabothris_asio"	"Megabothris_calcarifer"	"Synosternus_longispinus"	"Amphipsylla_georgica"	"Neopsylla_mana"
"Clethrionomys_glareolus"	6548	1945	3409	304	1433	134	348	578	239	0	0	378	21	49	268	246	0	3	62	0	0	8	0	0	3	0	12	0	2	2	4	8	0	0	0
"Sorex_araneus"	227	138	47	2793	63	1833	569	13	22	0	0	10	2	9	20	16	0	2	3	0	0	0	6	0	4	0	0	0	3	4	0	0	0	0	0
"Apodemus_flavicollis"	580	1210	80	23	473	0	49	22	39	0	0	21	0	6	14	5	0	0	42	0	0	12	9	0	0	0	5	0	0	0	0	0	0	0	0
"Microtus_arvalis"	574	439	175	54	198	8	154	91	200	0	0	15	14	311	23	54	0	0	3	0	0	24	16	0	0	0	5	0	0	0	3	0	0	0	0
"Apodemus_uralensis"	335	493	69	39	284	11	23	16	43	0	0	11	4	0	5	3	0	0	38	0	0	16	16	0	0	0	0	0	8	0	3	0	2	0	0
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	189	447	0	0	0	0	0	240	0	0	0	102	0	0	0	0	21	0	0	0	0	0	0	0	0	0
"Talpa_europaea"	85	218	4	29	3	27	71	3	54	0	0	4	0	0	0	0	0	268	0	0	0	0	44	0	34	0	0	0	0	0	0	0	0	0	0
"Spermophilus_major"	0	0	0	0	0	0	0	0	0	504	136	0	0	0	0	0	44	0	0	0	23	0	0	0	0	4	0	0	2	0	0	0	0	0	0
"Sorex_minutus"	24	10	4	404	6	203	25	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	14	49	20	0	8	0	12	4	72	0	0	0	391	38	65	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_betulina"	106	62	9	26	49	18	18	18	7	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"Apodemus_agrarius"	35	31	6	0	28	0	9	0	27	0	0	0	0	5	14	0	0	0	84	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"Clethrionomys_rutilus"	82	26	49	2	21	5	15	7	2	0	0	10	0	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_agrestis"	41	28	10	5	18	3	9	15	0	0	0	0	0	5	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neomys_fodiens"	0	2	0	84	0	27	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0
"Microtus_oeconomus"	17	5	0	3	11	0	6	4	18	0	0	0	2	12	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allactaga_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	24	0	0	0	0	0	0	0
"Marmota_bobak"	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allocricetulus_eversmanni"	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
"Sicista_subtilis"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_suslicus"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"Myoxus_glis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
