"Apis_mellifera"	"Astylus_quadrilineatus"	"Brachygastra_lechiguana"	"Augochlora_semiramis"	"Augochloropsis_erato"	"Allograpta_sp1_M_PL_072_04"	"Polybia_scutellaris"	"Unidentified_sp15_M_PL_072_04"	"Lerodea_eufala"	"Polistes_sp1_M_PL_072_04"	"Toxomerus_sp1_M_PL_072_04"	"Unidentified_sp1_M_PL_072_04"	"Unidentified_sp4_M_PL_072_04"	"Unidentified_sp7_M_PL_072_04"	"Bombus_bellicosus"	"Lucilia_sericata"	"Platycheirus_sp1_M_PL_072_04"	"Unidentified_sp12_M_PL_072_04"	"Unidentified_sp9_M_PL_072_04"	"Vanessa_sp1_M_PL_072_04"	"Xylocopa_augusti"	"Xylocopa_ciliata"	"Agraulis_vanillae"	"Augochlorella_ephyra"	"Chlorion_sp1_M_PL_072_04"	"Corticea_immocerina"	"Mischocyttarus_drewseni"	"Parachytas_sp1_M_PL_072_04"	"Unidentified_sp6_M_PL_072_04"	"Camponotus_sp1_M_PL_072_04"	"Chilicola_sp1_M_PL_072_04"	"Colletes_sp1_M_PL_072_04"	"Discodon_sp2_M_PL_072_04"	"Leioproctus_indigoticus"	"Pampasatyrus_gyrtone"	"Podagritus_sp1_M_PL_072_04"	"Ruizantheda_divaricata"	"Thespieus_catochra"	"Unidentified_sp10_M_PL_072_04"	"Unidentified_sp3_M_PL_072_04"	"Villa_sp1_M_PL_072_04"	"Augochloropsis_sp1_M_PL_072_04"	"Bombus_atratus"	"Campsomeris_sp1_M_PL_072_04"	"Ceratina_montana"	"Ceratina_rupestris"	"Chauliognathus_sp1_M_PL_072_04"	"Chlorostilbon_aureoventris"	"Chrysodina_sp1_M_PL_072_04"	"Cochliomyia_macellaria"	"Colias_lesbia"	"Colletes_cyaneus"	"Discodon_sp1_M_PL_072_04"	"Entypus_ferruginipennis"	"Entypus_sp1_M_PL_072_04"	"Gaesischia_sp1_M_PL_072_04"	"Hedriodiscus_pulcher"	"Leucospis_sp1_M_PL_072_04"	"Megacyllene_insignita"	"Melissoptila_tandilensis"	"Palpada_sp1_M_PL_072_04"	"Paramoecerus_barbicornis"	"Strymon_eurytulus"	"Unidentified_sp11_M_PL_072_04"	"Unidentified_sp13_M_PL_072_04"	"Unidentified_sp14_M_PL_072_04"	"Unidentified_sp2_M_PL_072_04"	"Unidentified_sp5_M_PL_072_04"	"Unidentified_sp8_M_PL_072_04"
"Bidens_pilosa"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Passiflora_caerulea"	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rodophiala_bifidum"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupatorium_tenacetifolium"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Canna_glauca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cynara_cardunculus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gomphrena_perennis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_nervosus"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melilotus_officinalis"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rapistrum_rugosum"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spartium_junceum"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vernonia_echioides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
