"Ptilinopus_magnificus"	"Ptilinopus_superbus"	"Macropygia_amboinensis"	"Ptilinopus_regina"	"Ducula_spilorrhoa"	"Columba_leucomela"	"Lopholaimus_antarcticus"
"Neolitsea_dealbata"	1	1	1	1	0	1	0
"Ficus_destruens"	1	1	0	1	1	0	0
"Linociera_ramiflora"	1	1	0	1	1	0	0
"Litsea_leefeana"	1	1	0	1	0	1	0
"Tieghemopanax_elegans"	1	1	1	1	0	0	0
"Tieghemopanax_murrayi"	1	1	1	1	0	0	0
"Archontophoenix_alexandrae"	1	1	0	1	0	0	0
"Canarium_australianum"	1	1	0	0	1	0	0
"Cissus_hypoglauca"	1	1	1	0	0	0	0
"Cryptocarya_hypospodia"	1	1	0	0	1	0	0
"Cryptocarya_mackinnoniana"	1	1	0	0	0	0	1
"Cryptocarya_sp1_M_SD_007"	1	1	0	0	0	1	0
"Dysoxylum_micranthum"	1	1	1	0	0	0	0
"Elaeocarpus_grahamii"	1	1	1	0	0	0	0
"Elaeocarpus_largiflorens"	1	1	0	1	0	0	0
"Endiandra_hypotephra"	1	1	0	1	0	0	0
"Endiandra_muelleri"	1	1	0	1	0	0	0
"Ficus_virens"	1	1	0	0	1	0	0
"Kissodendron_australianum"	1	1	1	0	0	0	0
"Litsea_bindoniana"	1	1	1	0	0	0	0
"Myristica_muelleri"	1	1	0	0	1	0	0
"Notothixos_subarueus"	1	1	1	0	0	0	0
"Pothos_loureirii"	1	1	1	0	0	0	0
"Aceratium_megalospermun"	0	1	1	0	0	0	0
"Antirhea_tenuiflora"	1	1	0	0	0	0	0
"Cinnamomun_laubatii"	1	0	0	0	0	1	0
"Cissus_sterculifolius"	1	1	0	0	0	0	0
"Citronella_emythii"	1	1	0	0	0	0	0
"Dysoxylum_oppositifolium"	1	1	0	0	0	0	0
"Elaeocarpus_grandis"	1	1	0	0	0	0	0
"Eugenia_johnsonii"	1	1	0	0	0	0	0
"Eugenia_sp1_M_SD_007"	1	1	0	0	0	0	0
"Ficus_leptoclada"	1	1	0	0	0	0	0
"Flagellaria_sp1_M_SD_007"	1	1	0	0	0	0	0
"Glochidion_ferdinandii"	0	1	1	0	0	0	0
"Gomphandra_australiana"	1	0	0	0	1	0	0
"Hakea_laurina"	1	1	0	0	0	0	0
"Piper_sp1_M_SD_007"	1	1	0	0	0	0	0
"Symplocos_etawellii"	1	1	0	0	0	0	0
"Terminalia_sericocarpa"	1	1	0	0	0	0	0
"Tetrasynandra_laxiflora"	1	1	0	0	0	0	0
"Alphitonia_whitei"	0	1	0	0	0	0	0
"Breynia_stipitata"	0	0	1	0	0	0	0
"Calamus_sp1_M_SD_007"	0	1	0	0	0	0	0
"Cananga_odorata"	1	0	0	0	0	0	0
"Canthium_coprosmoides"	0	1	0	0	0	0	0
"Clerodendrum_traceyanum"	0	1	0	0	0	0	0
"Dendrophthoe_falcata"	0	0	0	1	0	0	0
"Dysoxylum_sp1_M_SD_007"	1	0	0	0	0	0	0
"Elaeocarpus_arnhemicus"	0	1	0	0	0	0	0
"Embelia_sp1_M_SD_007"	0	1	0	0	0	0	0
"Euodia_xanthoxyloides"	0	0	1	0	0	0	0
"Freycinetia_excelsa"	0	0	1	0	0	0	0
"Ganophyllum_faloatum"	0	0	0	1	0	0	0
"Gmelina_fasciculiflora"	1	0	0	0	0	0	0
"Helicia_nortoniana"	0	0	1	0	0	0	0
"Hibbertia_scandens"	0	0	1	0	0	0	0
"Homalanthus_populifolius"	0	0	1	0	0	0	0
"Hypaerpa_decumbens"	1	0	0	0	0	0	0
"Lantana_camara"	0	0	1	0	0	0	0
"Litsea_glutinosa"	0	0	0	0	1	0	0
"Melia_asederach"	1	0	0	0	0	0	0
"Morinda_jasminioides"	1	0	0	0	0	0	0
"Pilidiostigma_tropicum"	0	1	0	0	0	0	0
"Planchonella_obovata"	1	0	0	0	0	0	0
"Planchonella_obovoidea"	1	0	0	0	0	0	0
"Planchonella_xerocarpa"	0	0	1	0	0	0	0
"Rauwenhoffia_leichardtii"	0	1	0	0	0	0	0
"Solanum_torvum"	0	0	1	0	0	0	0
"Solanum_viride"	0	0	1	0	0	0	0
"Strychnos_colubrina"	1	0	0	0	0	0	0
"Symplocos_paucistamineus"	0	1	0	0	0	0	0
