"Dactylotum_variegatum"	"Melanoplus_desultorius"	"Melanoplus_gladstoni"	"Trimerotropis_pallidipennis"	"Melanoplus_lakinus"	"Melanoplus_glaucipes"	"Phoetaliotes_nebrascensis"	"Campylacantha_olivacea"	"Melanoplus_arizonae"	"Cordillacris_crenulata"	"Arphia_crassa"	"Boopedon_nubilum"	"Eritettix_variabilis"	"Leprus_cyaneus"	"Opeia_obscura"	"Psoloessa_texana"	"Trachyrachys_kiowa"	"Ageneotettix_deorum"	"Aulocara_femoratum"	"Philbostroma_quadrimaculatum"	"Syrbula_fuscovittata"	"Tropidolophus_formosus"
"Bouteloua_gracilis"	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0
"Buchloe_dactyloides"	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
"Croton_pottsii"	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1
"Leptaloma_cognata"	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0
"Iva_dealbata"	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
"Scleropogon_brevifolius"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0
"Unidentified_sp4_A_PH_004"	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Convolvulus_equitans"	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_A_PH_004"	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_A_PH_004"	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xanthocephalum_texanum"	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bouteloua_hirsuta"	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
"Muhlenbergia_sp1_A_PH_004"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
"Ratibida_columnaris"	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_A_PH_004"	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp6_A_PH_004"	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Unidentified_sp8_A_PH_004"	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Condalia_ericoides"	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Conyza_coulteri"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eragrostis_intermedia"	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Linum_rigidum"	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"Sporobolus_sp1_A_PH_004"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Unidentified_sp7_A_PH_004"	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Ziziphus_obtusifolius"	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Calyophus_hartwegii"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gaura_coccinea"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gilia_rigida"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hoffmannseggia_glauca"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Machaeranthera_scabrella"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Setaria_leucopila"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"Unidentified_sp13_A_PH_004"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp15_A_PH_004"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
"Unidentified_sp9_A_PH_004"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zinnia_grandiflora"	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aristida_hamulosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Bouteloua_curtipendula"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cryptantha_mexicana"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dyschoriste_linearis"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupatorium_greggii"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oenothera_sp1_A_PH_004"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Panicum_obtusum"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polygala_longa"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prosopis_glandulosa"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp10_A_PH_004"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp11_A_PH_004"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp12_A_PH_004"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp14_A_PH_004"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp16_A_PH_004"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp17_A_PH_004"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Verbena_wrightii"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xanthocephalum_sp1_A_PH_004"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
