"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Unidentified_sp2_M_PL_103"	"Phelsuma_sp1_M_PL_103"	"Agrius_convolvuli"	"Forcipomyia_sp1_M_PL_103"	"Lygistorrhina_sp1_M_PL_103"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Pachycerina_seychellensis"	"Physiphoa_azurea"	"Unidentified_sp1_M_PL_103"	"Unidentified_sp3_M_PL_103"
"Gastonia_crassa"	1	3	12	0	5	0	0	0	2	0	0	1	0	0
"Craterispermum_microdon"	12	6	0	0	0	0	0	0	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	7	1	0	4	4	0	0	0	0	1	0
"Nephrosperma_vanhoutteanum"	1	15	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	13	0	2	0	0	0	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Glionnetia_sericea"	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	1	1	0	0	1
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Paragenipa_wrightii"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
