"C1"	"C2"	"C3"	"C4"	"C5"
"R1"	0	0	0	1	0
"R2"	0	0	0	1	0
"R3"	0	0	0	1	0
"R4"	0	0	0	1	0
"R5"	0	0	0	1	0
"R6"	0	0	0	1	0
"R7"	0	0	0	1	0
"R8"	0	1	1	0	0
"R9"	0	1	1	0	0
"R10"	1	1	0	0	0
"R11"	1	1	0	0	0
"R12"	0	1	1	1	0
"R13"	0	1	1	1	0
"R14"	1	1	1	0	0
"R15"	1	1	1	0	0
"R16"	1	1	1	0	0
"R17"	1	1	1	1	0
"R18"	0	1	0	0	0
"R19"	0	0	1	1	0
"R20"	1	1	0	0	0
"R21"	0	1	1	1	0
"R22"	1	1	1	0	0
"R23"	1	1	1	0	0
"R24"	1	1	1	0	0
"R25"	1	1	1	0	0
"R26"	1	1	1	0	0
"R27"	1	1	1	0	0
"R28"	1	1	1	0	0
"R29"	1	1	1	0	0
"R30"	1	1	1	0	0
"R31"	1	1	1	0	0
"R32"	1	1	1	0	0
"R33"	1	1	1	0	0
"R34"	1	1	1	0	0
"R35"	1	1	1	0	0
"R36"	1	1	1	0	1
"R37"	1	1	1	1	0
"R38"	1	1	1	0	0
"R39"	1	1	1	0	0
"R40"	1	1	1	0	0
"R41"	1	1	1	0	0
"R42"	0	1	1	1	0
"R43"	1	1	1	1	0
"R44"	1	1	1	1	0
"R45"	1	1	1	1	0
"R46"	1	1	1	1	0
"R47"	1	1	1	0	1
"R48"	1	1	1	0	1
"R49"	1	1	1	1	0
"R50"	1	1	1	1	0
"R51"	1	1	1	1	0
"R52"	1	1	1	1	0
"R53"	1	1	1	1	1
"R54"	1	1	1	1	1
"R55"	1	1	1	1	1
"R56"	1	1	1	1	1
"R57"	1	1	1	1	1
"R58"	0	0	0	1	0
"R59"	0	0	0	1	0
"R60"	0	0	0	1	0
"R61"	0	0	0	1	0
"R62"	0	0	0	1	0
"R63"	0	1	0	0	0
"R64"	0	0	0	1	0
"R65"	0	1	0	1	0
"R66"	1	1	0	1	0
"R67"	1	1	0	1	0
"R68"	1	1	0	1	0
"R69"	1	1	0	1	1
"R70"	1	1	1	1	1
"R71"	1	1	1	1	1
"R72"	1	1	1	1	1
"R73"	1	1	1	1	1
"R74"	0	1	0	0	0
"R75"	0	1	1	0	0
"R76"	0	1	0	1	0
"R77"	0	1	0	1	0
"R78"	0	1	1	0	0
"R79"	0	0	1	1	0
"R80"	0	1	1	1	0
"R81"	0	1	1	1	0
"R82"	0	1	1	1	0
"R83"	0	1	1	1	0
"R84"	0	1	1	1	0
"R85"	0	1	1	1	0
"R86"	0	1	1	1	0
"R87"	0	1	1	1	0
"R88"	0	1	1	1	0
"R89"	0	1	1	1	0
"R90"	0	1	1	1	0
"R91"	0	1	1	1	0
"R92"	1	1	1	0	0
"R93"	1	1	1	0	0
