"Phaethornis_eurynome"	"Thalurania_glaucopis"	"Phaethornis_squalidus"	"Clytolaema_rubricauda"	"Leucochloris_albicollis"
"Abutilon_bedfordianum"	8.3	79.2	0	12.5	0
"Aechmea_nudicaulis"	18.4	63.1	5.3	13.2	0
"Aechmea_vanhoutteana"	22.6	68.9	6.7	1.8	0
"Billbergia_distachya"	61.1	11.1	27.8	0	0
"Billbergia_vitata"	65.4	0	3.8	30.8	0
"Bomarea_edulis"	36	12	52	0	0
"Fuchsia_regia"	20	20	60	0	0
"Hippeastrum_aulicum"	50	29	21	0	0
"Justicia_sebastianopolitanae"	100	0	0	0	0
"Manettia_mirtis"	14.8	14.8	70.4	0	0
"Mendoncia_sp1_M_PL_066"	9.7	48.8	0	0	41.5
"Nematanthus_crassifolius"	100	0	0	0	0
"Nematanthus_fornix"	25	68.7	6.3	0	0
"Nematanthus_lanceolatus"	31.6	0	68.4	0	0
"Nidularium_itatiaiae"	100	0	0	0	0
"Odontonema_barlerioides"	30	0	70	0	0
"Pitcaimia_flammea"	65	30	5	0	0
"Psittacanthus_flavo_viridis"	0	66.7	0	33.3	0
"Pyrostegia_venusta"	61.5	7.7	23.1	0	7.7
"Quesnelia_augusto-coburgii"	100	0	0	0	0
"Salvia_sellowiana"	88.2	0	11.8	0	0
"Sinningia_cooperi"	63.6	22.7	13.7	0	0
"Sinningia_gigantifolia"	71.4	0	28.6	0	0
"Siphocampylus_longepedunculatus"	100	0	0	0	0
"Staurogyne_itatiaiae"	28.6	0	71.4	0	0
"Tillandsia_gardneri"	0	50	50	0	0
"Velloziela_dracocephaloides"	100	0	0	0	0
"Vriesea_carinata"	90	10	0	0	0
"Vriesea_longicaulis"	50	50	0	0	0
"Vriesea_sp1_M_PL_066"	0	0	0	100	0
"Stromanthe_thalia"	33.4	0	33.3	33.3	0
