"Xenopsylla_conformis"	"Nosopsyllus_iranus"	"Nosopsyllus_laeviceps"	"Stenoponia_tripectinata"	"Rhadinopsylla_ucrainica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_secundus"	"Leptopsylla_taschenbergi"	"Amphipsylla_schelkovnikovi"	"Mesopsylla_apscheronica"	"Ctenophthalmus_bogatschevi"	"Amphipsylla_rossica"	"Ctenophthalmus_proximus"	"Nosopsyllus_mokrzeckyi"	"Myoxopsylla_jordani"	"Ceratophyllus_sciurorum"	"Callopsylla_caspia"	"Megabothris_turbidus"	"Neopsylla_pleskei"	"Stenoponia_ivanovi"
"Meriones_persicus"	1387	951	0	158	54	47	5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_libycus"	541	316	273	38	155	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_tristrami"	189	488	103	167	56	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_socialis"	4	27	22	0	10	100	75	0	2	0	0	2	0	0	0	0	2	0	0	0
"Apodemus_fulvipectus"	0	0	0	0	0	9	2	67	10	0	0	0	3	2	0	4	0	2	0	0
"Microtus_arvalis"	0	0	0	0	0	66	0	0	0	0	18	6	0	0	0	0	0	0	0	2
"Cricetulus_migratorius"	16	5	0	0	4	0	3	2	28	0	0	0	0	0	0	0	0	0	2	0
"Allactaga_elater"	0	5	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
