"Adippe_alliaceae"	"Adippe_inequalis"	"Amastris_triviale"	"Anchistrotus_maculatus"	"Aphetea_inconspicua"	"Atymna_sp."	"Bolbonotus_corrugata"	"Bolbonotus_pictipennis"	"Campylenchia_hastata"	"Ceresa_vitulus"	"Chelyoidea_nitida"	"Cymbomorpha_prasina"	"Cyphonia_clavata"	"Cyphonia_trifida"	"Enchophyllum_dubium"	"Endoiastus_caviceps"	"Genus_unknown"	"Gerridius_scutellatus"	"Guayaquila_compressa"	"Guayaquila_sp."	"Harmonides_sp."	"Heteronotus_trinodosus"	"Horiola_picta"	"Ischnocentrus_fowleri"	"Membracis_flava"	"Membracis_fuscata"	"Notocera_bituberculata"	"Notocera_cerviceps"	"Notocera_cervipes"	"Poppea_zebrina"	"Potnia_gladiator"	"Potnia_granadensis"	"Sphongophorus_guerinii"	"Sphongophorus_nymph"
"Byrsonima_crassifolia"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Casearia_guianensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
"Cnestidium_rufescens"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Connarus_turczaninowii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"Cupania_sylvatica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Desmopsis_panamensis"	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doliocarpus_major"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eugenia_coloradensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Eugenia_oerstedeana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Flemingia_sp."	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
