"Diplostomum_spathaceum"	"Argulus_foliaceus"	"Piscicola_geometra"	"Ichthyocotylurus_platycephalus"	"Raphidascaris_acus"	"Acanthocephalus_anguillae"	"Paracoenogonimus_ovatus"	"Acanthocephalus_lucii"	"Diplozoon_paradoxum"	"Corynosoma_semerme"	"Tylodelphys_clavata"	"Pomphorhyn?hus_laevis"	"Echinorhynchus_gadi"	"Hysterothylacium_aduncum"	"Diplostomulum_sp."	"Posthodiplostomum_brevicaudatum"	"Zschokkella_nova"	"Myxobolus_bramae"	"Sphaerostomum_bramae"	"Neoechinorhynchus_rutili"	"Ichthyocotylurus_variegatus"	"Bothriocephalus_scorpii"	"Corynosoma_strumosum"	"Myxobolus_oviformis"	"Proteocephalus_longicollis"	"Camallanus_(Camallanus)_lacustris"	"Caryophyllaeus_laticeps"	"Diphyllobothrium_ditremum"	"Triaenophorus_nodulosus"	"Camallanus_(Camallanus)__truncatus"	"Cystidicola_farioni"	"Dactylogyrus_sphyrna"	"Pseudoterranova_decipiens"	"Echinorhynchus_salmonis"	"Azygia_lucii"	"Bunodera_luciopercae"	"Dactylogyrus_cornu"	"Eubothrium_sp."	"Cucullanus_heterochrous"	"Anguillicola_crassus"	"Ascarophis_morrhuae"	"Henneguya_psorospermica"	"Brachyphallus_crenatus"	"Phyllodistomum_angulatum"	"Scolex_pleuronectis"	"Bothriocephalus_sp."	"Eubothrium_crassum"	"Pseudoterranova_sp."	"Dichelyne_(Cucullanellus)__minutus"	"Ascarophis_skrjabini"	"Ascarophis_sp."	"Nematoda_gen._sp.__larva"	"Myxidium_giardi"	"Myxidium_macrocapsulare"	"Myxobilatus_gasterostei"	"Myxobilatus_platessae"	"Sphaerospora_elegans"	"Myxobolus_ellipsoides"	"Diplostomum_petromyzifluviatilis"	"Bucephalus_polymorphus"	"Cryptocotyle_sp."	"Gyrodactylus_aeglefini"	"Gyrodactylus_errabundus"	"Gyrodactylus_flexibiliradix"	"Gyrodactylus_perlucidus"	"Gyrodactylus_pharyngicus"	"Gyrodactylus_rarus"	"Ancyrocephalus_paradoxus"	"Dactylogyrus_auriculatus"	"Dactylogyrus_fraternus"	"Dactylogyrus_minor"	"Dactylogyrus_parvus"	"Dactylogyrus_zandti"	"Pseudodactylogyrus_anguillae"	"Pseudodactylogyrus_bini"	"Caryophyllaeus_sp."	"Bothriocephalus_claviceps"	"Diphyllobothrium_dendriticum"	"S?histocephalus_solidus"	"Eubothrium_fragile"	"Proteocephalus_filicollis"	"Proteocephalus_macrocephalus"	"Proteocephalus_torulosus"	"Proteocephalus_sp"	"Anisakis_simplex"	"Cucullanus_cirratus"	"Cucullanus_truttae"	"Ascarophis_longispicula"	"Cystidicoloides_ephemeridarum"	"Anodonta_sp."	"Argulus_?oregoni"	"Ergasilus_gibbus"	"Ergasilus_sieboldi"	"Thersitina_gasterostei"	"Achtheres_percarum"
"Abramis_brama"	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anguilla_anguilla"	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
"Platichthys_flesus_trachurus"	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vimba_vimba"	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"Blicca_bjoerkna"	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Perca_fluviatilis"	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rutilus_rutilus"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zoarces_viviparus"	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Gadus_morhua_callarias"	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
"Alburnus_alburnus"	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Esox_lucius"	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gasterosteus_aculeatus"	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Sander_lucioperca"	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Gymnocephalus_cernuus"	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tinca_tinca"	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Carassius_carassius"	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clupea_harengus_membras"	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
