"Melangyna_sp1_M_PL_029"	"Unidentified_sp1_M_PL_029"	"Melangyna_novaezelandiae"	"Avibrissina_isolata"	"Leioproctus_sp1_M_PL_029"	"Veluta_albicincta"	"Lasioglossum_sp1_M_PL_029"	"Leioproctus_fulvescens"	"Unidentified_sp2_M_PL_029"	"Lycaena_salustius"	"Neotachina_sp1_M_PL_029"	"Unidentified_sp3_M_PL_029"	"Adoxia_obscura"	"Avibrissina_brevivalpis"	"Peremptor_modica"	"Erythronychia_aliena"	"Eulalia_sp1_M_PL_029"	"Leioproctus_sp2_M_PL_029"	"Lycaena_boldenarium"	"Argirophenga_sp1_M_PL_029"	"Mallochomacquartia_setiventris"	"Proscissio_cana"	"Unidentified_sp4_M_PL_029"	"Zealandotachina_nigrifemorata"	"Cheilosia_sp1_M_PL_029"	"Dasyuris_anceps"	"Heteria_appendiculata"	"Heteria_plebeia"	"Hylaeus_sp1_M_PL_029"	"Lasioglossum_sordidum"	"Lepidomyia_decessum"	"Occisor_sp1_M_PL_029"	"Pasiphila_nereis"	"Proscissio_lateralis"	"Protohystricia_huttoni"	"Unidentified_sp5_M_PL_029"	"Unidentified_sp6_M_PL_029"	"Adoxia_cheesemani"	"Asaphodes_clarata"	"Calliphora_quadrimaculata"	"Calliphora_stygia"	"Cyphon_sp1_M_PL_029"	"Eristalis_tenax"	"Eudonia_sabulosella"	"Leioproctus_sp3_M_PL_029"	"Mordella_detracta"	"Musc._sp1_M_PL_029"	"Neotachina_obtusa"	"Pareromene_pyrsophanes"	"Plagiomyia_turbidum"	"Protohystirica_huttoni"	"Rygmodus_cyaneus"	"Scoparia_submarginalis"	"Unidentified_sp7_M_PL_029"	"Appis_mellifera"	"Asilis_pilicomis"	"Austrocidaria_similata"	"Bombus_terrestris"	"Calcager_nudum"	"Calliphora_icela"	"Calliphora_quadrimaculata_1"	"Cheilosia_captalis"	"Cheilosia_fulvipes"	"Chelaner_antarcticus"	"Cyphon_sp2_M_PL_029"	"Dasytes_subcyaneus"	"Declana_junctilinea"	"Gelechia_lithodes"	"Gelophaula_aenea"	"Gracilicera_setosa"	"Graphania_omoplaca"	"Helastia_cineraria"	"Helophilus_hochstetteri"	"Heteria_atripes"	"Homodotis_megaspilata"	"Hoplocneme_sp1_M_PL_029"	"Hydriomena_deltoidata"	"Hylaeus_relegatus"	"Leioproctus_boltonii"	"Leioproctus_imitatus"	"Leioproctus_maritimus"	"Leioproctus_sp4_M_PL_029"	"Leioproctus_sp5_M_PL_029"	"Medinella_flavotemorata"	"Melangyna_ortas"	"Notoreas_anthracias"	"Notoreas_cataphyrrha"	"Notoreas_mechanitis"	"Occisor_versutus"	"Orocrambus_crenaeus"	"Pales_tecta"	"Pasiphila_inductata"	"Pasiphila_sandycias"	"Pasiphila_sp1_M_PL_029"	"Peremptor_sp1_M_PL_029"	"Peristoreus_sp1_M_PL_029"	"Perrissina_brunniceps"	"Proscissio_albiceps"	"Proscissio_kumarensis"	"Proscission_sp1_M_PL_029"	"Pseudofoenus_pedunculatus"	"Rhopalomerus_sp1_M_PL_029"	"Rictonis_comma"	"Scaptia_adrel"	"Scaptia_brevipalpis"	"Scoparia_minisculalis"	"Scoparia_philerga"	"Scoparia_rotuella"	"Sestra_flexata"	"Unidentified_sp10_M_PL_029"	"Unidentified_sp8_M_PL_029"	"Unidentified_sp9_M_PL_029"	"Xenorhynchia_peeli"	"Xylota_montana"	"Zealandotachina_quadrivittata"	"Zealandotachina_subtilis"	"Zealandotachina_varipes"	"Zorion_minutum"
"Leptospermum_scoparium"	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0
"Hebe_subalpina"	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Celmisia_spectabilis"	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Cassinia_vauvilliersii"	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Celmisia_discolor"	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Helichrysum_selago"	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Pratia_angulata"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Celmisia_petiolata"	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Galium_propinquum"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hebe_pinguifolia"	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Raoulia_subsericea"	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Wahlenbergia_albomarginata"	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
